name,logpval,time
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer,50,early_2-cell_rep1
BORIS(Zf)/K562-CTCFL-ChIP-Seq(GSE32465)/Homer,19,early_2-cell_rep1
Otx2(Homeobox)/EpiLC-Otx2-ChIP-Seq(GSE56098)/Homer,12,early_2-cell_rep1
Sp1(Zf)/Promoter/Homer,12,early_2-cell_rep1
RARg(NR)/ES-RARg-ChIP-Seq(GSE30538)/Homer,10,early_2-cell_rep1
"RAR:RXR(NR),DR5/ES-RAR-ChIP-Seq(GSE56893)/Homer",9,early_2-cell_rep1
NFY(CCAAT)/Promoter/Homer,8,early_2-cell_rep1
GSC(Homeobox)/FrogEmbryos-GSC-ChIP-Seq(DRA000576)/Homer,8,early_2-cell_rep1
CTCF(Zf)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer,7,early_2-cell_rep1
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer,6,early_2-cell_rep1
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer,5,early_2-cell_rep1
"PAX3:FKHR-fusion(Paired,Homeobox)/Rh4-PAX3:FKHR-ChIP-Seq(GSE19063)/Homer",5,early_2-cell_rep1
KLF5(Zf)/LoVo-KLF5-ChIP-Seq(GSE49402)/Homer,5,early_2-cell_rep1
EKLF(Zf)/Erythrocyte-Klf1-ChIP-Seq(GSE20478)/Homer,4,early_2-cell_rep1
Nr5a2(NR)/mES-Nr5a2-ChIP-Seq(GSE19019)/Homer,4,early_2-cell_rep1
KLF3(Zf)/MEF-Klf3-ChIP-Seq(GSE44748)/Homer,4,early_2-cell_rep1
Nr5a2(NR)/Pancreas-LRH1-ChIP-Seq(GSE34295)/Homer,4,early_2-cell_rep1
Klf4(Zf)/mES-Klf4-ChIP-Seq(GSE11431)/Homer,4,early_2-cell_rep1
"ERE(NR),IR3/MCF7-ERa-ChIP-Seq(Unpublished)/Homer",0.001,early_2-cell_rep1
NF1(CTF)/LNCAP-NF1-ChIP-Seq(Unpublished)/Homer,0.001,early_2-cell_rep1
SF1(NR)/H295R-Nr5a1-ChIP-Seq(GSE44220)/Homer,0.001,early_2-cell_rep1
Tcf3(HMG)/mES-Tcf3-ChIP-Seq(GSE11724)/Homer,0.01,early_2-cell_rep1
Klf9(Zf)/GBM-Klf9-ChIP-Seq(GSE62211)/Homer,0.01,early_2-cell_rep1
ZFX(Zf)/mES-Zfx-ChIP-Seq(GSE11431)/Homer,0.01,early_2-cell_rep1
ZNF711(Zf)/SHSY5Y-ZNF711-ChIP-Seq(GSE20673)/Homer,0.01,early_2-cell_rep1
"FOXA1:AR(Forkhead,NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer",0.01,early_2-cell_rep1
ZNF16(Zf)/HEK293-ZNF16.GFP-ChIP-Seq(GSE58341)/Homer,0.01,early_2-cell_rep1
Unknown(Homeobox)/Limb-p300-ChIP-Seq/Homer,0.01,early_2-cell_rep1
"GATA(Zf),IR3/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer",0.1,early_2-cell_rep1
"Pax8(Paired,Homeobox)/Thyroid-Pax8-ChIP-Seq(GSE26938)/Homer",0.1,early_2-cell_rep1
CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer,0.1,early_2-cell_rep1
"GATA(Zf),IR4/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer",0.1,early_2-cell_rep1
"RBPJ:Ebox(?,bHLH)/Panc1-Rbpj1-ChIP-Seq(GSE47459)/Homer",0.1,early_2-cell_rep1
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)/Homer,0.1,early_2-cell_rep1
Sp2(Zf)/HEK293-Sp2.eGFP-ChIP-Seq(Encode)/Homer,0.1,early_2-cell_rep1
E2F4(E2F)/K562-E2F4-ChIP-Seq(GSE31477)/Homer,0.1,early_2-cell_rep1
ZNF415(Zf)/HEK293-ZNF415.GFP-ChIP-Seq(GSE58341)/Homer,0.1,early_2-cell_rep1
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer,0.1,early_2-cell_rep1
E2F7(E2F)/Hela-E2F7-ChIP-Seq(GSE32673)/Homer,0.1,early_2-cell_rep1
THRa(NR)/C17.2-THRa-ChIP-Seq(GSE38347)/Homer,0.1,early_2-cell_rep1
"Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer",0.1,early_2-cell_rep1
Esrrb(NR)/mES-Esrrb-ChIP-Seq(GSE11431)/Homer,0.1,early_2-cell_rep1
"PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer",0.1,early_2-cell_rep1
HINFP(Zf)/K562-HINFP.eGFP-ChIP-Seq(Encode)/Homer,0.1,early_2-cell_rep1
DUX(Homeobox)/C2C12-Dux-ChIP-Seq(GSE87279)/Homer,0.1,early_2-cell_rep1
Hoxb4(Homeobox)/ES-Hoxb4-ChIP-Seq(GSE34014)/Homer,0.1,early_2-cell_rep1
ZBTB33(Zf)/GM12878-ZBTB33-ChIP-Seq(GSE32465)/Homer,1,early_2-cell_rep1
PRDM10(Zf)/HEK293-PRDM10.eGFP-ChIP-Seq(Encode)/Homer,1,early_2-cell_rep1
"FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer",1,early_2-cell_rep1
"PAX5(Paired,Homeobox),condensed/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer",1,early_2-cell_rep1
Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer,1,early_2-cell_rep1
RFX(HTH)/K562-RFX3-ChIP-Seq(SRA012198)/Homer,1,early_2-cell_rep1
GFX(?)/Promoter/Homer,1,early_2-cell_rep1
ZNF322(Zf)/HEK293-ZNF322.GFP-ChIP-Seq(GSE58341)/Homer,1,early_2-cell_rep1
"ETS:E-box(ETS,bHLH)/HPC7-Scl-ChIP-Seq(GSE22178)/Homer",1,early_2-cell_rep1
DUX4(Homeobox)/Myoblasts-DUX4.V5-ChIP-Seq(GSE75791)/Homer,1,early_2-cell_rep1
REST-NRSF(Zf)/Jurkat-NRSF-ChIP-Seq/Homer,1,early_2-cell_rep1
E2F1(E2F)/Hela-E2F1-ChIP-Seq(GSE22478)/Homer,1,early_2-cell_rep1
Rfx5(HTH)/GM12878-Rfx5-ChIP-Seq(GSE31477)/Homer,1,early_2-cell_rep1
E2F(E2F)/Hela-CellCycle-Expression/Homer,1,early_2-cell_rep1
ETV4(ETS)/HepG2-ETV4-ChIP-Seq(ENCODE)/Homer,1,early_2-cell_rep1
