Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
TSC_Tead4_AB_100k_rep1.R1	20.7912177829	150.0	33053436.0	9.09090909091	42.0
TSC_Tead4_AB_100k_rep1.R2	20.1795108892	150.0	33053436.0	9.09090909091	42.0
TSC_Tead4_AB_10k_rep1.R1	25.5789994996	150.0	28370349.0	18.1818181818	42.0
TSC_Tead4_AB_10k_rep1.R2	23.8862343229	150.0	28370349.0	9.09090909091	42.0
TSC_Tead4_AB_1k_rep1.R1	35.3937140471	150.0	30928213.0	9.09090909091	43.0
TSC_Tead4_AB_1k_rep1.R2	33.4345242946	150.0	30928213.0	9.09090909091	44.0
TSC_Tead4_AB_1k_rep2.R1	39.351395596	150.0	32806842.0	9.09090909091	44.0
TSC_Tead4_AB_1k_rep2.R2	36.92744661	150.0	32806842.0	9.09090909091	44.0
TSC_Tead4_AB_5k_rep1.R1	27.2631334777	150.0	31599175.0	9.09090909091	43.0
TSC_Tead4_AB_5k_rep1.R2	25.2032952522	150.0	31599175.0	9.09090909091	43.0
TSC_Tead4_SC_100k_rep1.R1	24.1816994777	150.0	19158155.0	18.1818181818	41.0
TSC_Tead4_SC_100k_rep1.R2	23.0756347077	150.0	19158155.0	9.09090909091	41.0
TSC_Tead4_SC_10k_rep1.R1	29.9263027475	150.0	42316899.0	18.1818181818	42.0
TSC_Tead4_SC_10k_rep1.R2	28.2434146917	150.0	42316899.0	9.09090909091	42.0
TSC_Tead4_SC_1k_rep1.R1	37.3256116771	150.0	25077611.0	18.1818181818	44.0
TSC_Tead4_SC_1k_rep1.R2	35.8537403835	150.0	25077611.0	18.1818181818	44.0
TSC_Tead4_SC_1k_rep2.R1	37.1711837205	150.0	23492567.0	18.1818181818	44.0
TSC_Tead4_SC_1k_rep2.R2	34.558900104	150.0	23492567.0	18.1818181818	44.0
TSC_Tead4_SC_5k_rep1.R1	30.8279371763	150.0	37968808.0	9.09090909091	43.0
TSC_Tead4_SC_5k_rep1.R2	29.6813980762	150.0	37968808.0	9.09090909091	43.0
