sample	total_paired(million)	properly_paired(million)	ratio	more_1_time(million)	ratio	align_ratio_all
ESC_Klf5_100k_rep1	30.6553	18.9313	61.76%	9.87152	32.20%	93.96%
ESC_Klf5_10k_rep1	42.2538	25.2667	59.80%	12.4466	29.46%	89.25%
ESC_Klf5_1k_rep1	43.6886	17.5169	40.09%	8.88351	20.33%	60.43%
ESC_Klf5_1k_rep2	36.1979	16.0166	44.25%	7.98572	22.06%	66.31%
ESC_Klf5_5k_rep1	36.6621	20.4296	55.72%	10.2003	27.82%	83.55%
ESC_Oct4_100k_rep1	29.9238	17.5485	58.64%	9.86962	32.98%	91.63%
ESC_Oct4_10k_rep1	32.9756	18.9667	57.52%	10.4193	31.60%	89.11%
ESC_Oct4_1k_rep1	40.7169	17.9019	43.97%	9.62281	23.63%	67.60%
ESC_Oct4_1k_rep2	35.7576	16.2663	45.49%	9.20033	25.73%	71.22%
ESC_Oct4_5k_rep1	32.9042	17.6711	53.70%	9.74555	29.62%	83.32%
