gene,class
1110019D14Rik,up
1810043G02Rik,up
2210409E12Rik,up
2310047M10Rik,up
2610001J05Rik,up
4632415L05Rik,up
4930413G21Rik,up
4930509E16Rik,up
4931423N10Rik,up
9530068E07Rik,up
A4galt,up
A630089N07Rik,up
Abcb1a,up
Abcb5,up
Acbd5,up
Acer3,up
Ackr3,up
Adamts3,up
AI662270,up
Amotl1,up
Ampd1,up
Amy1,up
Anp32e,up
Antxr1,up
Apol7b,up
Art3,up
Atl2,up
Atp6ap1,up
AU015228,up
AU022751,up
B020004C17Rik,up
B020004J07Rik,up
B3galt5,up
B3gntl1,up
Bbs5,up
Bicc1,up
Bloc1s3,up
Brsk1,up
C530008M17Rik,up
C77370,up
Cbx1,up
Ccdc60,up
Ccdc81,up
Ccl25,up
Ccnj,up
Cd1d1,up
Cdc42ep3,up
Cdkn1c,up
Cebpd,up
Chit1,up
Clec2i,up
Cml2,up
Cnot6l,up
Csrnp3,up
Cyp4f15,up
Cyp4f40,up
Dcaf12l1,up
Dcc,up
Ddhd1,up
Ddit4l,up
Ddr2,up
Ddx60,up
Dnajb9,up
Dolk,up
Dusp16,up
Dynap,up
Ehd2,up
Endog,up
Epb4.1l5,up
Epha7,up
Epm2a,up
Etohi1,up
EU599041,up
Exoc3l4,up
Fabp3,up
Fam162a,up
Fam216a,up
Fam46a,up
Fam83b,up
Far1,up
Fbxl3,up
Fbxo21,up
Fgd3,up
Fgd4,up
Fut9,up
Fzd3,up
Garnl3,up
Gdf11,up
Gm10324,up
Gm12789,up
Gm13128,up
Gm14124,up
Gm14420,up
Gm15698,up
Gm16386,up
Gm2016,up
Gm2022,up
Gm4858,up
Gm4971,up
Gm5662,up
Gm6902,up
Gm8300,up
Gm8994,up
Gpr1,up
Gpr161,up
Gsc,up
Gucy1a2,up
Gyk,up
H1foo,up
Hecw2,up
Hlf,up
Hmgb1,up
Hmox1,up
Hnrnph3,up
Hsd17b7,up
Hsf4,up
Ifng,up
Igsf1,up
Il6ra,up
Ina,up
