Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
ESC_Rarg_PT_100k_rep1.R1	21.426467293714495	41.0	150.0	9.090909090909092	24717864.0
ESC_Rarg_PT_100k_rep1.R2	21.30027052817627	41.0	150.0	9.090909090909092	24717864.0
ESC_Rarg_PT_10k_rep1.R1	19.873611671622186	41.0	150.0	9.090909090909092	22254179.0
ESC_Rarg_PT_10k_rep1.R2	19.76275225057536	41.0	150.0	18.181818181818183	22254179.0
ESC_Rarg_PT_1k_rep1.R1	29.614917081035614	42.0	150.0	27.27272727272727	23443813.0
ESC_Rarg_PT_1k_rep1.R2	28.831103592597046	43.0	150.0	18.181818181818183	23443813.0
ESC_Rarg_PT_1k_rep2.R1	30.169005481125993	43.0	150.0	27.27272727272727	27323524.0
ESC_Rarg_PT_1k_rep2.R2	29.000628792056176	43.0	150.0	18.181818181818183	27323524.0
ESC_Rarg_PT_5k_rep1.R1	21.690993747842924	42.0	150.0	27.27272727272727	20015647.0
ESC_Rarg_PT_5k_rep1.R2	20.971019767371274	42.0	150.0	18.181818181818183	20015647.0
ESC_Rarg_SC_100k_rep1.R1	20.41531235974159	41.0	150.0	9.090909090909092	20855961.0
ESC_Rarg_SC_100k_rep1.R2	20.087825970672796	41.0	150.0	9.090909090909092	20855961.0
ESC_Rarg_SC_10k_rep1.R1	21.941097715866917	42.0	150.0	9.090909090909092	25149129.0
ESC_Rarg_SC_10k_rep1.R2	21.772204674404207	42.0	150.0	9.090909090909092	25149129.0
ESC_Rarg_SC_1k_rep1.R1	37.38292468656963	43.0	150.0	18.181818181818183	31226697.0
ESC_Rarg_SC_1k_rep1.R2	36.55998348894798	43.0	150.0	18.181818181818183	31226697.0
ESC_Rarg_SC_1k_rep2.R1	32.513462156784996	43.0	150.0	18.181818181818183	27133281.0
ESC_Rarg_SC_1k_rep2.R2	31.79164999276685	43.0	150.0	18.181818181818183	27133281.0
ESC_Rarg_SC_5k_rep1.R1	24.23518361901759	42.0	150.0	18.181818181818183	20514453.0
ESC_Rarg_SC_5k_rep1.R2	23.327734098654105	42.0	150.0	18.181818181818183	20514453.0
