Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
ESC_IgG_10k_rep1.R1	38.4373998849	150.0	42343295.0	36.3636363636	45.0
ESC_IgG_10k_rep1.R2	35.3000909035	150.0	42343295.0	36.3636363636	47.0
ESC_IgG_1k_rep1.R1	58.0522488157	150.0	34491624.0	36.3636363636	49.0
ESC_IgG_1k_rep1.R2	53.2017801336	150.0	34491624.0	45.4545454545	52.0
ESC_IgG_1k_rep2.R1	63.4661020547	150.0	50799751.0	36.3636363636	49.0
ESC_IgG_1k_rep2.R2	57.6786782227	150.0	50799751.0	45.4545454545	53.0
ESC_Nanog_100k_rep1.R1	21.5691034155	150.0	49310299.0	18.1818181818	44.0
ESC_Nanog_100k_rep1.R2	20.6076806996	150.0	49310299.0	18.1818181818	46.0
ESC_Nanog_10k_rep1.R1	34.3801129554	150.0	64606404.0	27.2727272727	46.0
ESC_Nanog_10k_rep1.R2	31.3334739641	150.0	64606404.0	36.3636363636	48.0
ESC_Nanog_1k_rep1.R1	46.6773014187	150.0	41262538.0	27.2727272727	49.0
ESC_Nanog_1k_rep1.R2	42.1753769375	150.0	41262538.0	27.2727272727	53.0
ESC_Nanog_1k_rep2.R1	53.7845353156	150.0	43575732.0	45.4545454545	49.0
ESC_Nanog_1k_rep2.R2	47.5687322488	150.0	43575732.0	36.3636363636	52.0
ESC_Nanog_5k_rep1.R1	32.5157393218	150.0	52119092.0	27.2727272727	45.0
ESC_Nanog_5k_rep1.R2	29.6040880751	150.0	52119092.0	36.3636363636	46.0
ESC_Sox2_100k_rep1.R1	31.3210499634	150.0	50122946.0	36.3636363636	43.0
ESC_Sox2_100k_rep1.R2	29.9048501583	150.0	50122946.0	27.2727272727	45.0
ESC_Sox2_10k_rep1.R1	50.7494410483	150.0	58763809.0	45.4545454545	44.0
ESC_Sox2_10k_rep1.R2	48.0192932714	150.0	58763809.0	36.3636363636	45.0
ESC_Sox2_1k_rep1.R1	69.7302832788	150.0	34979671.0	45.4545454545	50.0
ESC_Sox2_1k_rep1.R2	65.2469519708	150.0	34979671.0	45.4545454545	53.0
ESC_Sox2_1k_rep2.R1	64.6628398317	150.0	40179211.0	36.3636363636	48.0
ESC_Sox2_1k_rep2.R2	61.1192006894	150.0	40179211.0	45.4545454545	51.0
ESC_Sox2_5k_rep1.R1	54.1731486458	150.0	48096689.0	45.4545454545	46.0
ESC_Sox2_5k_rep1.R2	50.6938229026	150.0	48096689.0	45.4545454545	49.0
