Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
2Cell_Ctrl_rep1.R1	70.6293939143334	49.0	150.0	18.181818181818183	36019212.0
2Cell_Ctrl_rep1.R2	66.10949578996224	51.0	150.0	36.36363636363637	36019212.0
2Cell_Ctrl_rep2.R1	63.575694566109654	49.0	150.0	27.27272727272727	35077539.0
2Cell_Ctrl_rep2.R2	53.60660644824301	51.0	150.0	27.27272727272727	35077539.0
2Cell_Ctrl_rep3.R1	60.17250768475084	48.0	150.0	9.090909090909092	34579779.0
2Cell_Ctrl_rep3.R2	51.37454081799896	50.0	150.0	18.181818181818183	34579779.0
2Cell_DuxOE_rep1.R1	56.25543714452632	49.0	150.0	18.181818181818183	24767048.0
2Cell_DuxOE_rep1.R2	51.92939525766284	50.0	150.0	36.36363636363637	24767048.0
2Cell_DuxOE_rep2.R1	56.96106775513397	49.0	150.0	18.181818181818183	24606575.0
2Cell_DuxOE_rep2.R2	49.62311307805306	50.0	150.0	27.27272727272727	24606575.0
2Cell_DuxOE_rep3.R1	58.78816412558579	48.0	150.0	18.181818181818183	26040298.0
2Cell_DuxOE_rep3.R2	53.94890583940206	50.0	150.0	36.36363636363637	26040298.0
8Cell_RargKDKO_rep1.R1	54.7781647891341	50.0	150.0	18.181818181818183	30686496.0
8Cell_RargKDKO_rep1.R2	47.45498401228664	52.0	150.0	18.181818181818183	30686496.0
8Cell_RargKDKO_rep2.R1	53.04113450806677	50.0	150.0	27.27272727272727	26053804.0
8Cell_RargKDKO_rep2.R2	47.02382733592071	52.0	150.0	27.27272727272727	26053804.0
8Cell_RargKDKO_rep3.R1	53.47115177113741	49.0	150.0	27.27272727272727	28984029.0
8Cell_RargKDKO_rep3.R2	45.880255273559946	51.0	150.0	18.181818181818183	28984029.0
