Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
ESC_IgG_10k_rep1.R1_cut	79.5234889996	137.908479403	46975852.0	18.1818181818	42.0
ESC_IgG_10k_rep1.R2_cut	70.4590500645	137.545957506	46975852.0	18.1818181818	43.0
ESC_IgG_1k_rep1.R1_cut	92.7849101341	137.076746945	44064021.0	18.1818181818	42.0
ESC_IgG_1k_rep1.R2_cut	83.3609439037	136.681425488	44064021.0	18.1818181818	43.0
ESC_IgG_1k_rep2.R1_cut	91.2068029274	138.04197724	46855486.0	18.1818181818	42.0
ESC_IgG_1k_rep2.R2_cut	81.8142123808	137.714646925	46855486.0	18.1818181818	43.0
ESC_Sox2_10k_rep1.R1_cut	69.1339837836	137.192149769	58252352.0	18.1818181818	44.0
ESC_Sox2_10k_rep1.R2_cut	64.2187538131	136.99238211	58252352.0	18.1818181818	45.0
ESC_Sox2_1k_rep1.R1_cut	90.2936289723	137.775881451	47970166.0	18.1818181818	44.0
ESC_Sox2_1k_rep1.R2_cut	83.6664021628	137.564342116	47970166.0	18.1818181818	44.0
ESC_Sox2_1k_rep2.R1_cut	90.5601222421	138.402241186	51362100.0	18.1818181818	44.0
ESC_Sox2_1k_rep2.R2_cut	77.892213807	138.036888815	51362100.0	18.1818181818	45.0
