Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
8Cell_Ctrl_H3K4me3_rep1.R1	52.876632472576716	57.0	150.0	27.27272727272727	35521396.0
8Cell_Ctrl_H3K4me3_rep1.R2	51.75124093373013	58.0	150.0	36.36363636363637	35521396.0
8Cell_Ctrl_H3K4me3_rep2.R1	56.7971802287261	59.0	150.0	45.45454545454545	32330685.0
8Cell_Ctrl_H3K4me3_rep2.R2	54.46912181794096	62.0	150.0	45.45454545454545	32330685.0
8Cell_Ctrl_input.R1	27.49554330382192	48.0	150.0	27.27272727272727	21573563.0
8Cell_Ctrl_input.R2	26.602579905803168	51.0	150.0	36.36363636363637	21573563.0
8Cell_siTfap2c_H3K4me3_rep1.R1	49.98595924636179	57.0	150.0	36.36363636363637	26792845.0
8Cell_siTfap2c_H3K4me3_rep1.R2	47.962250223952154	60.0	150.0	36.36363636363637	26792845.0
8Cell_siTfap2c_H3K4me3_rep2.R1	50.95997220050137	56.0	150.0	36.36363636363637	25014695.0
8Cell_siTfap2c_H3K4me3_rep2.R2	48.35642012792386	58.0	150.0	27.27272727272727	25014695.0
8Cell_siTfap2c_input.R1	32.36000401430262	48.0	150.0	18.181818181818183	26481659.0
8Cell_siTfap2c_input.R2	30.5090707585304	50.0	150.0	36.36363636363637	26481659.0
