Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
TSC_Cdx2_100k_rep1.R1_cut	29.0778471589	135.388847958	42042867.0	9.09090909091	41.0
TSC_Cdx2_100k_rep1.R2_cut	18.3822790169	135.341220807	42042867.0	9.09090909091	42.0
TSC_Cdx2_10k_rep1.R1_cut	27.6938071054	136.599200782	48204610.0	18.1818181818	42.0
TSC_Cdx2_10k_rep1.R2_cut	26.9769966835	136.547122194	48204610.0	18.1818181818	42.0
TSC_Cdx2_1k_rep1.R1_cut	31.9108349544	135.110997045	36197252.0	9.09090909091	43.0
TSC_Cdx2_1k_rep1.R2_cut	31.3517549936	135.098791754	36197252.0	9.09090909091	43.0
TSC_Cdx2_1k_rep2.R1_cut	35.2652536985	135.600576664	42387586.0	9.09090909091	42.0
TSC_Cdx2_1k_rep2.R2_cut	34.4915009949	135.55056898	42387586.0	9.09090909091	43.0
TSC_Cdx2_5k_rep1.R1_cut	31.0101525692	136.445524027	49446909.0	9.09090909091	42.0
TSC_Cdx2_5k_rep1.R2_cut	19.5829040041	136.448604745	49446909.0	9.09090909091	42.0
TSC_IgG_10k_rep1.R1_cut	20.4594868104	138.387091908	39017075.0	9.09090909091	42.0
TSC_IgG_10k_rep1.R2_cut	20.3430420347	138.349133886	39017075.0	9.09090909091	42.0
TSC_IgG_1k_rep1.R1_cut	24.8991185389	142.42544781	48303048.0	9.09090909091	43.0
TSC_IgG_1k_rep1.R2_cut	24.143832674	142.362328108	48303048.0	9.09090909091	43.0
TSC_IgG_1k_rep2.R1_cut	22.7058013813	143.311060778	38807088.0	9.09090909091	43.0
TSC_IgG_1k_rep2.R2_cut	21.7848803232	143.220704347	38807088.0	9.09090909091	43.0
