Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
CP_EPI_E6-5_Nanog_rep1.R1	53.9411200629	150.0	64603726.0	45.4545454545	51.0
CP_EPI_E6-5_Nanog_rep1.R2	50.6263034873	150.0	64603726.0	45.4545454545	55.0
CP_EPI_E6-5_Nanog_rep2.R1	53.9419127055	150.0	55420424.0	36.3636363636	49.0
CP_EPI_E6-5_Nanog_rep2.R2	49.8159075157	150.0	55420424.0	36.3636363636	52.0
CP_EPI_E6-5_Nanog_rep3.R1	50.8352461672	150.0	52775532.0	45.4545454545	50.0
CP_EPI_E6-5_Nanog_rep3.R2	46.3698329974	150.0	52775532.0	36.3636363636	52.0
CP_EPI_E6-5_Sox2_rep1.R1	48.1243366991	150.0	60680628.0	27.2727272727	47.0
CP_EPI_E6-5_Sox2_rep1.R2	43.1074681689	150.0	60680628.0	36.3636363636	51.0
CP_EPI_E6-5_Sox2_rep2.R1	51.4019020415	150.0	59574354.0	36.3636363636	48.0
CP_EPI_E6-5_Sox2_rep2.R2	46.6037368027	150.0	59574354.0	36.3636363636	51.0
CP_EPI_E6-5_Sox2_rep3.R1	58.9801065125	150.0	70636185.0	45.4545454545	48.0
CP_EPI_E6-5_Sox2_rep3.R2	51.7728222044	150.0	70636185.0	45.4545454545	51.0
CP_EXE_E6-5_Cdx2_rep1.R1	48.1748173921	150.0	62448561.0	27.2727272727	48.0
CP_EXE_E6-5_Cdx2_rep1.R2	46.2271473169	150.0	62448561.0	36.3636363636	51.0
CP_EXE_E6-5_Cdx2_rep2.R1	43.9875396844	150.0	50764519.0	27.2727272727	50.0
CP_EXE_E6-5_Cdx2_rep2.R2	40.0549538422	150.0	50764519.0	36.3636363636	54.0
CP_EXE_E6-5_Cdx2_rep3.R1	58.979036707	150.0	58832760.0	45.4545454545	54.0
CP_EXE_E6-5_Cdx2_rep3.R2	52.4295755568	150.0	58832760.0	45.4545454545	61.0
CP_VE_E6-5_Gata6_rep1.R1	63.8044506337	150.0	70783541.0	36.3636363636	48.0
CP_VE_E6-5_Gata6_rep1.R2	56.632224538	150.0	70783541.0	45.4545454545	52.0
CP_VE_E6-5_Gata6_rep2.R1	68.0837262777	150.0	57688834.0	36.3636363636	52.0
CP_VE_E6-5_Gata6_rep2.R2	62.8566380288	150.0	57688834.0	36.3636363636	59.0
CP_VE_E6-5_Gata6_rep3.R1	49.7786425171	150.0	55876296.0	27.2727272727	46.0
CP_VE_E6-5_Gata6_rep3.R2	46.0099102344	150.0	55876296.0	36.3636363636	49.0
