chr	start	end	TSC_Tfap2c_ds
chr8	3220971	3221775	13.298889462627582
chr8	3247448	3247755	7.781373121839393
chr8	3278922	3279886	15.539812009858887
chr8	3337198	3337870	13.64534419916925
chr8	3345275	3345649	13.387051119523889
chr8	3357142	3357960	13.826268916608068
chr8	3389675	3391216	25.110220357089133
chr8	3392586	3393434	25.506437985402233
chr8	3408684	3408896	13.188893012280735
chr8	3411611	3412557	21.31176828884423
chr8	3417402	3418071	18.203774366678143
chr8	3425169	3425692	10.107149434591115
chr8	3426110	3426377	8.222508723369698
chr8	3467286	3468168	17.738661119456733
chr8	3476028	3476480	16.820296947934985
chr8	3492579	3493618	18.792412901062363
chr8	3499902	3501000	29.70622499914117
chr8	3515399	3517137	18.265911829981263
chr8	3536094	3536643	9.23724786310248
chr8	3559042	3559277	12.67485524644243
chr8	3567363	3568156	27.64005521026265
chr8	3579693	3579911	14.92176679296231
chr8	3587168	3588521	26.709258701214505
chr8	3599317	3599769	16.6050577796666
chr8	3609814	3610393	11.681958086544162
chr8	3620694	3621954	16.87085178276849
chr8	3630778	3632077	36.07936737994399
chr8	3646010	3646442	16.78049659287488
chr8	3647151	3648033	31.54380560029391
chr8	3665138	3666075	27.331736100521514
chr8	3671813	3672517	37.7260794097727
chr8	3675957	3677109	41.134887880749176
chr8	3718330	3719047	10.855893812086459
chr8	3862376	3863361	14.163723394713426
chr8	4140193	4140480	14.491597620867687
chr8	4165383	4166933	38.63789111844955
chr8	4192951	4193788	40.63385111171855
chr8	4214113	4214585	16.199044567043497
chr8	4216654	4217536	25.913069173592287
chr8	4226995	4227317	10.959438757866806
chr8	4237925	4239387	41.52615862962485
chr8	4250339	4251074	33.654327498974446
chr8	4252491	4253767	35.426338379659626
chr8	4258482	4259481	25.90024771036448
chr8	4267577	4268053	11.84913835104774
chr8	4275258	4276416	31.002105226994384
chr8	4324526	4325618	26.713387667477786
chr8	4353926	4354139	13.121861672737229
chr8	4369862	4370180	11.083557917636895
chr8	4492918	4494037	29.697213662107465
chr8	4586491	4587233	25.245685475855826
chr8	4612622	4613740	12.264655705641335
chr8	4677170	4679001	84.4573850714649
chr8	4732408	4733195	11.509070014711256
chr8	5094096	5094323	11.621584791443947
chr8	5476271	5476589	8.746193908295542
chr8	7832154	7832604	13.158010192447238
chr8	8236913	8237559	13.684384154092417
chr8	8402810	8403062	10.839512124894158
chr8	8509103	8510143	20.08863543180319
chr8	8529874	8530608	13.703453833140859
chr8	8608972	8609518	12.554161407135345
chr8	8659063	8659299	21.143293906066376
chr8	8660834	8661946	23.296802282333374
chr8	8682418	8682767	7.70779007143824
chr8	8689667	8689894	14.977787085041602
chr8	8690281	8691065	20.823893189430237
chr8	8699926	8700892	21.107584536692617
chr8	8704781	8705584	28.38278160712787
chr8	8732180	8732548	10.11376722999241
chr8	8745844	8746471	10.567983606025173
chr8	8772122	8772459	31.45870139690818
chr8	8774267	8775997	36.78745825035194
chr8	8835872	8836129	15.245419134889595
chr8	8836483	8836808	18.18009279397818
chr8	8966104	8966508	17.574170336864963
chr8	8979347	8979927	13.293861219800752
chr8	8992613	8993189	11.59099660979377
chr8	9072200	9073273	18.44346258424757
chr8	9771423	9771634	13.554443024911022
chr8	9771895	9772384	15.467117906348106
chr8	9886625	9886895	9.058224307166206
chr8	9900828	9901881	17.363340857361795
chr8	9935044	9935772	11.442595759590903
chr8	9976065	9976935	20.13992512363127
chr8	9977470	9978262	22.644411178550335
chr8	10439026	10439339	10.418985244945977
chr8	10589700	10589992	8.712655701049387
chr8	10746672	10747358	16.371189360715906
chr8	10761453	10761986	10.578889258135998
chr8	10775363	10775794	10.186259016360042
chr8	10854180	10854917	10.052590427114003
chr8	10921299	10922147	41.03032378880483
chr8	10924627	10926123	33.69121667025561
chr8	10946001	10946878	10.644562068251954
chr8	10953527	10953905	25.37603185290382
chr8	10962086	10962596	11.130990617415485
chr8	10994525	10995041	18.807608225548915
chr8	10996987	10997774	28.59661944485074
chr8	11008638	11009962	45.18611060960775
chr8	11187778	11188166	11.430635199104387
chr8	11243247	11243598	12.682297766378463
chr8	11258052	11259165	23.221373668578114
chr8	11259426	11260460	29.662187371539886
chr8	11263656	11264531	32.554424352373395
chr8	11274528	11275104	17.376025825738907
chr8	11279159	11279689	12.120588442064681
chr8	11312307	11314049	36.39089075600754
chr8	11322897	11323328	8.894105816108722
chr8	11346085	11347215	16.833594052137528
chr8	11355032	11355634	8.42309524054543
chr8	11371168	11372715	28.06767084495283
chr8	11379739	11380817	35.10261971256065
chr8	11392270	11393779	35.678720764958996
chr8	11476577	11477119	13.956684841001167
chr8	11478130	11478480	12.812218543461391
chr8	11482296	11482645	13.293666074474084
chr8	11496357	11498140	36.4926836453293
chr8	11549907	11550995	22.61266383178094
chr8	11554944	11556383	96.08019773524366
chr8	11558119	11558659	54.570993741353355
chr8	11575112	11575604	16.14928199605244
chr8	11601234	11602432	15.249001549559962
chr8	11634812	11636863	108.64988209407845
chr8	11656460	11657147	11.37211930803857
chr8	11700240	11700546	11.475320778641047
chr8	11717626	11718797	10.30892440256759
chr8	11727425	11728803	22.48267224288298
chr8	11741739	11742001	10.029452746151058
chr8	11757804	11758874	31.144016545732445
chr8	11767467	11767825	15.36695635118964
chr8	11779490	11779699	6.887845338246469
chr8	11788013	11788816	16.101868203686895
chr8	11801487	11802040	10.487839093475618
chr8	11815452	11815776	10.574679847116824
chr8	12062505	12063546	23.186295625684814
chr8	12073228	12074301	19.93381431629362
chr8	12386033	12386434	9.40140313222224
chr8	12395543	12396280	13.01660164272769
chr8	12396603	12397153	20.470018300143156
chr8	12397453	12397728	16.139516705599696
chr8	12501973	12502919	14.472634016081344
chr8	12629333	12629648	8.04873963310605
chr8	12671291	12672655	31.38818917805848
chr8	12677169	12677680	12.269647206345649
chr8	12696236	12696867	18.897274695939004
chr8	12698142	12699101	17.41601022117702
chr8	12730286	12731337	19.648023654346122
chr8	12732763	12733129	18.610377455018256
chr8	12740868	12741234	9.240231609083915
chr8	12744022	12744340	11.722898663214917
chr8	12756377	12757046	34.786741658711115
chr8	12758299	12758646	22.935349505641618
chr8	12774774	12775109	16.30941796373965
chr8	12780977	12781382	10.929250793692507
chr8	12831906	12832259	15.468487628796282
chr8	12873165	12874201	19.27360962716769
chr8	12879052	12879575	13.3643722515945
chr8	12911930	12912591	11.47628673879534
chr8	12928952	12929255	15.715868820845097
chr8	12950973	12951727	13.94520458239143
chr8	12978528	12978875	9.098860446589137
chr8	12992608	12993098	10.456563147720026
chr8	13104911	13106353	34.303636162687766
chr8	13132107	13132778	13.998010624005792
chr8	13158688	13159954	26.368544976293194
chr8	13199974	13201072	33.486137263327564
chr8	13213887	13214495	14.790456724794288
chr8	13287240	13288487	51.91767613335237
chr8	13326735	13327086	11.706013008400246
chr8	13332452	13333315	34.968394719297336
chr8	13338207	13339470	24.219096758397722
chr8	13354867	13355810	16.397633113638594
chr8	13494016	13494667	17.168259872635755
chr8	13549139	13549507	10.303872390933659
chr8	13550919	13551327	12.55276634646397
chr8	13594783	13595106	13.495728020328487
chr8	13595760	13596055	12.78323988187111
chr8	13602578	13602935	11.22147251845074
chr8	13643875	13645107	33.30681497710092
chr8	13648420	13649176	18.65430167364696
chr8	13668030	13669572	29.87022116026526
chr8	13676598	13676814	16.00876608159807
chr8	13677121	13678187	27.530020257545456
chr8	13685189	13685422	10.911857494468853
chr8	13707815	13708229	11.215752799729794
chr8	13708623	13708907	14.719734413523069
chr8	13715702	13715939	13.333474432868796
chr8	13718232	13719354	12.241389426743071
chr8	13727418	13727814	17.117705270497485
chr8	13747689	13747958	10.174801805205504
chr8	13757239	13758441	14.472580735179628
chr8	13785252	13786613	72.11216995805437
chr8	13869272	13870297	21.479947412072157
chr8	13889455	13890681	36.78687841468301
chr8	13907080	13908344	61.30731400960608
chr8	13948074	13948305	8.264189352720846
chr8	13974129	13975267	41.35950480865049
chr8	14010844	14011687	14.364069385460688
chr8	14014908	14015606	16.725527745604857
chr8	14072875	14073188	10.31598125555264
chr8	14089877	14090811	15.060581361966674
chr8	14095503	14096311	12.732520555505658
chr8	14296377	14296633	10.13427909091115
chr8	14297150	14297591	12.71890140823226
chr8	14330937	14331833	16.705138197966985
chr8	14340147	14340500	11.32694591273667
chr8	14607956	14608685	13.154947601718668
chr8	14731760	14732429	11.352132375286656
chr8	14746552	14746860	9.805609367110513
chr8	14888041	14889206	40.17390287915013
chr8	14896993	14897538	12.244263850220847
chr8	14911344	14912463	13.650062011330121
chr8	14931279	14931509	9.193589363927426
chr8	14985664	14985907	6.614584528369668
chr8	14995685	14996508	11.710212962450697
chr8	15027337	15028490	22.104363764872886
chr8	15077387	15077870	28.132131568640162
chr8	15085718	15086470	17.996243399508455
chr8	15303711	15304046	10.22581059327766
chr8	15548712	15549106	11.825302775136105
chr8	15549769	15550294	17.158949040004185
chr8	17535218	17535520	9.104614884648102
chr8	17888482	17888764	11.80660830490978
chr8	18594596	18596051	40.480760684455795
chr8	18616354	18616689	14.71225279907682
chr8	18699216	18700081	19.070414866188358
chr8	18767914	18768149	14.935381613386438
chr8	18770315	18770912	22.558764646201077
chr8	18778027	18778640	11.21321989544842
chr8	18806603	18807007	10.285310787729697
chr8	18807305	18807631	14.129308206172077
chr8	18845820	18847357	33.56765092404228
chr8	18898530	18899538	19.205535967435157
chr8	18902295	18902759	12.83049107008967
chr8	18936119	18936806	11.201081695167952
chr8	18946163	18946383	14.728972252932461
chr8	19535117	19535776	12.273282356435866
chr8	19954366	19955664	22.16644769824341
chr8	19979729	19980642	26.606957220430573
chr8	20297185	20297474	22.105146144088163
chr8	20966662	20967166	10.01645192835066
chr8	21783822	21784135	8.912103378734649
chr8	22045562	22046390	33.11586376204007
