Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3214482	3671498	1.018848	0.156875	0.392749
Rp1	Rp1	chr1	-	4119866	4409241	0.879319	0.385017	0.963920
Sox17	Sox17	chr1	-	4490928	4497354	22.889454	4.370373	10.941572
Mrpl15	Mrpl15	chr1	-	4773200	4785726	108.922203	24.840631	62.190468
Lypla1	Lypla1	chr1	+	4807823	4846735	153.285400	23.694637	59.321388
Tcea1	Tcea1	chr1	+	4857694	4897909	48.190704	32.878052	82.312790
Rgs20	Rgs20	chr1	-	4909576	5070285	2.715625	0.508964	1.274231
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	220.296387	33.958530	85.017845
Oprk1	Oprk1	chr1	+	5588493	5606133	1.425961	0.219559	0.549684
Npbwr1	Npbwr1	chr1	-	5913707	5917398	1.140574	0.175617	0.439672
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	257.009491	39.572495	99.072845
Alkal1	Alkal1	chr1	+	6359331	6394731	0.521238	0.080257	0.200929
St18	St18	chr1	+	6487231	6860940	0.491212	0.174181	0.436076
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	49.959091	7.692346	19.258390
Sntg1	Sntg1	chr1	-	8359739	9299877	1.262243	0.194351	0.486573
Rrs1	Rrs1	chr1	+	9545408	9547455	227.586426	35.042141	87.730751
Adhfe1	Adhfe1	chr1	+	9547948	9577970	1.141352	0.175737	0.439972
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	0.878352	0.135242	0.338590
Vxn	Vxn	chr1	+	9601267	9627142	2.258109	0.347688	0.870463
Mybl1	Mybl1	chr1	-	9667411	9700209	58.164333	9.138696	22.879444
Vcpip1	Vcpip1	chr1	-	9718622	9748382	39.765614	6.122827	15.328976
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	3.615128	0.556632	1.393571
Sgk3	Sgk3	chr1	+	9798130	9902568	23.267529	14.704715	36.814407
Mcmdc2	Mcmdc2	chr1	+	9908638	9940954	2.133450	0.328493	0.822409
Snhg6	Snhg6	chr1	-	9942025	9944118	122.341515	18.837276	47.160599
Snord87	Snord87	chr1	-	9942470	9942543	53.918919	8.302052	20.784838
Tcf24	Tcf24	chr1	-	9960163	9967810	5.588616	0.860495	2.154318
Ppp1r42	Ppp1r42	chr1	-	9968622	10009136	1.563774	0.243310	0.609145
Cops5	Cops5	chr1	-	10024600	10038159	295.527222	45.983315	115.122826
Cspp1	Cspp1	chr1	+	10038218	10136768	56.657558	10.718463	26.834517
Arfgef1	Arfgef1	chr1	-	10137507	10232670	130.700073	20.124268	50.382683
Cpa6	Cpa6	chr1	-	10324719	10719945	0.618800	0.095278	0.238537
Mir467e	Mir467e	chr1	-	10708387	10865874	0.000000	0.000000	0.000000
Prex2	Prex2	chr1	+	10993465	11303682	2.619372	0.530745	1.328761
A830018L16Rik	A830018L16Rik	chr1	+	11414105	11975902	0.826056	0.195025	0.488259
Mir6341	Mir6341	chr1	+	12425986	12426106	0.942149	0.145065	0.363183
Gm17644	Gm17644	chr1	+	12667563	12673090	0.989107	0.152296	0.381284
Sulf1	Sulf1	chr1	+	12692430	12860372	2.573946	1.259754	3.153892
Slco5a1	Slco5a1	chr1	-	12866550	12991135	5.474334	0.842899	2.110264
Prdm14	Prdm14	chr1	-	13113428	13127163	2.826248	0.435166	1.089471
Ncoa2	Ncoa2	chr1	-	13139105	13374083	42.215633	6.711574	16.802952
Tram1	Tram1	chr1	-	13564693	13589910	148.238907	22.824774	57.143612
Lactb2	Lactb2	chr1	-	13625900	13660509	427.433655	65.813194	164.768509
