chr	start	end	TSC_Tfap2c_1k
chrM	98	4741	4243.214092824922
chrM	5782	6469	3657.9667791063957
chrM	10964	16277	4225.243475088029
chr18	3004230	3004586	31.57538207729211
chr18	3005722	3005962	56.76072874863942
chr18	3009506	3010422	20.34203054342728
chr18	3104594	3104838	7.654637852653128
chr18	3110765	3111081	14.975003139882148
chr18	3113600	3114260	31.46519847349687
chr18	3117943	3118704	38.33505683628238
chr18	3120621	3121218	31.1282268520975
chr18	3125968	3126232	10.30187654133999
chr18	3211678	3212307	8.802228437887656
chr18	3245366	3246492	22.87962064861616
chr18	3280843	3281622	10.150995930290957
chr18	3336724	3338218	31.230595969671516
chr18	3382658	3383827	31.91506099048285
chr18	3507035	3508627	53.26979316613449
chr18	3623388	3623792	5.713507574383575
chr18	3638870	3639235	31.1743174775006
chr18	3821751	3822626	10.158363331930978
chr18	3867264	3867788	10.044533767772995
chr18	3963322	3964363	20.612745218157883
chr18	4004220	4004599	9.168403556290277
chr18	4012233	4012648	10.55787207936666
chr18	4019334	4019693	10.018192390877557
chr18	4128026	4128533	9.743433141614323
chr18	4236351	4236604	7.221984953748379
chr18	4249369	4250379	9.726322145745305
chr18	4266108	4266853	15.108413736612205
chr18	4281354	4281642	13.204252749681473
chr18	4304309	4305584	24.52216282638849
chr18	4310720	4311813	15.506771472431822
chr18	4352709	4354001	29.191602110493662
chr18	4369098	4369560	9.561673889944563
chr18	4375199	4376020	9.607468351812514
chr18	4403712	4404770	9.152648804543825
chr18	4427068	4427607	7.323032949762575
chr18	4427954	4428292	9.982741642280443
chr18	4546664	4547712	21.889484957884285
chr18	4581363	4582405	19.793703620127204
chr18	4591937	4592825	21.404978705956054
chr18	4634841	4635943	18.260001980457893
chr18	4670606	4670847	9.625474900130909
chr18	4773562	4774409	12.90218188039246
chr18	4798057	4798290	9.62908932681759
chr18	4803555	4804259	23.23357135734775
chr18	4808466	4809264	12.8335270009244
chr18	4920132	4923638	33.30007409947283
chr18	4929306	4929983	13.419368057870795
chr18	4974787	4975727	8.442506144401875
chr18	5027678	5028547	11.047253197712783
chr18	5162002	5162784	21.22840884762347
chr18	5163243	5163616	14.564352955958798
chr18	5333920	5335187	57.613991321121134
chr18	5375928	5376866	15.152606017553984
chr18	5444250	5444954	11.446080551906066
chr18	5591296	5593207	14.55418043976655
chr18	5806189	5806917	9.967338366167885
chr18	5819297	5820337	22.097624388107885
chr18	5989497	5990371	21.714121149115485
chr18	6134958	6136780	37.52941612097559
chr18	6145017	6145418	10.550433308703644
chr18	6240565	6242004	30.674142535980415
chr18	6275737	6276284	11.7100650126581
chr18	6411008	6411402	9.768413449301937
chr18	6415464	6416423	17.751340811394304
chr18	6489637	6490833	32.7050200632982
chr18	6515873	6516616	34.94245197891708
chr18	6626905	6627667	9.204153724229867
chr18	6758147	6758444	6.86984529720011
chr18	6764496	6765578	30.447355026238068
chr18	6773932	6774937	12.64653290658448
chr18	6788268	6788995	9.514603478380542
chr18	6885397	6886396	15.107378340101576
chr18	7003356	7005494	20.017904126070455
chr18	7045612	7046537	12.549477444210568
chr18	7433377	7433818	9.217682400528265
chr18	7535506	7535988	10.846724919758397
chr18	7583577	7584413	10.536582572038094
chr18	7614523	7614945	10.171419119947894
chr18	7626233	7627426	56.019391342060764
chr18	7692651	7693724	10.222834448445543
chr18	7868266	7869457	29.217776147184203
chr18	7959845	7960239	12.42809098384102
chr18	8136425	8137418	21.210599373954782
chr18	8523937	8524398	7.903705624851384
chr18	8822140	8822569	10.856568934478403
chr18	8870950	8872175	12.52862075883515
chr18	8914430	8915300	10.641718883624023
chr18	8937516	8937822	11.812157909854564
