chr	start	end	8Cell_Tfap2c_ds
chr1	4447796	4448617	22.376317034685364
chr1	4571506	4572115	13.2953425972724
chr1	4785383	4785693	16.55087095691312
chr1	4787794	4788004	20.47322590237572
chr1	4788254	4788613	19.434180852098386
chr1	4807508	4807733	20.441879412333172
chr1	4842105	4842616	14.529863251165402
chr1	4857156	4857362	20.584753013351587
chr1	5082849	5083547	15.382905499641396
chr1	5915844	5916583	13.678295822040315
chr1	6142582	6143301	17.149888933948414
chr1	6160907	6161235	18.32704565583206
chr1	6188724	6188925	21.053393563227868
chr1	6214325	6215120	18.82275394223771
chr1	6293313	6293564	9.824007241374469
chr1	6990350	6990681	14.526778477556396
chr1	7045198	7045430	23.4040138022653
chr1	7050760	7051105	11.630231470301531
chr1	7088665	7089332	11.11112002096791
chr1	7206155	7206551	10.519499925651935
chr1	7298552	7299353	13.372131072626578
chr1	7397687	7398425	13.100279605162498
chr1	8757790	8757996	10.042108517248653
chr1	9366915	9367160	8.895595608925333
chr1	9367920	9368134	9.075288380417868
chr1	9535459	9535995	11.191657639261502
chr1	9544933	9545192	15.022277739977744
chr1	9699882	9700300	12.491242068806333
chr1	9700514	9700817	16.978270581059725
chr1	9768498	9768917	35.741156065947685
chr1	9805828	9806202	14.213136978965393
chr1	9825404	9825688	15.480585796732298
chr1	9848366	9848931	23.479335600928923
chr1	9865593	9865808	15.122776151257892
chr1	9878255	9878644	13.088682159972988
chr1	9886931	9887209	17.198150579877893
chr1	9943791	9944021	18.175868714374044
chr1	9944304	9944632	19.64265764631876
chr1	9968943	9969183	13.702072914441427
chr1	10008776	10009495	14.885050505689852
chr1	10037744	10038403	19.107043412458914
chr1	10039222	10039571	18.663954947944358
chr1	10039793	10040202	28.96814864422115
chr1	10233150	10233444	15.352959678286599
chr1	11330049	11330719	12.101970653747445
chr1	11466920	11467159	19.890422042942447
chr1	11467534	11467815	8.716942848259869
chr1	11492863	11493275	11.873369726162512
chr1	11493504	11493813	10.06329891365323
chr1	12587276	12587603	10.915751541790977
chr1	12865135	12866129	18.600403973754023
chr1	12874080	12874442	18.953655948955053
chr1	12875158	12875829	15.283978582316823
chr1	12886469	12886991	10.816681846348262
chr1	12992186	12992724	17.460234229892603
chr1	13052206	13052553	15.554897146197492
chr1	13065030	13065396	13.644389183794866
chr1	13065637	13066158	14.700186566519417
chr1	13075005	13075244	18.888352845004412
chr1	13117946	13118202	16.67937133461237
chr1	13118593	13118965	17.8648838919978
chr1	13125524	13125777	21.75465544598847
chr1	13132232	13132581	26.4202581476687
chr1	13259257	13260046	16.97733431623916
chr1	13333873	13334121	8.3942339381864
chr1	13336422	13336633	11.285644797917225
chr1	13372115	13372793	17.655142314314492
chr1	13373655	13374021	22.633829924578222
chr1	13465604	13465808	12.903040979422775
chr1	13514623	13514950	10.778945855773552
chr1	13604944	13605266	35.88346564843788
chr1	13606152	13606508	20.609352963694025
chr1	13606841	13607401	21.028493785858153
chr1	13621684	13622121	12.988036592164901
chr1	13664136	13664349	17.464857584993606
chr1	13664721	13665266	18.423142024136464
chr1	13687116	13687439	11.380272218686509
chr1	13698930	13699305	13.078338673909505
chr1	14506375	14507088	10.106589212323973
chr1	14507364	14507623	11.877535020982897
chr1	14689507	14689778	11.955520270935283
chr1	14742850	14743147	12.258969926673554
chr1	14755061	14755871	11.80649991153199
chr1	15061423	15062711	12.047135698499147
chr1	15062928	15063245	14.109967409248231
chr1	15286382	15286750	11.36140882709752
chr1	15892216	15892933	17.16044865692011
chr1	15967313	15967718	16.856425688001845
chr1	15975405	15975652	9.344804904721526
chr1	15994020	15994358	15.147541539908866
chr1	16085733	16086121	11.61515688035906
chr1	16093437	16093858	15.824474631465812
chr1	16104494	16105099	16.08838308665378
chr1	16206652	16206863	12.65853732231104
chr1	16518670	16519222	13.15119801569676
chr1	16618785	16619680	15.534095780143526
chr1	16626167	16626439	9.37642087655909
chr1	16668799	16669111	14.997031428875067
chr1	16682536	16683523	25.232341993422736
chr1	16792861	16793223	9.804591161770057
chr1	16814158	16814361	12.748916264238028
chr1	17097522	17098083	11.403768767222576
chr1	17244406	17244660	13.062809384713962
chr1	18223477	18224095	10.642384797238224
chr1	18246049	18246282	10.47525105046612
chr1	18246506	18246873	13.293568078438657
chr1	18845689	18846000	12.21582517286589
chr1	19213077	19213379	11.54841399034917
chr1	20951628	20951906	11.929213177385948
chr1	21078831	21079249	25.944336021916147
chr1	21079479	21079821	35.085054587202464
chr1	21099373	21099626	14.533270700175771
chr1	21166442	21167435	17.777482987890792
chr1	21255780	21256493	17.46484100400649
chr1	21256772	21256993	12.409127166368304
chr1	21327072	21327643	18.95623187050093
chr1	21333878	21334078	22.377944259643556
chr1	21344552	21345440	13.65685523898752
chr1	21346585	21346799	14.785596081029588
chr1	21360304	21361111	11.990322035632317
chr1	21365971	21366463	24.16994950247974
chr1	21368108	21368405	26.498026529947918
chr1	21370886	21371179	13.517402626141752
chr1	21381272	21381883	11.98663857174388
chr1	21400286	21400507	15.250358723946826
chr1	22822721	22823044	17.17176739719261
chr1	23246536	23247160	13.498550511323488
chr1	23247389	23247665	7.902379796124887
chr1	23256380	23256758	14.284998878600105
chr1	23761835	23762248	15.780957947054441
chr1	23873398	23873969	19.851430421117726
chr1	23938104	23938483	29.392793816438136
chr1	23966454	23966867	19.741037384938384
chr1	24099825	24100205	15.282222170578805
chr1	24100502	24100844	21.512031036510802
chr1	24611534	24612100	30.446950527888728
chr1	24615707	24616287	25.705147077297344
chr1	24678714	24679079	12.762575264499612
chr1	24688186	24688393	20.042544415607544
chr1	24770929	24771208	13.630612434879426
chr1	24776837	24777224	18.080268007224227
chr1	24783162	24783362	14.091226110458374
chr1	24784179	24784474	11.543197858131538
chr1	25021513	25021840	9.48266514944374
chr1	25546084	25546431	13.36015518804105
chr1	26339709	26339960	11.451924027674702
chr1	26686062	26686623	12.568747162606414
chr1	26687060	26688298	13.607136174049439
chr1	26739648	26739862	12.618735126245802
chr1	28388388	28388756	12.81271948762562
chr1	29978307	29978516	14.08478118586198
chr1	30864727	30864946	10.83351434420233
chr1	30873527	30874153	13.408356321505464
chr1	30898547	30898755	18.09451197202389
chr1	30908689	30908911	21.902576987807816
chr1	30937098	30937306	14.0790609396421
chr1	30937832	30938319	22.980892629838824
chr1	30949011	30949582	18.410682743359782
chr1	31067479	31067749	10.644032616085477
chr1	32720037	32720488	11.320797091312789
chr1	33669543	33670136	13.077246177859893
chr1	33720025	33720442	14.105464782074487
chr1	33744091	33744329	19.662254229313184
chr1	33814208	33814556	17.643747642122467
chr1	33903415	33903627	13.718214822265336
chr1	34011764	34012064	10.21427539507548
chr1	34107123	34107437	12.172088620009696
chr1	34120519	34120751	10.235879104712915
chr1	34381844	34382175	14.075198663325468
chr1	34382469	34382729	9.362255925398607
chr1	34432848	34433230	20.371958298208828
chr1	34439464	34440114	24.308298548918504
chr1	34451313	34452019	20.996998187165083
chr1	34459293	34460329	15.23450139590672
chr1	34485472	34485938	16.747751352613065
chr1	34511299	34511612	18.128219503945054
chr1	34516599	34517035	12.071877105520405
chr1	34536530	34537597	20.876636801865352
chr1	34635838	34636212	10.492103656982993
chr1	34739552	34740472	14.78286967692168
chr1	34752896	34753437	19.166399340973324
chr1	34801324	34802353	19.368416767657905
chr1	34852165	34852385	9.249336275187405
chr1	34930361	34930673	10.711419081076597
chr1	35213676	35214084	13.078188769957599
chr1	35275743	35275985	11.077554501777838
chr1	35341724	35341990	13.503073946873945
chr1	35391321	35391569	9.362109099664996
chr1	35846517	35846973	18.105627360051137
chr1	35869941	35870345	16.810378102972955
chr1	35871029	35871261	16.507202214208142
chr1	35986256	35987038	24.492658015102375
chr1	36001256	36001730	15.865471373127482
chr1	36013341	36013802	23.823764784475728
chr1	36014022	36014446	26.064832480448597
chr1	36019056	36019442	25.79005604580894
chr1	36030510	36031439	14.929741324598233
chr1	36039886	36040486	15.303236201604207
chr1	36054530	36055343	21.720164295785395
chr1	36067899	36068214	33.932422304910325
chr1	36076782	36077185	24.921435259116198
chr1	36095976	36096284	18.30204666744579
chr1	36243978	36244215	21.593596462459
chr1	36249779	36249981	19.64204470946057
chr1	36254855	36255091	15.136330026691242
chr1	36256036	36256357	14.166960979176459
chr1	36286031	36286283	16.095506800545586
chr1	36307793	36308029	21.0956546937005
chr1	36316480	36316756	16.022188946820688
chr1	36444743	36445253	20.375266179851458
chr1	36464131	36464447	21.729977843127674
chr1	36511488	36512095	31.464102162167897
chr1	36546634	36547201	21.40872854236152
chr1	36557975	36558272	26.071889954383927
chr1	36583300	36583959	21.676613735320537
chr1	36594464	36594755	16.20115973285793
chr1	36611780	36612006	16.551983145485938
chr1	36634643	36635065	23.062526400055365
chr1	36650409	36650834	13.847659768497243
chr1	36684360	36684614	22.156528217586008
chr1	36709549	36709971	12.482725762642955
chr1	36732074	36732691	13.74452472776416
chr1	36784936	36785290	18.227729918593067
chr1	36902601	36903032	12.063833493367701
chr1	36939662	36939874	23.699974015073956
chr1	37056757	37057286	13.581714801391717
chr1	37117600	37117909	9.983852787696813
chr1	37250493	37250815	16.049284940921
chr1	37253594	37253913	12.24979272830449
chr1	37261902	37262162	15.89191914338332
chr1	37285457	37285986	10.81793003136359
chr1	37299909	37300303	25.71916632966947
chr1	37315090	37315517	12.448982868596598
chr1	37401950	37402272	14.495715268650411
chr1	37429616	37429995	11.47497943334655
chr1	37430199	37430535	15.401681136517297
chr1	37457728	37458106	14.272005754803855
chr1	37458330	37458788	17.3785734114168
chr1	37471195	37471866	12.897763907465245
chr1	37533280	37533493	12.350153139499431
chr1	37540427	37540985	29.826613935518434
chr1	37569153	37569366	22.157009948587195
chr1	37684148	37685584	19.090759383934785
chr1	37718679	37718901	20.447814855489646
chr1	37852350	37852567	12.426697898020942
chr1	37864440	37865533	16.523330165831627
chr1	37934309	37934598	18.314181997701784
chr1	37948526	37949372	15.974046372352763
chr1	37997470	37998001	18.391069722938898
chr1	38128890	38130347	23.18214327485576
chr1	38137406	38137620	16.16726856142561
chr1	38331006	38331239	13.26615755138479
chr1	38591943	38592329	15.26938675845843
chr1	38832851	38833058	16.31868246787988
chr1	38987367	38987586	20.296974848394523
chr1	38987791	38988192	24.564139447010067
chr1	39006053	39006379	15.395523255588087
chr1	39073015	39073562	11.145114192579085
chr1	39122406	39123974	19.068056809050695
