Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Xkr4	Xkr4	chr1	-	3214482	3671498	0.756109	0.066828	0.182004
Rp1	Rp1	chr1	-	4119866	4409241	0.288999	0.101675	0.276907
Sox17	Sox17	chr1	-	4490928	4497354	0.208310	0.018520	0.050438
Mrpl15	Mrpl15	chr1	-	4773200	4785726	222.764603	25.991169	70.786041
Lypla1	Lypla1	chr1	+	4807823	4846735	395.281769	35.068184	95.506973
Tcea1	Tcea1	chr1	+	4857694	4897909	336.076202	131.459854	358.026337
Rgs20	Rgs20	chr1	-	4909576	5070285	9.096086	0.950742	2.589312
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	204.618103	18.103453	49.304119
Oprk1	Oprk1	chr1	+	5588493	5606133	0.000000	0.000000	0.000000
Npbwr1	Npbwr1	chr1	-	5913707	5917398	0.000000	0.000000	0.000000
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	1662.179932	146.910385	400.105286
Alkal1	Alkal1	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
St18	St18	chr1	+	6487231	6860940	0.900667	0.182208	0.496237
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	39.922112	3.528482	9.609698
Sntg1	Sntg1	chr1	-	8359739	9299877	0.000000	0.000000	0.000000
Rrs1	Rrs1	chr1	+	9545408	9547455	583.707520	51.590504	140.504929
Adhfe1	Adhfe1	chr1	+	9547948	9577970	2.159810	0.190893	0.519890
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	2.308703	0.204053	0.555731
Vxn	Vxn	chr1	+	9601267	9627142	5.991277	0.529534	1.442167
Mybl1	Mybl1	chr1	-	9667411	9700209	32.428974	2.942113	8.012743
Vcpip1	Vcpip1	chr1	-	9718622	9748382	62.637669	5.536178	15.077586
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	5.361353	0.473859	1.290538
Sgk3	Sgk3	chr1	+	9798130	9902568	77.293137	28.062210	76.426445
Mcmdc2	Mcmdc2	chr1	+	9908638	9940954	7.035036	0.621786	1.693412
Snhg6	Snhg6	chr1	-	9942025	9944118	244.256760	21.588430	58.795330
Snord87	Snord87	chr1	-	9942470	9942543	134.756760	11.910364	32.437458
Tcf24	Tcf24	chr1	-	9960163	9967810	4.742525	0.419164	1.141579
Ppp1r42	Ppp1r42	chr1	-	9968622	10009136	1.204322	0.107562	0.292941
Cops5	Cops5	chr1	-	10024600	10038159	327.437683	29.510502	80.370811
Cspp1	Cspp1	chr1	+	10038218	10136768	60.529190	6.560083	17.866158
Arfgef1	Arfgef1	chr1	-	10137507	10232670	212.671677	18.796810	51.192455
Cpa6	Cpa6	chr1	-	10324719	10719945	0.618557	0.054671	0.148894
Mir467e	Mir467e	chr1	-	10708387	10865874	0.000000	0.000000	0.000000
Prex2	Prex2	chr1	+	10993465	11303682	2.786758	0.303524	0.826636
