chr	start	end	8Cell_Tfap2c
chr19	3283085	3283329	16.444339482510678
chr19	3291282	3291918	18.096242385090523
chr19	3323480	3324954	20.78704590619206
chr19	3329468	3330042	18.237667728384196
chr19	3364208	3364827	20.62974433097778
chr19	3373583	3374832	17.138150422071057
chr19	3388865	3389585	29.636628919177586
chr19	3391989	3392403	30.582647816570486
chr19	3392652	3393152	30.112549655914307
chr19	3402891	3403267	12.814138628066853
chr19	3403780	3404161	15.858623239311958
chr19	3418241	3418586	12.43714696911798
chr19	3465763	3466062	10.902066052159338
chr19	3537373	3537966	18.66775010930748
chr19	3551562	3552287	12.287107357156687
chr19	3577004	3578487	23.4712448555067
chr19	3586323	3586683	13.29552750322554
chr19	3601266	3601608	13.789068949849982
chr19	3602266	3602565	11.194106086042016
chr19	3623591	3624364	13.131267236707128
chr19	3651513	3651909	13.648347206790039
chr19	3686081	3686442	15.203176781081096
chr19	3686687	3686953	14.481013939792948
chr19	3719012	3719521	17.100256220999306
chr19	3746930	3747303	15.31633964364714
chr19	3796710	3797690	14.632040948283915
chr19	3822484	3823667	13.289651041200175
chr19	3829996	3830265	14.114227677809705
chr19	3844884	3845307	23.50233900462482
chr19	3845951	3846470	27.12127170305491
chr19	3916006	3916302	21.061913928470098
chr19	3922727	3923010	15.782955328061808
chr19	3934672	3935085	18.51528305349281
chr19	3936942	3937833	19.70687290046084
chr19	3942725	3943710	26.887815693308255
chr19	3963887	3964299	14.921725118044511
chr19	3977489	3977959	13.457461515386054
chr19	3987855	3989136	17.28566815348736
chr19	3999845	4000793	20.81692801346759
chr19	4012439	4013158	15.769532650667703
chr19	4018426	4019677	16.259084533444412
chr19	4028999	4029372	14.552977801008455
chr19	4034801	4035136	12.834006839012032
chr19	4036229	4036503	14.10317088217631
chr19	4043833	4044249	18.236424977962788
chr19	4046258	4046585	16.289770630886068
chr19	4058845	4059385	14.802755558932269
chr19	4059662	4059972	12.523165856638263
chr19	4071703	4072059	12.572767603263426
chr19	4096578	4097092	37.77746915817261
chr19	4097350	4097888	38.66355420222513
chr19	4121179	4121921	25.185559032419622
chr19	4148351	4148993	14.671989039839985
chr19	4163004	4163311	17.118819221223216
chr19	4169692	4170066	26.22431678057992
chr19	4175322	4176222	24.912594425943162
chr19	4185418	4185794	17.886795226563798
chr19	4191530	4192564	21.246667511458554
chr19	4201208	4201567	19.095536346223028
chr19	4216136	4216460	13.594544484291548
chr19	4231922	4232246	13.397594884589866
chr19	4246290	4246557	12.170941070670938
chr19	4257861	4258152	15.552973894728828
chr19	4268563	4269502	18.02149174236261
chr19	4282763	4283367	28.884927743318066
chr19	4293497	4294233	18.067244071027506
chr19	4299945	4300509	15.370483217509927
chr19	4306440	4306796	24.89083151335127
chr19	4307673	4308175	19.678130461400247
chr19	4309639	4310021	24.547749504368966
chr19	4333873	4334398	14.99682793208531
chr19	4349702	4350065	10.86946626143022
chr19	4350552	4350976	11.649509699277157
chr19	4403499	4404282	16.4008098549922
chr19	4405692	4406687	18.69157743981136
chr19	4420299	4421085	21.340996660955685
chr19	4439068	4439632	12.96266640162637
chr19	4456438	4456794	14.180801790751769
chr19	4510544	4510890	17.824126913368357
chr19	4613459	4613981	25.389752223573883
chr19	4614230	4614959	22.60062439843951
chr19	4615239	4616130	26.277915135778564
chr19	4625392	4626038	16.200360355731505
chr19	4643972	4644390	20.863209069630745
chr19	4698072	4699078	22.764654607943466
chr19	4719172	4719417	20.256752987297215
chr19	4721843	4722092	16.000238338148737
chr19	4755826	4756842	18.751143148564918
chr19	4811176	4812179	24.675203880545862
chr19	4817468	4818120	22.32376666522465
chr19	4820764	4821341	17.78905756634691
chr19	4822833	4823093	15.209903948123639
chr19	4823473	4823745	14.463447188629823
chr19	4826964	4827490	17.442913657358844
chr19	4838966	4839723	11.24367655599133
chr19	4878166	4878926	13.80860321082567
chr19	4907907	4908236	13.355025445074295
chr19	4925506	4925756	17.085623596191407
chr19	4927873	4928585	20.379131048582913
chr19	4942710	4943338	17.34391422332472
chr19	4948535	4948814	12.841893226869646
chr19	4970117	4970853	15.076727182320926
chr19	4977272	4977585	9.541698326318027
chr19	4979930	4980189	8.985115077044513
chr19	4990778	4991055	10.977123640934913
chr19	5001767	5002599	11.50708944694354
chr19	5016140	5017269	22.86869357474828
chr19	5023287	5024357	33.72211818338555
chr19	5041130	5041655	17.546529415675572
chr19	5049980	5051295	22.49857282819857
chr19	5052500	5052943	21.28720947420624
chr19	5058632	5059232	18.550721054077147
chr19	5066938	5067274	18.29021668434143
chr19	5071879	5072923	26.5378933866362
chr19	5082573	5083079	16.035636095190238
chr19	5087701	5088300	33.19299859316003
chr19	5098341	5099156	21.88706237757864
chr19	5107972	5108631	19.47382511318363
chr19	5117372	5118699	29.04919071096896
chr19	5130029	5130344	18.31537828294058
chr19	5148622	5148874	16.05115267208644
chr19	5151398	5152330	18.06194976215199
chr19	5178668	5178930	15.932750443465837
chr19	5188671	5189003	11.694424146629242
chr19	5273030	5273589	13.463823704898678
chr19	5295008	5295396	25.865723840969125
chr19	5300502	5301198	27.33428360401899
chr19	5306134	5307833	19.368050438448556
chr19	5314735	5315081	10.089851220908193
chr19	5348994	5349347	15.23796429512521
chr19	5366144	5366646	32.37289233036725
chr19	5388289	5389216	18.453631380486513
chr19	5400837	5401271	18.910025987756967
chr19	5403350	5403652	16.989528851793303
chr19	5418904	5419299	15.328672071046467
chr19	5425150	5425645	18.960502952036233
chr19	5457059	5457801	25.086974529564543
chr19	5460381	5461001	20.412890108170046
chr19	5472012	5472331	17.7359423771921
chr19	5472659	5474182	15.4811137952015
chr19	5488070	5489360	25.056507271389627
chr19	5490600	5491615	33.35815024728258
chr19	5510171	5510482	15.330321081964916
chr19	5529196	5529935	23.235570324289945
chr19	5542242	5542606	14.30075883603358
chr19	5553224	5554163	23.30798480711298
chr19	5557259	5557818	33.820415165855124
chr19	5567222	5568329	36.67166080664382
chr19	5568609	5568905	26.36712392600807
chr19	5572072	5572783	22.04693561800757
chr19	5582345	5583288	17.256854817824298
chr19	5589144	5589469	10.762468141409068
chr19	5601614	5602448	19.378010216376765
chr19	5609527	5610466	32.14465404750186
chr19	5618327	5618648	14.648155958110298
chr19	5637101	5637911	20.565386250578328
chr19	5648534	5649105	16.60940475096427
chr19	5661828	5662426	20.863071500656996
chr19	5663433	5663996	24.043202380727493
chr19	5688515	5690163	20.304833650378562
chr19	5695492	5696198	16.46797643234642
chr19	5716223	5716487	18.691458655126166
chr19	5727230	5727706	23.351908255024117
chr19	5746995	5747807	23.07136745875692
chr19	5750976	5751326	20.615470439365932
chr19	5756932	5757485	17.14666521268986
chr19	5763306	5763591	13.103156153361002
chr19	5770932	5771420	20.028546227783455
chr19	5786819	5787162	17.32072279960699
chr19	5793339	5793856	17.33369140329859
chr19	5804301	5804642	20.339883390409856
chr19	5805340	5805708	21.556148047032565
chr19	5810453	5810771	20.871036745467276
chr19	5811933	5812184	16.711276039184327
chr19	5819483	5820872	17.036731891275053
chr19	5830190	5830586	18.390378968884246
chr19	5836634	5837188	17.218770920584777
chr19	5851335	5852399	25.268139281667263
chr19	5891369	5891625	20.841154672205448
chr19	5909718	5910116	16.067320569675772
chr19	5915846	5916370	13.320488212672808
chr19	5924112	5924793	18.019444284985244
chr19	5935053	5935846	22.82556804402028
chr19	5957499	5957813	15.503580059974816
chr19	5963990	5964443	17.485863870869146
chr19	5967950	5968217	17.125693435526074
chr19	5976575	5976957	22.079102001889215
chr19	5983068	5983344	17.35147279587345
chr19	5995802	5996231	16.627767736261543
chr19	6001043	6001708	11.65496261926522
chr19	6007395	6007718	12.179723701240846
chr19	6014765	6015156	35.620929752164486
chr19	6015590	6016411	33.313833173967886
chr19	6018395	6019206	21.275335230750898
chr19	6029251	6030354	19.65364668786472
chr19	6046374	6046819	14.418124055326654
chr19	6057870	6058258	15.238780341197534
chr19	6061253	6061611	15.848635231316422
chr19	6066934	6068145	16.580726920426336
chr19	6076855	6077509	17.004752339208526
chr19	6084515	6086055	17.292754881947776
chr19	6101677	6102007	15.45639132008408
chr19	6117891	6118852	20.555518898085676
chr19	6122442	6122964	19.15866395248764
chr19	6127915	6128255	23.72429401734296
chr19	6140697	6141689	17.222655571756825
chr19	6164038	6164405	20.24724777647845
chr19	6165057	6165361	14.952941505532516
chr19	6210411	6210666	14.027149686626359
chr19	6225191	6225961	13.21343842419711
chr19	6235969	6236245	17.492087381473485
chr19	6241723	6242455	26.759278675246108
chr19	6265650	6265985	21.76134536515421
chr19	6276877	6277263	29.980958765652513
chr19	6277642	6278219	23.806488942852052
chr19	6278485	6278894	28.574196808495557
chr19	6300072	6300446	20.07983300520137
chr19	6306225	6306945	24.865636613633896
chr19	6311988	6312858	20.936624783483044
chr19	6313126	6313899	19.524550445329634
chr19	6327330	6327682	12.585243254899979
chr19	6335060	6335381	20.764333766568857
chr19	6340364	6341495	17.183723957743084
chr19	6363503	6364515	14.98910940494462
chr19	6398869	6399387	17.994714427638698
chr19	6400353	6400762	20.58779775484267
chr19	6418059	6418615	22.494107879323067
chr19	6428556	6429357	25.159999837887273
chr19	6451963	6452336	13.354393089744425
chr19	6471054	6471735	11.990492999991305
chr19	6489231	6489855	18.440071816627796
chr19	6493206	6493478	17.709548206890332
chr19	6501956	6502569	13.102664920284154
chr19	6530084	6530453	15.51878104429581
chr19	6562480	6562812	12.60489409802908
chr19	6563178	6563579	15.073256956371583
chr19	6576898	6577262	15.517686078836629
chr19	6606101	6606600	13.156993202790469
chr19	6653003	6653314	18.798132010211514
chr19	6663157	6663784	12.982696730174137
chr19	6673320	6673615	16.79937280234644
chr19	6820749	6821719	17.94836960527086
chr19	6839498	6840583	15.95004408172748
chr19	6855481	6855836	16.927595493155465
chr19	6864503	6865087	14.573149715384393
chr19	6871430	6871738	16.66220374540849
chr19	6874307	6874666	14.903237929915319
chr19	6874944	6875272	14.71553965603433
chr19	6903925	6904266	15.235765437576427
chr19	6909674	6910071	20.422384737721018
chr19	6916448	6917017	27.20927561607428
chr19	6933766	6934103	17.613600558272456
chr19	6936307	6936626	21.923976120903948
chr19	6941665	6942692	25.545143014151954
chr19	6946129	6946386	26.60751641863515
chr19	6946686	6947571	38.729645308801686
chr19	6948071	6948361	30.4282432621923
chr19	6952418	6952706	17.897060132688946
chr19	6974527	6974825	23.043173860383515
chr19	6975475	6975833	25.86087793211697
chr19	6979965	6980789	35.70018213003584
chr19	6987098	6987561	20.197607738667894
chr19	6988094	6988350	22.209972709417343
chr19	6992746	6992993	18.60908031849726
chr19	7007019	7007406	16.454582160141424
chr19	7023211	7023530	17.325330306743755
chr19	7032524	7033150	20.289966609150458
chr19	7040410	7040717	23.214892639011047
chr19	7056480	7056722	26.33070843278869
chr19	7100881	7101189	15.665030922208514
chr19	7117411	7117715	18.782918095588684
chr19	7143538	7145107	22.854232706748164
chr19	7171193	7171782	21.0557889177358
chr19	7196727	7197868	21.299003573909964
chr19	7205727	7206598	26.13838700667862
chr19	7226905	7227173	12.170081483784006
chr19	7264851	7265654	27.877818507839407
chr19	7267405	7268147	25.717675486664888
chr19	7268508	7269419	25.507664343920812
chr19	7295035	7295725	21.503753907438636
chr19	7308062	7308471	17.852372908650516
chr19	7310482	7311382	24.026500205993653
chr19	7341605	7342214	17.057155114285074
chr19	7358453	7359028	18.25333035510519
chr19	7360691	7361045	19.072177647197314
chr19	7364239	7364875	19.387113728613222
chr19	7369017	7370034	22.581181988017516
chr19	7382865	7383317	16.837640419470524
chr19	7400562	7400840	14.537878026207574
chr19	7404603	7405051	14.352418665375028
chr19	7416525	7417276	21.195662084495655
chr19	7422834	7423259	25.13996545230641
chr19	7441342	7441967	17.147116004943847
chr19	7453286	7453649	15.865765072425864
chr19	7482894	7483744	13.682936432782341
chr19	7494572	7494845	14.778184684641632
chr19	7551533	7552113	12.439083949450788
chr19	7557565	7557990	10.984635263330796
chr19	7606758	7607536	11.059136473427701
chr19	8252230	8252630	42.23914213776588
chr19	8663274	8663596	9.884604489581186
chr19	8691592	8691863	12.726643544721428
chr19	8711690	8712283	19.845831141705055
chr19	8713426	8713858	24.653986926432008
chr19	8722906	8723347	18.870501745314826
chr19	8741459	8741985	14.202794140282693
chr19	8756747	8757477	14.479331633816027
chr19	8774528	8774791	19.71180324046784
chr19	8802384	8802725	20.24906456016026
chr19	8819504	8820234	16.92442932390187
chr19	8848617	8848910	25.796469444300943
chr19	8860606	8861398	11.687758646830163
chr19	8871570	8872681	18.633760330378742
chr19	8888925	8889391	30.889776817207174
chr19	8893057	8893419	23.4927467114359
chr19	8897822	8898349	17.66122004022182
chr19	8920277	8921020	14.667488159754717
chr19	8929004	8930037	16.800277078486367
chr19	8941444	8942161	15.244645417983563
chr19	8948982	8949342	19.740132723914254
chr19	8953925	8954398	14.750429976062088
chr19	8966537	8966837	13.538929224014282
chr19	8989291	8989870	19.42593167359347
chr19	8992600	8992854	21.325562225552055
chr19	9026136	9026858	12.382612071869445
chr19	9039772	9040075	14.274401740272447
chr19	9047491	9048095	18.817734130960428
chr19	9048621	9049444	23.081773285732524
chr19	9065103	9066359	16.839402469100467
chr19	9081228	9082538	12.876382610088086
chr19	9112180	9112491	9.321067215162074
chr19	9120680	9120926	12.493910812750094
chr19	9876970	9877528	8.793781170281031
chr19	9887709	9888245	12.864231896044602
chr19	9899133	9899928	14.456806557733309
chr19	9905571	9906054	9.144045498060143
chr19	9954311	9954828	9.434123960638876
chr19	9982127	9983146	20.74676898885171
chr19	10012669	10013132	21.537182451581852
chr19	10017170	10018471	27.182679551642828
chr19	10019041	10019800	29.487529787307356
chr19	10033356	10034023	16.54240322970915
chr19	10034579	10035306	16.96808865637694
chr19	10085906	10086184	14.143220741971792
chr19	10094646	10095660	17.878359693512174
chr19	10129066	10130711	16.85568710036224
chr19	10137116	10137679	15.205548047595931
chr19	10171428	10171757	13.277904988784558
chr19	10182661	10183812	19.589462849495206
chr19	10191063	10191761	17.96016031759858
chr19	10203684	10204155	14.760777237562111
chr19	10218239	10218792	18.005709148013786
chr19	10239985	10241059	20.305941558638988
chr19	10258656	10258960	14.283912294789365
chr19	10266398	10267573	17.944346767790773
chr19	10277886	10278964	17.535606929234095
chr19	10374902	10375273	9.383790675520576
chr19	10388705	10389628	25.558919390516188
chr19	10402662	10403236	20.07754337164583
chr19	10415820	10416093	12.213736583025028
chr19	10430993	10432283	22.297300816691198
chr19	10456684	10457826	15.876769793430269
chr19	10510936	10511263	10.253855113224882
chr19	10524744	10526143	27.555496675956242
chr19	10561758	10562069	17.0378505056694
chr19	10577222	10577499	17.123132991446486
chr19	10605036	10605362	19.65599284142804
chr19	10605633	10606473	33.258239029702686
chr19	10633861	10634394	12.91703326706591
chr19	10634673	10635413	14.890348893887287
chr19	10654899	10655407	16.57120061483909
chr19	10656570	10656884	17.860299890967692
chr19	10688725	10689211	19.551962636625817
chr19	10723582	10724006	13.301536852458739
chr19	10831271	10831567	16.002560129036773
chr19	10855572	10855909	11.988229117690633
chr19	10869649	10870265	13.896682802732888
chr19	10881568	10882245	14.966848103651444
chr19	10894520	10895628	14.462704623864445
chr19	11044853	11045487	13.661058911765787
chr19	11047953	11048825	9.444592140136509
chr19	11770410	11770742	11.329121716051217
chr19	11810246	11810510	14.324973745779557
chr19	11879071	11879695	9.2068732380867
chr19	11911887	11912145	10.213232783384102
chr19	11912426	11913126	10.605748136384147
chr19	11964725	11965682	10.723532211319656
chr19	11966247	11966713	13.23022633663063
chr19	12010413	12010887	10.922959987624285
chr19	12440409	12440875	15.45650856484671
chr19	12441133	12441457	13.670560112705937
chr19	12442497	12442831	17.561758972213653
chr19	12595694	12596062	6.242635117924732
chr19	12747166	12747480	10.779401115551117
chr19	12794567	12795098	21.146805107705788
chr19	12795743	12796719	17.626592353230617
chr19	14197875	14198219	10.667067786981892
chr19	14555984	14556394	8.873457971433314
chr19	14598632	14599359	22.9615342928586
chr19	14620481	14621051	12.801336707566914
chr19	14644772	14645574	12.717399975902719
chr19	14655681	14656084	32.91752671840469
chr19	14656366	14656708	20.075284344411035
chr19	14835915	14836324	9.74734613889587
chr19	15942664	15943339	15.796242487165664
chr19	15946964	15947359	19.533782495426227
chr19	15949620	15950002	15.711611365772667
chr19	15982131	15982473	17.281895074230885
chr19	15984196	15985275	22.58199268761777
chr19	16037988	16038441	15.567245955498803
chr19	16061477	16062256	11.817170779726471
chr19	16064141	16064471	13.922967621774385
chr19	16133421	16133785	10.586378191853617
chr19	16152222	16152530	9.855315730169222
chr19	16161373	16161668	11.361089674092955
chr19	16426940	16427210	7.898954894807604
chr19	16435228	16436768	14.692017217678895
chr19	16501784	16502188	7.728680224701909
chr19	16510776	16511602	6.650807249632644
chr19	16780171	16781443	12.725045865811643
chr19	16861327	16861712	10.089393846090738
chr19	16872435	16872730	9.259901232638601
chr19	16955190	16956626	15.966883400718785
chr19	17029735	17030437	9.04772709373735
chr19	17316495	17316816	10.344372862224638
chr19	17336785	17337394	8.924428438318186
chr19	17350908	17351158	11.053563056945801
chr19	17356228	17356975	18.56652167778577
chr19	17388720	17389896	18.615787601187115
chr19	17403167	17403560	12.77354609753946
chr19	17403908	17404350	10.04796105164748
chr19	17422776	17423820	11.247196590135381
chr19	17837042	17837446	11.97221320336408
chr19	18476364	18476882	11.240040252567718
chr19	18580186	18580466	11.545882259096418
chr19	18631229	18632345	15.454152704139764
chr19	18671170	18671473	12.55877701284075
chr19	18712488	18712870	9.433030986036929
chr19	18713684	18714046	9.857277871495452
chr19	18720416	18720771	9.539717722610689
chr19	18738632	18738964	8.607841639633639
chr19	18749783	18750086	8.623755138699371
chr19	18819155	18819465	8.342353213217951
chr19	19110591	19110863	9.986655649016885
chr19	19286025	19286392	29.189288553814798
chr19	20153327	20153577	8.132316631317138
chr19	20153951	20154544	7.926747549645615
chr19	21066325	21067211	15.51303447611445
chr19	21271427	21272948	21.52163720639649
chr19	21350183	21350798	10.271220265365228
chr19	21472319	21472633	9.340171520877036
chr19	21616125	21616376	9.103476731425738
chr19	21652490	21653064	10.437951722626902
chr19	21778370	21779160	22.650536814822427
chr19	21784934	21785224	11.609722420264935
chr19	23036960	23037790	11.615750617291553
chr19	23090034	23090598	17.125197889111565
chr19	23120678	23121011	14.130387028416356
chr19	23132922	23133705	31.464753460305555
chr19	23133985	23134545	22.58065160683223
chr19	23135836	23136519	25.894139173962884
chr19	23151789	23152714	21.034380226135255
chr19	23175459	23175798	14.439491983711894
chr19	23201781	23202755	22.86736729600346
chr19	23242411	23243397	13.74100534838547
chr19	23273431	23273899	30.477878395308796
chr19	23282132	23282559	16.42424293759277
chr19	23314918	23315247	13.91991670080956
chr19	23324622	23325046	21.102210856833548
chr19	23325475	23325982	18.297548173682458
chr19	23447379	23447875	8.00002394472399
chr19	23520842	23521088	9.227830448770911
chr19	23657933	23658189	11.131213583052158
chr19	23687104	23687896	17.694903614846144
chr19	23757158	23757529	9.508508353220485
chr19	23758962	23759246	12.689407221028503
chr19	23790408	23790718	9.404106826166952
chr19	24017932	24018259	12.933442468672354
chr19	24018691	24019003	12.770610051277357
chr19	24025717	24026067	15.171321939740862
chr19	24037042	24037314	7.920447382856818
chr19	24168464	24168996	11.9669724523573
chr19	24174271	24174554	19.53849253974618
chr19	24180151	24180479	19.063992226996074
chr19	24215444	24215920	12.507775118371018
chr19	24223766	24226086	20.995604589217137
chr19	24240741	24241058	11.301317816653086
chr19	24271310	24271925	12.45749795339941
chr19	24272217	24272685	19.863794489803478
chr19	24280352	24281285	17.447011196217225
chr19	24301111	24301497	12.663913399444343
chr19	24450450	24450742	10.69181616338965
chr19	24477246	24477728	7.807332402442995
chr19	24511207	24511460	12.360648008203318
chr19	24528183	24528476	9.274709441149193
chr19	24528721	24529210	11.145770763327008
chr19	24534734	24535352	9.807124729681169
chr19	24556023	24556524	12.635933797992394
chr19	24751074	24751409	18.25904255198009
chr19	24751802	24752171	10.865672505644925
chr19	24752431	24753061	17.290040038880846
chr19	24909849	24910095	7.6001093193767515
chr19	24910580	24911308	9.171073941739051
chr19	24919314	24919707	9.838433280245948
chr19	24934773	24935594	20.373020561255434
chr19	24955873	24956398	13.836057638440813
chr19	24999064	24999925	23.527179969450877
chr19	25156800	25157096	14.042108255463678
chr19	25187881	25188206	15.889390563964843
chr19	25219272	25219742	9.517634649479643
chr19	25236487	25237696	13.500801928877534
chr19	25243824	25244278	19.00500307209166
chr19	25267565	25267879	8.869531490240886
chr19	25280407	25281052	13.58891984104186
chr19	25300153	25300649	14.271829741616402
chr19	25375158	25375406	10.1616036622755
chr19	25386788	25388033	14.21946188072603
chr19	25406689	25407105	11.128092397864048
chr19	25451135	25451469	10.684746162620133
chr19	25457072	25457444	11.577572015024
chr19	25478370	25478866	18.21204532730964
chr19	25479164	25479492	16.983061842802094
chr19	25486500	25487747	13.653500724049119
chr19	25488108	25488955	14.379500038367658
chr19	25505420	25506097	15.212149286199708
chr19	25516799	25518323	11.268776206633438
chr19	25575804	25576121	13.422670854755005
chr19	25606571	25606850	9.373617319223275
chr19	25672162	25672739	11.46118550077468
chr19	26347084	26347523	12.810497881339732
chr19	26607081	26607568	15.137122540013745
chr19	27340904	27341572	12.082506241198786
chr19	27372376	27373055	12.748531605603944
chr19	27429630	27430273	11.503548729660722
chr19	27723819	27724597	12.2352825896599
chr19	28011238	28012429	12.535807174359121
chr19	28679615	28680215	11.400621140003205
chr19	28686678	28686931	8.665716012947174
chr19	28726045	28726305	8.862997146753164
