chr	start	end	EXE_E65_Tfap2c_ds
chr13	3358480	3359284	13.14601439504481
chr13	3360522	3361269	13.263440092564268
chr13	3373602	3374426	21.224262276899466
chr13	3417697	3418090	9.482916345426448
chr13	3461943	3462286	9.8984402776112
chr13	3478185	3478824	12.400695030678046
chr13	3530535	3531974	17.343331173942516
chr13	3537617	3539056	15.712002933812357
chr13	3610025	3611583	16.84104435465302
chr13	3633749	3634540	13.597506603911311
chr13	3665384	3665619	14.637529068804803
chr13	3858702	3859371	12.415192911264963
chr13	3865100	3866441	17.43685165792148
chr13	3917538	3918290	26.675636758195594
chr13	4608571	4609472	12.444484393683972
chr13	4771428	4771992	14.5208911760479
chr13	5185428	5185723	11.328146519095212
chr13	5302413	5302647	11.821481309385382
chr13	5769404	5769668	14.745700818119627
chr13	5801967	5802552	15.385632446484689
chr13	5803656	5804158	16.552944770372246
chr13	5824265	5824565	27.517123317718507
chr13	5837238	5837933	19.261588980311114
chr13	5844556	5845781	21.50663556935836
chr13	5857351	5858120	26.583725423279603
chr13	5860925	5861198	24.92290225745121
chr13	6547708	6547974	13.02581622905301
chr13	6580504	6580747	13.604368209838867
chr13	6636806	6637088	20.49916526780906
chr13	6642559	6643158	17.709605403256933
chr13	6647644	6648019	13.369379809061686
chr13	6648394	6649203	13.824012262417448
chr13	6659561	6660322	17.02365442017845
chr13	6666625	6667678	10.974957533145336
chr13	6889265	6889524	16.680802245858093
chr13	8785196	8785842	14.088745278839726
chr13	8870704	8871666	14.512775354722434
chr13	8885151	8886355	33.97817951737844
chr13	8995633	8996427	20.544147802540277
chr13	9011687	9012224	162.725365054452
chr13	9017344	9017718	14.587380429640174
chr13	9093359	9094707	20.716919611752562
chr13	9142213	9142530	12.964010990756544
chr13	9179982	9180597	15.364704741501226
chr13	9191026	9191823	29.16911048482323
chr13	9198924	9199470	14.351336850351466
chr13	9228238	9228860	11.053506861928959
chr13	9233638	9234784	30.373682479791825
chr13	9276216	9277904	26.953520462976247
chr13	9763379	9764745	19.00845442649037
chr13	9765208	9765588	17.280343171169882
chr13	12106459	12107131	12.241466295151483
chr13	12210219	12210656	10.91683338326775
chr13	12257180	12258529	31.16880425353506
chr13	12272904	12273455	10.598138802280877
chr13	12295920	12296496	10.85191015071339
chr13	12340302	12340858	14.262659781270747
chr13	12394729	12395782	21.405389510894658
chr13	12461281	12461916	15.261506071616346
chr13	12479888	12480190	8.108504079035576
chr13	12520270	12520613	8.86970359034858
chr13	12541912	12542714	14.833455255798569
chr13	12565356	12566502	19.895426769323166
chr13	12887177	12887387	9.806792402267456
chr13	13589943	13590893	26.815704773350767
chr13	13784210	13784480	9.08563999776487
chr13	13845122	13845435	8.749074605326301
chr13	13889147	13890003	13.237381490034478
chr13	13953808	13955164	25.799092064213262
chr13	13968636	13969587	16.159077785243245
chr13	14039383	14040739	18.996425701805272
chr13	14062976	14064303	17.61013183076308
chr13	14115389	14115616	15.64751803612394
chr13	14630257	14630557	16.84967397371928
chr13	15462930	15463756	13.549395240247971
chr13	15759341	15759716	14.94635437520345
chr13	16696144	16697129	18.45609951697025
chr13	17694568	17695341	29.95499156641004
chr13	17782190	17782498	11.887804645996589
chr13	17803332	17804023	22.66867673931867
chr13	17804520	17805905	33.56451087566059
chr13	17837832	17838064	11.374179118666156
chr13	17884571	17884866	11.173083311824476
chr13	17943974	17944659	12.473394059786832
chr13	17992894	17993665	11.471934003743371
chr13	18124898	18125602	11.186142134395512
chr13	18646654	18647062	13.389107351209603
chr13	18717289	18717685	13.132057652328953
chr13	18948312	18948835	8.893702104944117
chr13	18989600	18989855	10.698486702114929
chr13	19137272	19137900	12.65780981558903
chr13	19395358	19396166	15.711947030360156
chr13	19619595	19619805	12.84839163507734
chr13	20090073	20090812	20.12859167297735
chr13	20091088	20091714	24.166517733004145
chr13	20092336	20092567	14.641102328444973
chr13	20111485	20111707	12.602759535248214
chr13	20136949	20137388	20.526069867040682
chr13	20935796	20936094	11.113590390890236
chr13	21158832	21159476	15.95719027223054
chr13	21160974	21161308	21.670477707228976
chr13	21178023	21178369	22.695729735269712
chr13	21179447	21181109	38.42042431446907
chr13	21200363	21200634	16.765997682550296
chr13	21234075	21234806	16.351649217827376
chr13	21241067	21241346	18.36190623621787
chr13	21253760	21253980	11.41046689857136
chr13	21258916	21259206	15.440345333362448
chr13	21259995	21260565	14.234288617184287
chr13	21268053	21268310	28.466196527740834
chr13	21326220	21327053	13.72185059326465
chr13	21362912	21363256	21.949139861173407
chr13	21402007	21403077	30.28116512298584
chr13	21408327	21408558	17.335480867526233
chr13	21453552	21453963	12.1824420502006
chr13	21468214	21468894	14.683185738675734
chr13	21506277	21506618	28.136909901571414
chr13	21530830	21531371	17.448226379599017
chr13	21710106	21710381	15.46871696472168
chr13	21716848	21717209	13.506242575077469
chr13	21729478	21730047	17.05949829751871
chr13	21734065	21734760	24.55102585717071
chr13	21753185	21753445	11.696990269881029
chr13	21779501	21780628	26.297554682923717
chr13	21788052	21788439	12.55241124697742
chr13	21790797	21791156	10.023049531208772
chr13	21861932	21862162	9.725838640461797
chr13	21882356	21882841	14.7057473703758
chr13	21883071	21883357	14.308286293403253
chr13	21896373	21896624	13.120873234661452
chr13	21897113	21897412	16.272258404505294
chr13	21911415	21911738	24.903573606036396
chr13	21914452	21914708	20.38810734450817
chr13	21919648	21919938	17.254196025585305
chr13	21925179	21925478	16.641961668646058
chr13	21934025	21934636	30.059864443764944
chr13	21944847	21945611	22.916035135379012
chr13	21974285	21974815	17.579191594753624
chr13	21981181	21981656	11.827272784584446
chr13	21995280	21995636	15.019028985098506
chr13	22005820	22007291	30.418743291085953
chr13	22015289	22015675	15.145367782968314
chr13	22020478	22020845	13.821054882184686
chr13	22041536	22041785	22.813565012920332
chr13	22050883	22051440	14.981021834875138
chr13	23270605	23270895	10.590245888150971
chr13	23285844	23286251	11.891436858024878
chr13	23307127	23307551	14.233639289747995
chr13	23317677	23318273	11.46169025465946
chr13	23368554	23369592	30.189094520488
