chr	start	end	Morula_Tead4_ds
chr12	3235554	3235928	9.799159918876892
chr12	3290890	3291933	19.376527842030658
chr12	3310178	3310709	27.440126912966512
chr12	3387500	3387834	17.738029991081376
chr12	3551810	3552072	31.208882462887363
chr12	3577940	3578508	19.31209807328775
chr12	3602707	3603226	18.179224763072753
chr12	3713243	3713652	19.836876577736405
chr12	3780775	3781694	35.07075355621105
chr12	3792043	3792437	21.67900117399729
chr12	3793924	3794206	14.19965759405853
chr12	3876935	3877279	19.958062371542287
chr12	4181716	4182166	12.961152533425226
chr12	4234012	4234310	25.7071515121716
chr12	4495328	4495894	30.858339358555554
chr12	4496784	4497493	32.74600243131264
chr12	4720142	4720511	17.60582704466533
chr12	4768578	4769255	22.987504949245707
chr12	4799132	4799513	14.656256973586997
chr12	4816974	4817429	25.36088912670429
chr12	4817698	4817979	21.29437780210556
chr12	4878690	4879485	26.095364618601288
chr12	4982970	4983286	22.857479581350013
chr12	8042560	8042956	13.671207449652933
chr12	8087559	8087905	13.941538474463314
chr12	8207627	8208594	14.957519852264467
chr12	8395951	8396260	23.015998821814083
chr12	8500157	8500499	24.83609802681103
chr12	8508354	8508778	19.057793216885262
chr12	8596498	8596789	19.966695356205157
chr12	8597125	8597402	15.654583104681022
chr12	8638519	8638851	16.526351006634265
chr12	8667509	8667860	27.43165385689151
chr12	8896941	8897222	16.568134043140343
chr12	8921624	8922255	24.86772405968982
chr12	8939649	8939967	21.942315245574374
chr12	9030103	9030379	15.067695724791374
chr12	9737394	9737675	16.876709327154735
chr12	9774469	9774874	26.66427089549877
chr12	10390870	10391269	15.492352626676249
chr12	11130839	11131618	21.356648972159938
chr12	11196038	11196299	15.52041072406988
chr12	11222458	11223206	22.446725118606487
chr12	11696317	11696720	31.826388716401887
chr12	12938625	12939206	27.333574730845204
chr12	12986655	12987531	20.749289275304367
chr12	13395323	13395696	14.738138515891722
chr12	15320034	15320298	17.03024235277465
chr12	15441097	15441603	26.67484042578535
chr12	16570653	16570914	42.42082220932533
chr12	16571562	16571873	22.986983792958153
chr12	16602012	16602312	20.664753936131795
chr12	16630068	16630380	15.792947815014767
chr12	16780460	16781001	21.282483613865654
chr12	16870961	16871289	22.098618519015428
chr12	17019035	17019420	26.613051959446498
chr12	17021227	17021487	51.57985751812274
chr12	17165813	17166289	20.86773415373153
chr12	17176541	17176893	33.62591321359981
chr12	17420025	17420475	24.789716720581055
chr12	17455487	17455773	21.668922290935384
chr12	17505736	17506153	14.704458090327055
chr12	17542583	17542847	34.589183337760694
chr12	17544264	17544537	24.55991005810189
chr12	17578515	17578925	13.836218990930696
chr12	17630983	17631619	31.452097642346747
chr12	17634998	17635277	59.51653170841996
chr12	17715182	17715553	12.965032004281838
chr12	17891766	17892036	26.49327776167128
chr12	18135482	18135814	12.290464401245117
chr12	18237389	18238173	25.698134089002803
chr12	18369595	18370186	14.025066471745319
chr12	18375757	18376109	17.51288639144464
chr12	18513877	18514254	13.513177176053075
chr12	19192590	19193008	31.278751400669226
chr12	19794097	19794425	20.847812236809148
chr12	20226697	20227055	21.17124734910507
chr12	20233119	20233587	20.896846324969562
chr12	20806829	20807109	36.65337055410657
chr12	20815864	20816119	10.018173064437567
chr12	20913661	20915581	31.258827875057857
chr12	21062619	21062914	16.34820472264694
chr12	21134444	21134791	21.196382255993935
chr12	21223088	21224525	21.08433851269939
chr12	21229392	21229809	19.34981367513716
chr12	21271912	21272358	13.741215030174084
