chr	start	end	ICM_Tfap2c_ds
chr17	3077844	3078275	19.607931854000224
chr17	3078625	3079019	25.70778796878563
chr17	3081559	3082383	29.67917913487814
chr17	3114585	3115704	21.14721184867743
chr17	3156923	3157609	8.752470820012663
chr17	3204174	3204415	10.438524687438585
chr17	3230326	3230566	13.308042999108633
chr17	3557427	3557931	33.470707732533654
chr17	3616602	3617193	32.21113304680374
chr17	4644200	4645412	15.501290949264375
chr17	4907890	4908497	26.003021032845563
chr17	4984344	4984678	14.690888259225263
chr17	4984985	4985300	13.923554026891315
chr17	4993897	4994472	18.153398727748705
chr17	4994987	4995601	16.44578803090397
chr17	5189445	5190511	20.972251087818538
chr17	5395395	5395830	9.284748872121176
chr17	5402304	5402745	16.847046086577333
chr17	5418796	5419202	15.50210270388373
chr17	5429319	5430014	16.033424835753955
chr17	5440013	5440791	20.556756028172902
chr17	5492626	5493092	14.436171836607446
chr17	5781388	5781755	10.917239825797017
chr17	5795702	5796302	10.659189705848695
chr17	5805755	5806686	18.001493414541834
chr17	5813673	5814004	12.28126820624775
chr17	5840847	5841708	15.102938705205087
chr17	5859021	5859376	10.354846130962104
chr17	5874578	5875648	40.358550131878005
chr17	5890375	5890795	10.930636922518412
chr17	5893444	5893756	14.439301833128317
chr17	5896300	5896675	18.181286239624022
chr17	5903816	5904146	23.025542163848876
chr17	5934796	5935652	13.416197439777516
chr17	5940619	5941018	11.51962381257748
chr17	5947441	5947827	13.344722404381153
chr17	5951104	5951583	18.487371641808114
chr17	5959375	5959694	9.162547866378832
chr17	5975411	5975674	6.728780099194313
chr17	6005637	6005961	12.636021767133547
chr17	6054971	6055309	23.141898197535227
chr17	6079258	6080141	29.736761960410856
chr17	6107281	6107524	12.426304789727608
chr17	6111179	6111443	20.41213325659434
chr17	6127714	6128630	28.049716404952335
chr17	6202905	6203497	11.01741562179617
chr17	6430101	6430560	13.618052878410987
chr17	6468204	6468429	16.2647838083903
chr17	6736236	6736846	14.287775782288097
