chr	start	end	8Cell_Klf5_ds
chr7	3001910	3002126	8.296513507763544
chr7	3002359	3002674	9.318210303594196
chr7	3092495	3092905	12.302091043169906
chr7	3104576	3104881	21.628158982073675
chr7	3106483	3107305	23.09475104014079
chr7	3138888	3139209	13.713135814369654
chr7	3165209	3165529	22.818669384717943
chr7	3168817	3169054	29.596166023222203
chr7	3169588	3170682	28.064760774755392
chr7	3182330	3182683	22.11256260372086
chr7	3188839	3189858	28.160303398952166
chr7	3191656	3192512	36.478329535956696
chr7	3194166	3194381	39.28278302037439
chr7	3203442	3203997	42.08224595215943
chr7	3204278	3204779	53.84088775117002
chr7	3211833	3212447	31.14958976534368
chr7	3216386	3217023	33.67529966692722
chr7	3226537	3227105	39.06993742727897
chr7	3230276	3230561	44.85267581605075
chr7	3233189	3234119	32.96518546894033
chr7	3234958	3235180	38.909921809359716
chr7	3243985	3244469	16.88026652651385
chr7	3250500	3252170	19.80292794518842
chr7	3255125	3255599	16.145769978374368
chr7	3261453	3262380	22.214825996431845
chr7	3262630	3263760	27.90162229959944
chr7	3273354	3273632	16.444274267704365
chr7	3282039	3283083	30.92322021334564
chr7	3290030	3290720	35.91247888233351
chr7	3292630	3293278	43.84480760715626
chr7	3300587	3301079	34.644009016393646
chr7	3302769	3303705	35.98846047046857
chr7	3306194	3306912	24.603680072720667
chr7	3316778	3317455	19.816142013189182
chr7	3322064	3322291	23.149372432725546
chr7	3327292	3329182	31.520236021870936
chr7	3329493	3329719	30.327974327897604
chr7	3337351	3337760	31.225118539152636
chr7	3338772	3339102	26.29567163062818
chr7	3342040	3342515	26.956566429138185
chr7	3362317	3362642	23.6117775110098
chr7	3367028	3367365	18.799077537717736
chr7	3376781	3377034	28.163922765980598
chr7	3380086	3380514	17.86785805782425
chr7	3387704	3387993	11.682291728814993
chr7	3411060	3411545	20.307275437817133
chr7	3413233	3413502	18.764412000719943
chr7	3448516	3449171	11.86536251097235
chr7	3474475	3474714	10.575658989750691
chr7	3482159	3482800	20.341116812969332
chr7	3484845	3485226	32.09878134539747
chr7	3486388	3486652	22.764833428642966
chr7	3498254	3498630	18.220701801015977
chr7	3511284	3511600	10.54697549494007
chr7	3571602	3572012	18.203425730728522
chr7	3572317	3573004	32.18533335745421
chr7	3578450	3579404	19.392934850176925
chr7	3581280	3581832	23.440960493640624
chr7	3585017	3585784	31.955857626928655
chr7	3598463	3599016	20.391991466984397
chr7	3601454	3601842	19.004083333556185
chr7	3603968	3604260	27.54079011368425
chr7	3606847	3607829	35.654842959402046
chr7	3613071	3614228	40.577980508037754
chr7	3629485	3629969	22.345233038437268
chr7	3644408	3645528	28.787848330395562
chr7	3665690	3666052	25.293391580739733
chr7	3671423	3671863	27.531954904036088
chr7	3673536	3674411	25.25143074907575
chr7	3678800	3679080	17.509034327098302
chr7	3693035	3694156	46.93918284978535
chr7	3699577	3700318	24.619872172995297
chr7	3712293	3712519	22.48193902041005
chr7	3917152	3918101	28.782651205836657
chr7	4095670	4096303	10.382456206220775
chr7	4134636	4135671	26.108236875856555
chr7	4136336	4137261	41.773496322631836
chr7	4148572	4148873	17.986146229842177
chr7	4171518	4172312	27.00313143045536
chr7	4206355	4207247	17.625583007196674
chr7	4249621	4250163	8.347597048731307
chr7	4250992	4251364	9.592444228869612
chr7	4275690	4276002	13.208786417276432
chr7	4297151	4297743	11.1290882229805
chr7	4311322	4311845	11.062472620612121
chr7	4326694	4326999	12.127991094745573
chr7	4327282	4327755	16.614146703393466
chr7	4342203	4342854	20.854583529283374
chr7	4354471	4354736	10.066623799306042
chr7	4417470	4417812	10.088599938398216
chr7	4427374	4427910	15.939898076342113
chr7	4431534	4432010	16.526592132424106
chr7	4444992	4445673	38.657943248048575
chr7	4447321	4447746	18.724100438286275
chr7	4452574	4453184	35.39751892715204
chr7	4453661	4454789	44.55748428013308
chr7	4460702	4461056	14.33690088616926
chr7	4470547	4471282	16.327881103308023
chr7	4478099	4478803	20.686251143162902
chr7	4489196	4489425	11.981038301792728
chr7	4501762	4502221	38.47860325084013
chr7	4506795	4507852	29.80067840993912
chr7	4512918	4513641	33.492293534602034
chr7	4524147	4524713	21.603787954620252
chr7	4526628	4527042	14.896014377114854
chr7	4545166	4545581	22.155469457787202
chr7	4546727	4547078	23.53418087755513
chr7	4551544	4552230	17.478591956828147
chr7	4556695	4557363	22.60032931202186
chr7	4619959	4620629	18.194123779481917
chr7	4658811	4659517	15.682712103084532
chr7	4667770	4668144	23.768046575434067
chr7	4675181	4676464	29.143522358460995
chr7	4686040	4686500	24.428675050320834
chr7	4686858	4687439	28.550044353570463
chr7	4693330	4694142	22.235854279231557
chr7	4697208	4697540	20.48413433224322
chr7	4739503	4740061	25.639514846186483
chr7	4751918	4753087	35.59905542727716
chr7	4776972	4777577	18.712994409986763
chr7	4793014	4793259	19.96161531331588
chr7	4796269	4796917	27.59881278467767
chr7	4801639	4802310	29.953510130926322
