chr	start	end	Morula_Tfap2c_ds
chr13	3004312	3004540	10.644465224784717
chr13	3126066	3126440	10.61658490787853
chr13	3186056	3186279	9.984154795317371
chr13	3224758	3224954	12.003312714245855
chr13	3268515	3268811	8.614322166185122
chr13	3353611	3353860	15.248612683460895
chr13	3358531	3359328	18.839403749559274
chr13	3360533	3361279	21.108524514267337
chr13	3373071	3373334	38.087143074876906
chr13	3373608	3374357	39.64276085994909
chr13	3413684	3414025	8.93683786196443
chr13	3537724	3537945	19.271586664122154
chr13	3538145	3538350	18.838546287722703
chr13	3610978	3611682	14.235562054948373
chr13	3627914	3628262	28.81564247745207
chr13	3629438	3630580	27.336312511130096
chr13	3641936	3642258	11.306464601007308
chr13	3665387	3665582	12.050869980836525
chr13	3850603	3851010	9.782624416913682
chr13	3858842	3859383	21.69000581540374
chr13	3863228	3863451	28.154556761942636
chr13	3865471	3866212	20.631755483938775
chr13	3917556	3918205	25.015031364922898
chr13	3986068	3986367	11.556885563011551
chr13	4039372	4039715	11.158869295704122
chr13	4058021	4058465	11.296312594198966
chr13	5550247	5550984	8.8339396118309
chr13	5697256	5697451	14.700812828846466
chr13	5824227	5824899	17.847037663062412
chr13	6666671	6667362	12.534234387484714
chr13	6889219	6889532	17.18119736144337
chr13	8871108	8871311	17.04641339344344
chr13	8885147	8886146	27.14132074312166
chr13	8937853	8938255	12.818931551121954
chr13	8995647	8996424	14.05737068048622
chr13	9011687	9012234	293.65074808331684
chr13	9081911	9082232	18.78651661739171
chr13	9093581	9093856	22.526869385459207
chr13	9116697	9117182	13.55008879691055
chr13	9191101	9191640	17.219179241909387
chr13	9234280	9234482	15.86794679471762
chr13	9276652	9276887	16.115171671928245
chr13	9325220	9325443	12.036833716080327
chr13	9685911	9686397	12.98833850185567
chr13	9763642	9764363	18.944089857781314
chr13	11005676	11006278	13.975357381212355
chr13	11369508	11369711	11.670126003584839
chr13	11933431	11933751	9.646229094266891
chr13	12064832	12065135	9.9386462913488
chr13	12106677	12106909	12.123168431479355
chr13	12127588	12127789	11.908532417828765
chr13	12135769	12136104	11.175883444031673
chr13	12212942	12213135	14.380494740342847
chr13	12257725	12258159	48.68318003113918
chr13	12261753	12262381	20.223866777055584
chr13	12340223	12340506	9.720333712682287
chr13	12361849	12362049	14.251375126838685
