chr	start	end	8Cell_Tead4_ds
chr1	3445169	3445922	20.119681563510362
chr1	4785493	4785994	19.638403656477937
chr1	4787799	4788925	29.91577847939825
chr1	4854989	4855438	21.535246844812065
chr1	4866064	4866366	17.44149312278293
chr1	6190856	6191139	33.87145570141688
chr1	6210468	6210818	33.56992462158203
chr1	7044840	7045674	31.751856256160234
chr1	7050830	7051209	17.834910239267476
chr1	7088819	7089111	17.519225518997402
chr1	7164761	7165039	12.401909733847749
chr1	7290402	7290662	16.351261967879076
chr1	7298587	7299384	37.29576917334811
chr1	7397595	7398304	23.146640955140796
chr1	7498778	7499366	33.824883340978296
chr1	7508750	7509126	13.05155986167015
chr1	7637876	7638585	25.031253181828767
chr1	8270900	8271214	12.982757463576688
chr1	9366939	9367237	20.042202536691754
chr1	9544920	9545192	17.803352177143097
chr1	9767996	9768917	46.959669409305604
chr1	9786029	9786306	32.59929751316993
chr1	9786626	9787203	26.298414498102726
chr1	9825392	9825779	27.32949789673167
chr1	9848312	9848606	22.10150700848119
chr1	9932185	9932731	20.848457446465126
chr1	9947145	9948242	38.857089798995986
chr1	10039110	10039609	26.827683783246425
chr1	10169771	10170301	29.017480443558604
chr1	10284823	10285674	55.01392360243478
chr1	10797748	10798452	15.961317441002889
chr1	11127449	11128224	17.107500879226194
chr1	11329646	11330821	18.363245477067665
chr1	11466767	11467198	33.85466792467299
chr1	11492715	11494191	31.811618003095713
chr1	11499743	11500077	16.12446744998772
chr1	12147636	12147985	17.12237048763942
chr1	12204038	12204405	19.60411845630781
chr1	12351617	12351914	21.571750961971603
chr1	12865002	12865565	25.013930220798745
chr1	12886385	12887057	21.289812801849273
chr1	13045498	13045770	12.056119354332195
chr1	13052192	13052593	19.374457261806118
chr1	13117929	13118225	22.23850933281151
chr1	13259366	13260075	31.402336935734716
chr1	13335874	13336153	14.195129811550126
chr1	13605001	13605248	33.309544042054455
chr1	13605518	13605920	48.22322589247974
chr1	13621013	13621829	16.437714257661035
chr1	13642790	13643235	26.969994298527748
chr1	13646151	13646554	26.369083726376516
chr1	13663713	13664060	28.628407211743447
chr1	14292520	14292952	23.433900166440893
chr1	14408771	14409160	14.043700731811915
chr1	14743478	14743914	22.8517375604822
chr1	15062453	15063245	28.28054027485125
chr1	15804959	15805476	40.32396181870244
chr1	15814968	15815288	15.881649695336819
chr1	15837800	15838485	28.686822438762135
chr1	15936337	15937140	28.55509263046949
chr1	16021486	16021893	29.37752475316753
chr1	16085820	16086311	19.9254291072154
chr1	16104499	16104982	27.592891195546027
chr1	16205803	16206502	17.379308879290186
chr1	16553812	16554147	15.785849585461973
chr1	16619352	16619624	12.825494531322928
chr1	16656736	16657501	27.82062438890046
chr1	16723306	16723717	14.852598496597178
chr1	16792233	16793332	21.982898875298122
chr1	16824785	16825547	24.63456124458413
chr1	17489335	17489942	16.629566125068475
chr1	18223277	18224128	25.27472583163359
chr1	18246119	18247003	18.105187488896814
chr1	19973837	19974130	26.344469259216517
chr1	21070680	21071113	14.064120668186602
chr1	21166437	21167248	19.54263728879089
chr1	21218611	21218996	16.49974098453274
chr1	21327322	21327702	30.743435357746325
chr1	21344585	21345710	47.406657666100394
chr1	21370885	21371135	23.60566577911377
chr1	21381613	21381944	19.62777621796484
chr1	21400185	21400458	20.183466764596794
chr1	21428139	21428546	18.91659721168312
chr1	22466946	22467532	20.171723007748966
chr1	22822729	22823069	27.463631868362427
chr1	23246540	23247160	50.039177986883345
chr1	23827043	23827492	17.063206166095352
chr1	23936810	23937171	31.332562834932535
chr1	23938130	23938444	26.705277042024456
chr1	23965179	23966891	38.57867925189366
chr1	24100313	24100637	14.361497899632395
chr1	24611534	24612071	37.91023192325784
chr1	24615718	24616265	37.30903662885565
chr1	24687696	24688885	22.286660003501694
chr1	24769661	24770108	27.51176772234957
chr1	24776871	24777202	24.644553193152852
chr1	25019860	25020497	22.81275456217432
chr1	25049341	25049681	19.015897891100714
chr1	26687680	26688240	13.798760303429194
chr1	26739560	26739892	33.83306641176522
chr1	26740287	26740739	30.78169124738305
chr1	26891819	26892126	15.16015403822113
chr1	27121741	27122537	20.829747882919694
chr1	27368654	27368948	18.62434719695526
chr1	29781485	29781825	18.957427417530734
chr1	29787378	29787915	21.147206828580888
chr1	29979001	29979670	16.09723472809043
chr1	29989611	29989889	14.709143913049491
chr1	30413622	30414337	16.11526368214534
chr1	30558116	30558830	18.456228400478842
chr1	30817552	30817891	29.92748331390651
chr1	30873950	30875150	31.3033247590065
chr1	30898522	30898768	27.149820308375165
chr1	30908642	30909442	79.30815257906914
chr1	30921080	30921672	29.446291246929682
chr1	30922041	30922806	26.75512318829306
chr1	30929624	30929951	22.606946216081624
chr1	30937534	30938593	45.247982433092155
chr1	31938173	31938545	15.430872850520636
chr1	33720150	33720400	15.381379985809327
chr1	33846791	33847190	17.785356612432572
chr1	34066471	34066874	16.622184023371997
chr1	34106759	34107503	36.43382063091442
chr1	34120579	34120828	22.61210640750257
chr1	34175170	34175505	15.148664873037765
chr1	34381962	34382628	17.95921726269765
chr1	34439451	34440038	32.912818686925576
chr1	34451259	34451550	18.11519325885576
chr1	34459808	34460116	16.00101783678129
chr1	34516594	34517067	11.981055711338938
chr1	34536530	34537321	20.526213254096685
chr1	34752896	34753441	29.990907502830574
chr1	35194525	35195021	30.700695560824485
chr1	35629891	35630151	18.27491468649644
chr1	35630849	35631402	24.325298854282924
chr1	35869634	35871485	32.34134164209433
chr1	35881472	35882056	14.76716691092269
chr1	35969837	35970308	15.895222151608477
chr1	35985842	35987047	20.233214736875162
chr1	36001548	36001844	18.86966637662939
chr1	36013419	36014448	52.68867922338962
chr1	36016770	36017713	69.72157459623108
chr1	36030249	36031473	28.961006834616068
chr1	36038051	36038389	20.354306404407208
chr1	36040142	36040490	26.868358864181342
chr1	36054845	36055274	37.014947548890724
chr1	36067846	36068171	23.154935643122748
chr1	36076900	36077269	25.89223039828665
chr1	36119137	36120015	23.181799684950324
chr1	36244456	36244727	19.815033441100173
chr1	36307776	36308078	13.685740808777462
chr1	36463866	36465008	25.487169922963957
chr1	36511479	36511775	24.84375906634975
chr1	36546828	36547217	20.35678348198035
chr1	36594377	36594724	17.12156723143388
chr1	36650191	36650622	16.83387745284149
chr1	36684348	36684686	17.258615022580297
chr1	36732409	36733289	20.12442485852675
chr1	36784911	36785286	16.89788828531901
chr1	37019673	37020011	11.974237790474525
chr1	37207013	37207421	14.95666672786077
chr1	37284942	37285367	21.25939540414249
chr1	37285844	37286103	18.713130987749135
chr1	37299906	37300303	15.052190763824232
chr1	37401806	37402069	13.208693518838048
chr1	37429844	37430405	16.857273242902842
chr1	37458624	37459031	15.026838515841698
chr1	37568764	37569690	18.841104834435054
chr1	37683964	37685327	45.98108038723862
chr1	37712251	37712713	21.033462951709698
chr1	37864667	37865501	18.86318345721677
chr1	37997529	37998001	19.874030765840562
chr1	38152793	38153055	14.908524032767492
chr1	38330814	38331239	36.93002891540527
chr1	38356363	38356789	15.530696273409704
chr1	38674017	38674642	12.348620811462402
chr1	38683390	38683766	26.567851469871847
chr1	38832819	38833119	20.494533605575562
chr1	38897897	38898176	9.63842560997146
chr1	38987421	38988031	15.309315353143411
chr1	39072977	39073760	15.096591813049706
chr1	39122507	39123724	27.603200354533012
chr1	39134985	39135880	22.113660181034877
chr1	39150506	39150815	12.888066714635558
chr1	39185890	39187335	43.812774286963126
