chr	start	end	EXE_E65_Tead4_ds
chr8	3408096	3409023	19.93582826859228
chr8	3672027	3672296	22.88205750192408
chr8	4165856	4166482	30.897522315430564
chr8	4253178	4253483	18.99793583604156
chr8	4586548	4587067	27.29974608338637
chr8	4612967	4613396	14.766156107673556
chr8	4677524	4678611	23.50371095557331
chr8	8661534	8661903	21.52574992502931
chr8	8705097	8705576	32.70059124462789
chr8	8774824	8775593	46.69946414069484
chr8	9171938	9172258	11.445398551225662
chr8	9886607	9886874	12.059153896146054
chr8	10961807	10962457	21.583129646594706
chr8	11555412	11555892	39.497746121883395
chr8	11570367	11570731	13.90104113306318
chr8	11635532	11636405	28.443215620340215
chr8	13287244	13287937	22.118119512285507
chr8	13332750	13333120	48.401973415065456
chr8	13648801	13649249	27.773971940789902
chr8	13785557	13786180	27.001327020207338
chr8	13907437	13908054	16.87289420828054
chr8	14089896	14090333	16.14035459514068
chr8	14888537	14888975	29.723075457359556
chr8	18595218	18595753	15.642894493530845
chr8	19793474	19793808	16.748464841328694
chr8	19795854	19796269	13.573028789658144
chr8	21783474	21784104	23.259151134793722
chr8	22045614	22045908	25.336245124842844
chr8	22185420	22185796	18.284520806150233
chr8	22601607	22602090	19.844512996713075
chr8	22805399	22805711	25.750884594061436
chr8	22823223	22823547	25.18570844626721
chr8	23028054	23028376	19.91076416406572
chr8	23166392	23166762	15.33722113531989
chr8	23256731	23257068	15.84599196380253
chr8	24305089	24305401	21.56778258849413
chr8	24917945	24918602	24.550073432051427
chr8	25016781	25017072	21.09807125235751
chr8	25087998	25088296	17.72968750192015
chr8	25527447	25527840	20.787819862365723
chr8	25543066	25543643	26.964760781987287
chr8	25597094	25597464	19.477054554707294
chr8	26158221	26158570	18.944545969922086
chr8	26880482	26880896	19.523040370664734
chr8	26976450	26976908	21.09494131621315
chr8	27223977	27224297	18.254955399036408
chr8	31168796	31169073	24.266443238792007
chr8	33230182	33231048	20.82278020717806
chr8	33641736	33642142	26.6676628789291
chr8	33992845	33993164	21.120838075595962
chr8	36094012	36094295	14.246741884588774
chr8	36155636	36156025	20.713001802831812
chr8	36249066	36249407	19.152102008942634
chr8	36548198	36549226	20.314231810402777
chr8	41374618	41374953	25.06962029756005
chr8	43214740	43215651	22.098631800202455
chr8	44937547	44937989	18.628091451808878
chr8	46197223	46197490	16.84902706574858
chr8	46470519	46470837	15.034296824497247
chr8	46616955	46617583	23.7609091351746
chr8	47674910	47675208	32.104233005702895
chr8	47874683	47875319	20.953004786053544
chr8	47932294	47932979	23.71504144598968
chr8	47973951	47974888	31.009380294775376
chr8	47990645	47991107	48.37146612060018
chr8	48016472	48016768	19.334567659610027
chr8	55953694	55954052	9.978503598847203
chr8	56550872	56551477	17.269982265440884
chr8	57511326	57511899	21.85056434751181
chr8	60983436	60983801	30.628993977585885
chr8	64733329	64733734	17.25245408658628
chr8	66789863	66790139	15.353117313937865
chr8	66825151	66825447	23.01008149095484
