chr	start	end	EXE_E65_Cdx2
chr1	3021995	3022239	5.701912477368214
chr1	3046211	3046618	15.09373732105227
chr1	3399130	3400302	14.318580465918922
chr1	3592464	3592988	87.97338222183345
chr1	3593295	3593799	74.61942398737348
chr1	3648601	3649268	10.775401241954478
chr1	3671853	3672663	10.872737248738607
chr1	3727283	3728644	47.79008883294772
chr1	3764911	3765147	8.176134723727985
chr1	3798573	3799537	17.713857511761773
chr1	3994692	3995109	11.405514898917659
chr1	4214364	4214764	8.841585171222686
chr1	4327141	4327668	18.053177127349535
chr1	4571351	4571864	11.620065689086914
chr1	4599498	4599761	13.277644023242559
chr1	4745467	4746224	18.29507650566857
chr1	4785275	4786182	17.170882739200614
chr1	4807366	4808329	11.75555084699906
chr1	4855231	4855758	22.77380703703502
chr1	4857151	4857809	20.44581890541007
chr1	5082627	5083802	14.363608005199026
chr1	5108320	5109367	61.654509102603654
chr1	5115269	5115548	8.154028330225243
chr1	5232338	5233399	21.179306951589343
chr1	5260750	5261425	24.982775953080917
chr1	5461408	5462268	12.904139645709549
chr1	5518075	5519351	38.79899778485672
chr1	5782886	5783168	11.961953587565862
chr1	5819238	5819584	7.669171220305338
chr1	5878844	5880145	44.62356484550224
chr1	6005969	6006368	9.739989865095096
chr1	6009992	6010240	4.936653009345455
chr1	6023086	6023408	8.791160672347738
chr1	6034200	6034713	16.981857991357995
chr1	6082121	6082708	10.082275925137521
chr1	6091525	6091858	11.304770211915713
chr1	6188226	6188961	20.805296490468134
chr1	6207130	6207379	12.624926658998053
chr1	6214210	6215219	23.414894345966864
chr1	6282689	6283018	11.528326005558837
chr1	6612723	6613358	10.820031342543954
chr1	6928349	6928864	19.462897343311496
chr1	6989688	6990408	11.238893103599548
chr1	7045087	7045724	24.717710593805958
chr1	7052492	7052838	18.916834963539433
chr1	7055147	7055955	19.532898573592156
chr1	7088097	7089480	22.525957900893403
chr1	7206185	7206878	15.492784145762567
chr1	7299230	7299436	10.595831232163512
chr1	7391000	7391254	10.976192932429276
chr1	7397474	7398498	41.97772955521941
chr1	7497962	7498323	22.711118766805804
chr1	7498747	7499584	57.90569528285748
chr1	7502233	7503044	41.69144365143688
chr1	7603639	7603992	8.942974984814695
chr1	7620564	7620828	8.64015081615159
chr1	7638099	7638307	13.4036067540829
chr1	7671455	7671988	23.798807238995693
chr1	7971306	7971925	9.577622092405699
chr1	8476923	8477734	15.397089396687235
chr1	8535972	8536184	18.55606407939263
chr1	8557998	8558590	12.53460821589908
chr1	8582121	8582485	13.788238281732077
chr1	8743535	8743880	12.807342771170795
chr1	8744810	8745072	15.937434382111062
chr1	9298645	9299002	10.411391970156288
chr1	9358382	9358823	26.01480987445027
chr1	9366871	9368334	26.605283135513858
chr1	9469742	9470168	12.544203125814876
chr1	9520252	9521078	14.478912463777002
chr1	9544899	9545494	14.734704070532022
chr1	9699970	9700805	21.36880835230479
chr1	9748552	9748864	23.56339285312555
chr1	9755134	9756302	55.04851317405701
chr1	9767685	9769110	55.83426492256031
chr1	9798370	9798644	14.183400105385886
chr1	9798942	9799282	13.793506552191342
chr1	9847888	9848339	14.003447799090535
chr1	9884256	9884868	14.561797675743602
chr1	9943904	9944587	16.577481392711007
chr1	9967773	9968307	18.778287382161572
chr1	10009241	10009619	18.645397067700745
chr1	10037790	10038315	33.917656135559085
chr1	10039499	10040172	26.219645940885503
chr1	10049124	10049349	13.041926426357692
chr1	10169880	10171000	23.904867661850794
chr1	10231709	10232221	12.521053601056337
chr1	10253751	10253963	11.916676908169153
chr1	10257497	10257711	15.317915501995621
chr1	10284822	10285736	48.12389980833692
chr1	10513203	10514113	37.51812512848404
chr1	10592846	10593211	18.482082325138457
chr1	10719705	10719921	9.566677729288736
chr1	10870252	10870503	17.944767750591872
chr1	10877929	10878737	22.13804293387007
chr1	10879833	10880484	24.08615748234059
chr1	11096563	11097149	7.596738671280011
chr1	11277447	11278429	25.066000675232495
chr1	11329712	11330907	18.538049197097205
chr1	11492819	11493675	13.267256638157033
chr1	11745373	11745579	9.21466664666111
chr1	12173309	12173907	8.278937549495378
chr1	12237350	12237592	12.571620267284803
chr1	12342539	12343334	10.032275205888089
chr1	12351356	12351920	14.035435886247784
chr1	12354283	12354901	18.191356384252654
chr1	12494956	12495623	12.661545656967736
chr1	12565045	12565288	10.098768569805005
chr1	12580449	12580737	9.360164061188698
chr1	12724539	12725160	15.073909351023307
chr1	12744494	12745364	18.83236383021563
chr1	12757291	12757525	13.287386036326742
chr1	12831979	12832661	14.259521182331522
chr1	12875624	12875849	10.641435991923014
chr1	13059545	13060073	14.647617706746766
chr1	13131771	13132428	12.910220867604062
chr1	13245495	13246025	14.262499080514008
chr1	13259314	13259959	13.181251171023346
chr1	13308750	13309652	28.548892258011847
chr1	13333014	13333268	9.858408406024843
chr1	13336874	13337149	10.238843740983443
chr1	13355484	13356286	20.46820830704268
chr1	13360488	13361033	15.433921887459011
chr1	13372219	13372830	30.561369045276297
chr1	13374135	13374382	16.663690845010734
chr1	13426577	13426837	10.368167460881747
chr1	13456709	13457294	15.520332243503669
chr1	13462383	13462753	10.853667916478338
chr1	13525262	13525768	12.294265739531385
chr1	13535109	13535380	12.347420069564313
chr1	13590121	13590843	13.374339445145838
chr1	13598893	13599486	10.386883351292216
chr1	13607769	13608545	12.14456033030736
chr1	13620976	13621434	12.428495466448855
chr1	13621993	13622357	12.637294040931451
chr1	13639231	13639895	24.75028757589409
chr1	13659473	13660857	36.76308363572711
chr1	13854386	13855304	17.11549440708036
chr1	13872458	13873220	20.185173589100675
chr1	14705990	14706213	10.215175038495941
chr1	14733951	14734494	14.299603715127343
chr1	14743230	14743733	32.81016549059221
chr1	14773105	14773360	13.36797762852089
chr1	15029292	15030665	22.40552427086271
chr1	15055704	15056736	22.350986365200015
chr1	15078831	15080233	19.68521255501327
chr1	15286569	15286880	9.838642112695135
chr1	15754541	15755486	16.966483474913097
chr1	15791627	15792270	32.484751610881986
chr1	15804998	15805948	23.49847742532429
chr1	15814912	15815467	19.183231647594553
chr1	15892455	15892929	12.58251356474961
chr1	15995996	15996585	12.505296799444384
chr1	16104187	16105081	23.34138966886789
chr1	16119822	16120390	12.858341109584755
chr1	16129803	16130674	18.947791724747002
chr1	16135630	16136199	11.68839936013381
chr1	16228166	16228642	15.038373802890296
chr1	16240918	16241148	13.44768592585688
chr1	16519834	16520092	12.96021640393161
chr1	16552800	16554104	51.59085798044146
chr1	16619055	16619876	20.542998007241177
chr1	16656538	16657588	50.248993499392554
chr1	16665067	16665548	14.66272663822293
chr1	16665903	16666156	11.243536278193176
chr1	16682144	16682913	16.394004415008585
chr1	16687307	16687740	13.26161789839042
chr1	16688205	16688530	14.133351619427021
chr1	16796619	16797297	14.937561713137105
chr1	16813418	16814481	23.774649569815548
chr1	16823958	16825315	38.32700623531243
chr1	16887894	16888230	22.303692502634867
chr1	16889539	16890428	54.19453315177034
chr1	16926763	16927035	12.428324636291055
chr1	17097684	17098025	11.460273949631498
chr1	17244064	17244728	10.904879417764135
chr1	17250686	17251427	12.121907613216303
chr1	17419539	17420002	10.71240336642667
chr1	17433428	17434532	12.650628349055415
chr1	17462910	17463173	7.373435713039152
chr1	17489123	17490354	34.49387487834493
chr1	17541843	17543216	48.77997007460292
chr1	17634618	17634984	10.29701988814307
chr1	17931778	17932586	15.023048957975783
chr1	17940364	17940618	5.25196883152789
chr1	18170611	18171963	23.009032194783703
chr1	18223277	18224738	91.69810105545075
chr1	18245398	18245678	15.591027222360884
chr1	18245893	18246893	26.790325434684753
chr1	18696541	18696929	11.091220303909067
chr1	18703719	18704517	13.449713317971481
chr1	18845459	18846273	27.844419509831457
chr1	20668617	20668822	11.25325161073266
chr1	20774070	20774594	15.730355478425063
chr1	20786683	20787677	22.63721898000245
chr1	20820207	20820747	24.458125880912498
chr1	20844815	20845786	22.188195422552642
chr1	20867157	20868498	32.6740102817726
chr1	20890336	20890956	13.0302280364498
chr1	20951293	20951910	23.862945456172504
chr1	20997821	20998602	13.714692776395477
chr1	21079002	21079735	21.85710214430118
chr1	21101499	21101806	10.332040123520146
chr1	21166105	21166937	12.389301685759655
chr1	21218530	21219180	16.37303024805509
chr1	21256405	21256911	10.152301716710268
chr1	21271438	21271696	14.254615029623341
chr1	21344215	21345432	15.726839197592943
chr1	22293091	22294245	14.287545594640166
chr1	22365790	22366320	26.165002723909772
chr1	22366645	22367065	25.87743230093093
chr1	22466532	22467545	33.31000305187079
chr1	23202692	23203023	14.924341570574711
chr1	23255892	23257381	16.146505984145573
chr1	23383256	23383906	13.182787201954769
chr1	23400566	23401017	11.061586508994091
chr1	23827304	23827569	13.803003800590083
chr1	23952658	23953035	13.197649012193756
chr1	24005392	24005755	13.538928809573171
chr1	24100012	24101018	34.945129966167045
chr1	24107750	24108546	27.597883068736476
chr1	24611534	24612071	68.28052649329273
chr1	24615711	24616287	69.9606340493386
chr1	24677833	24679123	25.156934469799662
chr1	24769642	24770242	13.145067466894785
chr1	25020966	25021220	12.001416450410378
chr1	25181280	25182036	21.727980358890754
chr1	26030632	26030954	13.153023734596205
chr1	26031336	26031569	13.55137428398296
