chr	start	end	8Cell_Tead4
chr7	3106731	3107360	15.977851419266912
chr7	3138498	3139106	12.089448158678255
chr7	3165235	3165524	20.50311495111063
chr7	3169915	3171053	32.60999544894548
chr7	3182215	3182940	19.327682791085078
chr7	3189225	3189935	20.16575918734913
chr7	3200972	3201289	35.60183641812779
chr7	3206735	3207180	53.105839075667134
chr7	3216298	3217033	34.51101114182245
chr7	3226733	3227386	40.46276068869995
chr7	3243528	3244075	14.907527295065536
chr7	3250292	3252145	17.26099362648698
chr7	3260631	3261005	15.962659021112371
chr7	3261436	3262178	18.734862192621772
chr7	3262653	3263261	20.571313884697464
chr7	3282243	3282899	26.249468315665315
chr7	3291706	3292181	21.420923899600382
chr7	3292703	3293241	28.52947993260777
chr7	3300736	3301079	19.9883272209946
chr7	3302736	3303254	21.666141125226112
chr7	3305960	3306370	17.322784749473012
chr7	3327386	3327759	16.93858449388765
chr7	3328033	3329081	25.007135350285594
chr7	3334919	3335275	26.19105643904611
chr7	3336330	3336820	18.859094892229354
chr7	3342050	3342741	18.218116881705917
chr7	3370944	3371234	14.18793075824606
chr7	3379918	3380229	16.20036553263281
chr7	3410988	3411412	13.815093251894105
chr7	3484841	3485138	30.104140432595404
chr7	3485867	3486637	17.39391175183383
chr7	3490056	3490580	18.100164548131346
chr7	3498225	3498602	14.89444503986551
chr7	3570751	3571218	27.64017998738258
chr7	3572542	3572924	35.33023330428838
chr7	3585118	3585398	26.76799181188856
chr7	3604415	3604891	18.10330692659907
chr7	3607081	3607867	29.535062520558597
chr7	3613035	3613448	28.590460705699414
chr7	3613705	3614225	29.64742622925685
chr7	3629605	3629910	21.36899200814669
chr7	3644440	3645379	22.703831208526644
chr7	3665275	3665849	16.82666290180193
chr7	3671397	3671841	18.854487324620152
chr7	3672111	3672487	15.417920394146696
chr7	3673846	3674285	16.32517691027874
chr7	3693017	3694123	25.995670970482163
chr7	3699474	3700076	27.737768753026412
chr7	3917169	3917906	13.021609337391329
chr7	4065808	4066108	11.675267539024354
chr7	4134599	4134951	19.319954284212805
chr7	4136332	4137294	26.503231172502165
chr7	4170367	4170617	20.126126430511473
chr7	4171217	4171831	19.073686472367775
chr7	4208424	4208736	12.405171308761988
chr7	4341846	4342772	12.561700161280951
chr7	4427492	4427894	15.403205482520868
chr7	4444984	4445698	52.388928514902666
chr7	4452864	4453184	35.64767903089523
chr7	4453663	4455010	52.879809895000726
