Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sox17	Sox17	chr1	-	4490928	4497354	0.219536	0.028243	0.077303
Xkr4	Xkr4	chr1	-	3214482	3671498	0.000000	0.000000	0.000000
Rp1	Rp1	chr1	-	4119866	4409241	0.121896	0.044955	0.123046
Mrpl15	Mrpl15	chr1	-	4773200	4785726	179.491440	26.209774	71.738846
Lypla1	Lypla1	chr1	+	4807823	4846735	309.680420	39.718269	108.712982
Tcea1	Tcea1	chr1	+	4857694	4897909	249.016357	140.944412	385.779358
Rgs20	Rgs20	chr1	-	4909576	5070285	4.030704	0.609624	1.668605
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	140.034180	17.970669	49.187569
Oprk1	Oprk1	chr1	+	5588493	5606133	0.000000	0.000000	0.000000
Npbwr1	Npbwr1	chr1	-	5913707	5917398	0.162243	0.020750	0.056794
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	1389.544434	177.713440	486.419952
Alkal1	Alkal1	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
St18	St18	chr1	+	6487231	6860940	1.457296	0.426604	1.167658
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	21.604168	2.763029	7.562693
Sntg1	Sntg1	chr1	-	8359739	9299877	0.179541	0.022962	0.062850
Rrs1	Rrs1	chr1	+	9545408	9547455	344.275146	44.030491	120.515968
Adhfe1	Adhfe1	chr1	+	9547948	9577970	0.968941	0.123921	0.339185
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	1.046054	0.133783	0.366179
Vxn	Vxn	chr1	+	9601267	9627142	4.732187	0.605215	1.656536
Mybl1	Mybl1	chr1	-	9667411	9700209	31.404091	4.134831	11.317457
Vcpip1	Vcpip1	chr1	-	9718622	9748382	50.651283	6.477960	17.730843
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	3.214261	0.411082	1.125175
Sgk3	Sgk3	chr1	+	9798130	9902568	44.399582	23.316183	63.818787
Mcmdc2	Mcmdc2	chr1	+	9908638	9940954	4.355175	0.556998	1.524560
Snhg6	Snhg6	chr1	-	9942025	9944118	184.109329	23.546352	64.448784
Snord87	Snord87	chr1	-	9942470	9942543	99.229729	12.690819	34.736076
Tcf24	Tcf24	chr1	-	9960163	9967810	2.242227	0.286766	0.784908
Ppp1r42	Ppp1r42	chr1	-	9968622	10009136	0.590846	0.083378	0.228214
Cops5	Cops5	chr1	-	10024600	10038159	217.402145	28.192347	77.165352
Cspp1	Cspp1	chr1	+	10038218	10136768	45.025524	7.047868	19.290739
Arfgef1	Arfgef1	chr1	-	10137507	10232670	189.222092	24.200239	66.238548
Cpa6	Cpa6	chr1	-	10324719	10719945	0.000000	0.000000	0.000000
