Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
Sox17	Sox17	chr1	-	4490928	4497354	1.007791	0.147230	0.502500
Xkr4	Xkr4	chr1	-	3214482	3671498	2.236549	0.324827	1.108641
Rp1	Rp1	chr1	-	4119866	4409241	1.148633	0.501159	1.710466
Mrpl15	Mrpl15	chr1	-	4773200	4785726	16.990715	2.467661	8.422174
Lypla1	Lypla1	chr1	+	4807823	4846735	203.852585	29.731852	101.475357
Tcea1	Tcea1	chr1	+	4857694	4897909	228.879135	147.138062	502.184875
Rgs20	Rgs20	chr1	-	4909576	5070285	3.263966	0.622558	2.124802
Atp6v1h	Atp6v1h	chr1	+	5083086	5162549	138.214966	20.180307	68.875748
Oprk1	Oprk1	chr1	+	5588493	5606133	0.318249	0.046221	0.157754
Npbwr1	Npbwr1	chr1	-	5913707	5917398	0.608072	0.088314	0.301417
Rb1cc1	Rb1cc1	chr1	+	6214662	6276104	1032.516235	149.958405	511.810760
Alkal1	Alkal1	chr1	+	6359331	6394731	0.000000	0.000000	0.000000
St18	St18	chr1	+	6487231	6860940	1.726002	0.575797	1.965206
Pcmtd1	Pcmtd1	chr1	+	7088920	7173628	75.470093	10.960966	37.409977
Sntg1	Sntg1	chr1	-	8359739	9299877	0.039934	0.005800	0.019795
Rrs1	Rrs1	chr1	+	9545408	9547455	689.006348	100.068451	341.535400
Adhfe1	Adhfe1	chr1	+	9547948	9577970	7.190724	1.044351	3.564389
2610203C22Rik	2610203C22Rik	chr1	-	9560833	9631092	9.435555	1.370381	4.677136
Vxn	Vxn	chr1	+	9601267	9627142	0.000000	0.000000	0.000000
Mybl1	Mybl1	chr1	-	9667411	9700209	367.340546	54.415329	185.720505
Vcpip1	Vcpip1	chr1	-	9718622	9748382	68.507629	9.949766	33.958733
1700034P13Rik	1700034P13Rik	chr1	+	9747648	9771256	2.517518	0.365634	1.247915
Sgk3	Sgk3	chr1	+	9798130	9902568	6.944155	4.172857	14.242038
Mcmdc2	Mcmdc2	chr1	+	9908638	9940954	0.834459	0.121193	0.413635
Snhg6	Snhg6	chr1	-	9942025	9944118	54.518429	7.918032	27.024387
Snord87	Snord87	chr1	-	9942470	9942543	15.635134	2.270782	7.750222
Tcf24	Tcf24	chr1	-	9960163	9967810	11.576196	1.681279	5.738236
Ppp1r42	Ppp1r42	chr1	-	9968622	10009136	0.472794	0.086102	0.293868
Cops5	Cops5	chr1	-	10024600	10038159	38.597752	5.625696	19.200602
Cspp1	Cspp1	chr1	+	10038218	10136768	25.433786	4.517130	15.417047
Arfgef1	Arfgef1	chr1	-	10137507	10232670	1229.111328	178.511063	609.261475
Cpa6	Cpa6	chr1	-	10324719	10719945	0.000000	0.000000	0.000000
Mir467e	Mir467e	chr1	-	10708387	10865874	0.000000	0.000000	0.000000
Prex2	Prex2	chr1	+	10993465	11303682	36.065521	8.798463	30.029314
A830018L16Rik	A830018L16Rik	chr1	+	11414105	11975902	2.728807	0.492609	1.681285
Mir6341	Mir6341	chr1	+	12425986	12426106	0.0	0.0	0.0
Gm17644	Gm17644	chr1	+	12667563	12673090	0.120980	0.017571	0.059969
Sulf1	Sulf1	chr1	+	12692430	12860372	2.002841	0.934959	3.191033
Slco5a1	Slco5a1	chr1	-	12866550	12991135	11.319821	1.644044	5.611153
Prdm14	Prdm14	chr1	-	13113428	13127163	1.776162	0.257962	0.880431
Ncoa2	Ncoa2	chr1	-	13139105	13374083	466.764801	69.892830	238.545502
Tram1	Tram1	chr1	-	13564693	13589910	143.411163	20.828447	71.087868
Lactb2	Lactb2	chr1	-	13625900	13660509	29.601484	4.299198	14.673240
Xkr9	Xkr9	chr1	+	13668771	13701723	0.684503	0.099414	0.339303
Gm5523	Gm5523	chr1	-	13785685	13786929	0.776424	0.112765	0.384868
Eya1	Eya1	chr1	-	14168958	14310199	85.935837	12.511181	42.700886
Msc	Msc	chr1	-	14753346	14755966	0.000000	0.000000	0.000000
Trpa1	Trpa1	chr1	-	14872644	14918862	16.062359	2.332831	7.961994
Kcnb2	Kcnb2	chr1	+	15286925	15723750	1.330194	0.193192	0.659367
Terf1	Terf1	chr1	+	15805646	15844052	229.526764	33.544746	114.488831
Sbspon	Sbspon	chr1	-	15853862	15892722	5.541348	0.804803	2.746806
4930444P10Rik	4930444P10Rik	chr1	-	16065979	16093325	1.817470	0.408475	1.394133
Rpl7	Rpl7	chr1	-	16101296	16104433	334.493408	48.580448	165.805939
Rdh10	Rdh10	chr1	+	16105882	16132550	211.376892	30.699511	104.777985
Stau2	Stau2	chr1	-	16228810	16519302	29.759689	6.613637	22.572466
Ube2w	Ube2w	chr1	-	16540788	16619291	8.821151	6.570564	22.425455
Eloc	Eloc	chr1	-	16641725	16657119	295.580444	75.441696	257.483887
D030040B21Rik	D030040B21Rik	chr1	+	16657552	16662278	4.253494	0.617760	2.108426
Tmem70	Tmem70	chr1	+	16665191	16678275	71.644341	10.418941	35.560036
Ly96	Ly96	chr1	+	16688456	16709605	12.786070	1.856996	6.337962
Jph1	Jph1	chr1	-	16994940	17097889	22.791969	3.310212	11.297813
Gdap1	Gdap1	chr1	+	17145373	17164270	905.352234	131.489639	448.776520
Pi15	Pi15	chr1	+	17601901	17630939	2.021956	0.293661	1.002269
Gm16070	Gm16070	chr1	-	17676027	17727646	0.000000	0.000000	0.000000
Crispld1	Crispld1	chr1	+	17727045	17766344	0.419100	0.076929	0.262560
Crisp4	Crisp4	chr1	-	18115191	18145902	0.000000	0.000000	0.000000
Defb44-ps	Defb44-ps	chr1	-	18210053	18223564	0.000000	0.000000	0.000000
Defb18	Defb18	chr1	-	18236402	18237476	0.0	0.0	0.0
Defb41	Defb41	chr1	-	18250978	18265138	0.264107	0.417437	1.424720
Gm15825	Gm15825	chr1	-	19063300	19104840	0.000000	0.000000	0.000000
Tfap2d	Tfap2d	chr1	+	19103022	19168587	1.163782	0.169023	0.576878
Tfap2b	Tfap2b	chr1	+	19208914	19238845	5.083301	0.961186	3.280544
Pkhd1	Pkhd1	chr1	-	20057779	20618057	5.709697	0.829253	2.830256
4930486I03Rik	4930486I03Rik	chr1	+	20356454	20392300	0.000000	0.000000	0.000000
Lincmd1	Lincmd1	chr1	+	20669882	20682958	0.000000	0.000000	0.000000
Mir206	Mir206	chr1	+	20679010	20679082	0.000000	0.000000	0.000000
Mir133b	Mir133b	chr1	+	20682769	20682887	0.000000	0.000000	0.000000
Il17a	Il17a	chr1	+	20730905	20734496	0.000000	0.000000	0.000000
Il17f	Il17f	chr1	-	20777146	20784270	14.775043	2.145866	7.323881
Mcm3	Mcm3	chr1	-	20802968	20820312	244.550629	35.517525	121.221954
6720483E21Rik	6720483E21Rik	chr1	-	20888650	20890473	0.0	0.0	0.0
Paqr8	Paqr8	chr1	+	20890548	20939650	0.669268	0.353736	1.207308
Efhc1	Efhc1	chr1	+	20951626	20990841	0.000000	0.000000	0.000000
Tram2	Tram2	chr1	-	21001397	21079225	12.785610	1.856929	6.337734
Tmem14a	Tmem14a	chr1	+	21218575	21230167	5.933383	0.861740	2.941135
Gsta3	Gsta3	chr1	+	21240585	21265575	1.455901	0.224708	0.766933
Gm4956	Gm4956	chr1	-	21285246	21298312	3.678940	0.534314	1.823624
Khdc1a	Khdc1a	chr1	+	21349677	21352199	795.747498	115.571091	394.446228
Khdc1c	Khdc1c	chr1	+	21368331	21369743	2522.457764	366.351349	1250.363770
Khdc1b	Khdc1b	chr1	+	21383556	21386384	6138.933594	891.593445	3043.024658
Kcnq5	Kcnq5	chr1	-	21398399	21962650	3.731279	0.547899	1.869989
Rims1	Rims1	chr1	-	22285973	22806003	29.908779	4.682598	15.981794
Gm7759	Gm7759	chr1	+	22898387	22905081	3.913614	0.568397	1.939950
4933415F23Rik	4933415F23Rik	chr1	-	23100474	23102253	0.337079	0.048956	0.167088
Mir30a	Mir30a	chr1	+	23272269	23272339	0.0	0.0	0.0
Mir30c-2	Mir30c-2	chr1	+	23291701	23291784	0.571429	0.082992	0.283253
Ogfrl1	Ogfrl1	chr1	-	23366424	23383175	20.533855	2.982253	10.178483
Gm28822	Gm28822	chr1	+	23574587	23596650	0.590504	0.085762	0.292709
B3gat2	B3gat2	chr1	+	23761926	23847858	9.419377	1.368032	4.669116
Smap1	Smap1	chr1	-	23844825	23922381	84.008720	15.896806	54.256084
Sdhaf4	Sdhaf4	chr1	-	23995939	24005640	6.332834	0.919755	3.139139
Fam135a	Fam135a	chr1	-	24010758	24100341	158.566559	23.029554	78.600288
Col9a1	Col9a1	chr1	+	24177610	24252738	0.559574	0.087834	0.299778
Col19a1	Col19a1	chr1	-	24257683	24587437	3.819105	0.554671	1.893103
Lmbrd1	Lmbrd1	chr1	+	24678544	24766301	1.714514	0.548217	1.871074
Adgrb3	Adgrb3	chr1	-	25067476	25829707	5.564757	0.808202	2.758410
Gm20172	Gm20172	chr1	-	25276404	25277954	0.000000	0.000000	0.000000
4931408C20Rik	4931408C20Rik	chr1	-	26681801	26687460	0.069268	0.010060	0.034336
Gm5524	Gm5524	chr1	+	27884046	27902187	0.0	0.0	0.0
Gm597	Gm597	chr1	-	28776122	28780252	0.626651	0.091012	0.310626
Mir6342	Mir6342	chr1	+	29421488	29421612	0.000000	0.000000	0.000000
Gm31465	Gm31465	chr1	-	30121013	30138836	0.326472	0.047415	0.161830
Phf3	Phf3	chr1	-	30802342	30863256	1017.828552	147.825226	504.530182
Ptp4a1	Ptp4a1	chr1	-	30940303	30949755	237.376999	34.475658	117.666046
Gm13363	Gm13363	chr1	-	30941592	30949710	0.000000	0.000000	0.000000
Gm29669	Gm29669	chr1	-	31019188	31096454	0.574723	0.083470	0.284886
4931428L18Rik	4931428L18Rik	chr1	-	31141078	31222656	52.144909	7.573312	25.847851
Lgsn	Lgsn	chr1	+	31176435	31204725	1.949683	0.283164	0.966444
Pih1d3	Pih1d3	chr1	+	31222839	31224287	0.000000	0.000000	0.000000
Gm4850	Gm4850	chr1	+	31264847	31268061	432.093536	62.755486	214.185608
Khdrbs2	Khdrbs2	chr1	+	32172722	32658569	5.048820	0.733270	2.502663
Gm9839	Gm9839	chr1	-	32519563	32520999	0.180237	0.026177	0.089342
Gm5415	Gm5415	chr1	-	32543546	32547293	0.344717	0.050065	0.170874
Prim2	Prim2	chr1	-	33453808	33669794	114.544037	16.635904	56.778645
1700001G17Rik	1700001G17Rik	chr1	+	33669824	33670712	12.053993	1.750672	5.975076
Gm32229	Gm32229	chr1	-	33714181	33719846	14.733739	2.139868	7.303406
Rab23	Rab23	chr1	+	33719896	33742564	69.892357	12.944340	44.179268
Bag2	Bag2	chr1	-	33745484	33757750	11.443526	1.662011	5.672472
Zfp451	Zfp451	chr1	-	33761541	33814595	166.379501	68.686050	234.426743
Gm15455	Gm15455	chr1	-	33835899	33838914	679.963379	98.755081	337.052887
Bend6	Bend6	chr1	-	33852052	33907767	20.843685	3.220086	10.990212
Dst	Dst	chr1	+	33908225	34308662	73.769783	89.033150	303.871735
Mir6896	Mir6896	chr1	+	34117359	34117431	8.616438	1.251416	4.271105
Mir5103	Mir5103	chr1	-	34433121	34433199	16.329113	2.371573	8.094222
Ccdc115	Ccdc115	chr1	-	34436670	34439672	427.187073	62.042892	211.753510
Imp4	Imp4	chr1	+	34439829	34445747	262.556915	38.132683	130.147552
Ptpn18	Ptpn18	chr1	+	34459746	34473779	25.745708	3.739201	12.761960
Prss39	Prss39	chr1	+	34498412	34503062	0.000000	0.000000	0.000000
Cfc1	Cfc1	chr1	+	34535648	34544311	0.000000	0.000000	0.000000
Prss40	Prss40	chr1	-	34552331	34560943	1.831668	0.266024	0.907944
Amer3	Amer3	chr1	+	34579693	34590944	1.633971	0.237311	0.809947
AA619741	AA619741	chr1	-	34633535	34636210	131.830719	19.146551	65.347527
Arhgef4	Arhgef4	chr1	+	34678182	34812738	9.767582	2.109082	7.198334
Fam168b	Fam168b	chr1	-	34813218	34843050	110.421776	16.213093	55.335579
Plekhb2	Plekhb2	chr1	+	34849959	34879585	20.803259	5.113152	17.451279
Hs6st1	Hs6st1	chr1	+	36068400	36106446	131.423904	19.087467	65.145874
Uggt1	Uggt1	chr1	-	36140028	36244302	77.817879	11.301949	38.573757
Mir6897	Mir6897	chr1	-	36144252	36144313	10.725806	1.557772	5.316704
Neurl3	Neurl3	chr1	-	36264602	36273425	0.800620	0.116279	0.396861
Arid5a	Arid5a	chr1	+	36307733	36324029	60.800495	9.020704	30.787827
Kansl3	Kansl3	chr1	-	36335730	36369181	211.281265	31.198248	106.480186
Mir6898	Mir6898	chr1	-	36348682	36348758	9.285714	1.348619	4.602860
Fer1l5	Fer1l5	chr1	+	36372190	36422110	5.110411	0.742215	2.533193
Lman2l	Lman2l	chr1	-	36423186	36445271	32.841927	4.839475	16.517214
Cnnm4	Cnnm4	chr1	+	36471597	36508776	74.123093	10.765332	36.742279
Cnnm3	Cnnm3	chr1	+	36511867	36528236	53.878845	7.970074	27.202009
Ankrd23	Ankrd23	chr1	-	36530193	36536556	12.279070	1.828197	6.239669
Ankrd39	Ankrd39	chr1	-	36538171	36547252	8.500725	1.330476	4.540939
Sema4c	Sema4c	chr1	-	36548639	36558381	8.255233	1.395471	4.762769
Fam178b	Fam178b	chr1	-	36562696	36683183	3.139109	0.533743	1.821673
