chr	start	end	EPI_E65_Sox2
chrY	2610138	2610399	12.200754216804357
chrY	2611932	2612188	5.537960981018841
chrY	2714001	2714324	5.317129262829713
chrY	35099249	35099566	9.531439253208388
chrY	59888596	59888911	5.058452868083167
chrY	73701597	73701865	8.361452632875585
chrY	90726882	90727146	7.417338503129555
chrY	90739351	90740638	20.360574858635086
chrY	90797448	90798168	15.52612937324577
chrY	90804760	90805251	19.795829947757138
chr3	3148769	3149208	8.230050306385362
chr3	4029953	4030299	10.20496959906782
chr3	4741091	4741443	12.352244161746718
chr3	5031517	5031933	12.882208549059355
chr3	5218212	5218539	13.410022455617922
chr3	5848505	5848816	7.174093726363596
chr3	5860356	5860842	52.24162440241119
chr3	6049415	6050212	159.01272617723592
chr3	6094149	6094397	13.122214409612841
chr3	6094705	6095193	9.479140189827465
chr3	6173842	6174276	16.680546677057645
chr3	6767780	6768721	21.048577799173774
chr3	7579279	7580041	15.007836534595238
chr3	7635316	7635725	11.030635473489179
chr3	7682412	7683321	21.222413827877233
chr3	7804913	7805261	14.529441318292728
chr3	7832861	7833327	8.06760921396411
chr3	8110930	8111223	9.054787292415371
chr3	8123374	8124072	12.167525960244559
chr3	8245238	8245657	59.67684002195736
chr3	8245918	8246558	36.87445330321789
chr3	8491085	8491551	13.816955367894643
chr3	8667176	8667457	9.934745659607586
chr3	8685149	8685486	11.893632553451493
chr3	8717299	8717609	10.90371618578511
chr3	8766317	8766931	8.16660712829242
chr3	8866222	8866735	21.789870027910197
chr3	8964242	8964567	15.802717883770283
chr3	9003917	9004157	12.913688051700593
chr3	9041857	9042132	5.944555111364885
chr3	9252816	9253296	15.130127535263698
chr3	9419042	9419390	7.361672095868779
chr3	9519585	9520595	18.837132996851857
chr3	10159306	10159677	12.340713183513548
chr3	10464427	10464723	6.773610131160633
chr3	10486020	10486815	21.293213292487764
chr3	10497968	10498327	13.147777443144648
chr3	10759701	10760328	14.55955289539538
chr3	10782059	10782376	14.740164170129818
chr3	10905886	10906372	13.729956501305349
chr3	10940614	10940886	8.082037847708254
chr3	11211275	11211691	16.25511248753621
chr3	11984532	11984790	9.086126978083174
chr3	12328441	12328710	13.383742045292625
chr3	14597439	14597806	7.0716595721179845
chr3	14863097	14863408	11.345621700838832
chr3	14889487	14889796	11.110158049944536
chr3	14929222	14929884	14.06161337100487
chr3	14947863	14948193	15.480380954164447
chr3	14959353	14959878	11.85078360512143
chr3	14999632	15000777	29.944657003411038
chr3	15112448	15112776	10.952189006456514
chr3	15159856	15160161	8.00688141916619
chr3	16034016	16034330	10.350482975601391
chr3	16111004	16111295	15.770948996658587
chr3	16839241	16839524	12.957952263498475
chr3	16941034	16941621	24.302098628406426
chr3	17516328	17516605	9.457099298277486
chr3	17750191	17750629	9.006687681424564
chr3	17785652	17786301	25.883842291927486
chr3	17794099	17794429	12.910450965707952
chr3	18339231	18339688	15.32622237591566
chr3	18624027	18624360	26.342261019411747
chr3	18828943	18829355	28.667636348205864
chr3	19234684	19234949	21.532573242907254
chr3	19310253	19310787	18.535364379597066
chr3	19622989	19623362	17.597685624703004
chr3	19706756	19707456	17.44268343108041
chr3	19894777	19895046	10.976821530707264
chr3	20038159	20038519	19.899920405281915
chr3	20057422	20058285	12.492024398485452
chr3	20154722	20154983	8.115191220323702
chr3	20317175	20317467	21.236273749233924
chr3	21203336	21203677	6.60355554018552
chr3	21553558	21554096	22.42939221548768
chr3	21892046	21892362	17.131994609591327
chr3	21935640	21936470	23.284860926938343
chr3	22038077	22038350	15.027058660765707
chr3	22108059	22108388	11.534240740048487
chr3	22156132	22156647	31.073444747924803
chr3	25006561	25007237	18.827278104759532
chr3	25143739	25144081	9.727053696649117
chr3	26361085	26361329	6.2762410054441355
chr3	26785341	26785745	8.338112202021154
chr3	27063558	27063977	16.980265579815413
chr3	27270216	27270476	15.415994578141433
chr3	27283153	27283556	17.92142879637536
chr3	27370230	27370560	11.07190028103915
chr3	28037921	28038633	15.595560600248616
chr3	28652681	28653140	16.27134541904225
chr3	29135789	29136172	9.006414137060897
chr3	29167235	29167572	11.90264770892678
chr3	29541556	29542041	14.524147776967471
chr3	30508370	30508804	13.598827427982735
chr3	30602303	30602827	16.76360939295237
chr3	30792824	30793513	25.39674481252108
chr3	31057038	31057399	13.28713524572737
chr3	31089160	31089426	11.269768978420057
chr3	31363443	31363736	13.150603468914488
chr3	31405886	31406336	12.669490405188666
