chr	start	end	TE_Tead4_ds
chr10	4282195	4282538	28.28611327746867
chr10	5176871	5177165	13.781344494852078
chr10	5805588	5805942	39.55656054329737
chr10	5823713	5824186	11.78654604381537
chr10	12935364	12935742	29.303652889514094
chr10	13570494	13570879	13.04750315183169
chr10	14583743	14584114	13.776914488594487
chr10	18050004	18050671	29.757372271353336
chr10	20106087	20106404	14.753141710058747
chr10	20311981	20312311	24.42260904601126
chr10	21846023	21847329	25.2864457593395
chr10	21847664	21848027	21.262135726361237
chr10	21985561	21985851	26.314685545296506
chr10	22142005	22143183	25.7561586116692
chr10	23894395	23894982	41.63741533516619
chr10	24594948	24595878	24.897266022877027
chr10	24741090	24741871	31.195509364754535
chr10	26416402	26416711	28.474470370024154
chr10	28004198	28005003	21.673910212072528
chr10	28645797	28646156	28.760645327129737
chr10	30628858	30629613	30.282651123147925
chr10	34483541	34483846	21.375050410286324
chr10	34578995	34579324	13.565875621552163
chr10	37016012	37016687	23.63636749550148
chr10	39731595	39731950	24.492846623272964
chr10	40302295	40302690	18.84518858752673
chr10	40348831	40349239	38.93234352971993
chr10	41434863	41435249	14.822806526342204
chr10	41449930	41450273	15.966832366698686
chr10	41472211	41473021	36.36811127368315
chr10	41518728	41519446	16.485890489434798
chr10	42464218	42464860	13.404932191438764
chr10	43489274	43490104	21.818284319682295
chr10	44428198	44428499	15.857351556568842
chr10	45065927	45066667	23.591860075254697
chr10	45174583	45175214	24.55284602668508
chr10	53630343	53630672	12.84668200936361
chr10	58364457	58365248	21.537356645509355
chr10	58371156	58371453	17.160188453366057
chr10	59578615	59579062	15.078956032226015
chr10	59701861	59702332	20.085528873840463
chr10	59779311	59779934	21.54745716229679
chr10	60097883	60098186	15.365712933807878
chr10	60161897	60162825	26.825959681436935
chr10	60271677	60272045	25.633339083713032
chr10	60800075	60800386	17.976663417754832
chr10	61535519	61535998	16.8802243234718
chr10	61558073	61558680	27.24669886028158
chr10	62413261	62413730	26.997598469130267
chr10	62436215	62436538	27.126830050819798
chr10	62884316	62884715	17.827100392869838
chr10	66896958	66897419	12.436272569437088
chr10	66968426	66969175	21.49123286182317
chr10	67107406	67107800	18.91162778157268
chr10	67108302	67108624	20.958615913154176
chr10	68136474	68136852	19.241261282925883
chr10	68158295	68158712	32.518370731271425
chr10	69327832	69328146	15.537622439633509
chr10	70599623	70599919	10.529668814427144
chr10	75517473	75517845	26.06974870415144
chr10	76442361	76442776	23.9992425895599
chr10	77193857	77194300	24.42501454321041
chr10	77581325	77582036	23.59403258000413
chr10	77902572	77903051	17.708609957286857
chr10	78009426	78009717	14.002578266707483
chr10	78048299	78048673	26.031107494537842
chr10	78433162	78433524	9.818826140619773
chr10	78574485	78574866	13.434548573231133
chr10	79767167	79767555	30.032494623636463
chr10	79780159	79780924	30.389057408750446
chr10	79908374	79908918	24.085728215820648
chr10	79984366	79984989	30.724676885344625
chr10	80114806	80115275	20.30958052433884
chr10	80167536	80168291	18.890944211846154
chr10	80222831	80223238	20.079939202535943
chr10	80261086	80261737	29.31152491122713
chr10	80329506	80329876	27.902766931379162
chr10	80399131	80399487	16.298391042130717
chr10	80433724	80434030	20.460110309077244
chr10	80577511	80578236	16.05812135762182
chr10	80590557	80590980	12.756511374850081
chr10	80602842	80603150	19.24290758603579
chr10	80702228	80702731	20.497840238612877
chr10	80900428	80900740	13.274855317213596
chr10	80929487	80929820	23.092741969111444
