chr	start	end	8Cell_Tead4	8Cell_Tfap2c	Morula_Tead4	Morula_Tfap2c	TSC_Tead4_1k	TSC_Tfap2c_1k
chr6	3286518	3289018	0.6454481043701172	0.7089839260274714	0.7106702145576477	0.3353444753473455	0.8556616354604868	0.6504151571994358
chr6	3399071	3401571	0.6675752707519531	0.2685743826952848	0.5967423928260802	0.3141929540200667	0.6281438024902344	0.5126082513258192
chr6	3493998	3496498	2.967431746582031	2.855216023947976	2.4564003512064616	2.6736108900590376	2.1253400561523437	1.7644436059570312
chr6	3496392	3498892	4.492916279541015	2.8122437430641867	5.955152348836262	3.903705748124556	3.7421104604867788	3.4500843138292097
chr6	3720885	3723385	2.3008457110595706	1.313786287723888	2.525295767402649	1.9219936879938297	2.529070843975361	1.5613981699625652
chr6	3721503	3724003	2.113158877197266	1.4562306380532006	2.3443298756917317	1.8716520736000755	2.811040716224084	1.1688681053331165
chr6	3763123	3765623	3.1389305686035156	2.240139730904319	2.6814421573003133	2.221973719440807	1.3142010945012017	1.4580882653808593
chr6	3967854	3970354	3.0415207446289063	2.3699852480801664	3.3633315238952637	1.8151311620538888	3.068299538902869	1.6452540350341796
chr6	3992011	3994511	2.04174744329834	1.9870571311257104	2.2379526520411175	2.126533749632402	2.2946203825495797	1.8652498265923394
chr6	4001986	4004486	2.3657818190917967	2.003799627130682	3.398514908091227	1.7757723904696376	1.8272031887113132	2.010487242160373
chr6	4047084	4049584	2.4834755357666016	1.5248394071405584	2.163023338063558	1.3164598310990767	2.2254162599534255	1.2472446436564126
chr6	4086427	4088927	4.617426292114257	2.5158164457841354	5.110977937825521	3.031185297047008	5.021896375732422	3.6049389333767365
chr6	4503696	4506196	2.5598803004150392	2.4171845941716974	2.357671341705322	2.380968270041726	2.4964948552058295	1.9303839152696396
chr6	4599065	4601565	1.6909030403137206	3.164691971657493	3.2001511432329814	5.376038131852583	3.692591797814002	15.468183526272245
chr6	4745305	4747805	2.3062489151000976	2.3797316173206675	4.289665021896362	2.524074440349232	3.210053150353065	7.234419921875
chr6	4746704	4749204	3.9198786002197266	2.592922059145841	5.969446506373086	3.73157514703924	5.424066998948317	8.688561126573353
chr6	4901319	4903819	6.723896680175782	6.460807123496315	8.525035293833414	7.857807778237083	3.8388275030987073	20.01134380859375
chr6	5193446	5195946	1.8707642917480471	2.0035245357166636	1.7336078491210938	1.1447284790299157	1.3692613238525388	2.321432674696181
chr6	5255733	5258233	1.873151931335449	3.7364721030495383	3.05337953338623	3.4756867444818673	3.104073794931265	3.1416600591362847
chr6	5297873	5300373	4.404569086303711	6.809959416753596	4.615621805318197	6.099738227289373	5.172509435096154	16.21200952690972
chr6	5381385	5383885	8.310293088989258	11.663530881292171	11.602875269317627	13.53799844748757	4.132771076847956	5.310534822591145
chr6	5495778	5498278	3.9214869765625	3.2990500277432524	6.3246600031534825	3.1894843371304598	4.6675405761718745	6.502609538099501
chr6	5723638	5726138	3.1248119073486325	5.17406393585205	3.961876052856445	6.4204596380060375	3.5469894279597356	5.415195279812283
chr6	5976893	5979393	2.006398313720703	1.437397084461559	1.5452097026109695	1.5252844011480158	2.6544355321326623	1.849867230292426
chr6	6216673	6219173	2.937725736328125	4.172560247802735	4.424684001922607	5.711878012917259	4.618150419546274	10.482139352213544
chr6	6578158	6580658	7.656529858398438	4.842744588955966	8.587096708170574	5.861978613697399	3.2121775134277346	8.919939793565538
chr6	6861333	6863833	3.8208291445312503	5.568904739657315	5.002549051539104	5.910616137695312	3.1439785632324218	6.697460214979383
chr6	6864650	6867150	2.767025956726074	6.046605000305175	2.4981729919433593	4.955047972523083	2.061409760460487	2.8785481689453123
chr6	6869033	6871533	1.9145812119140624	2.6552889304421163	1.853684038098653	2.457626945911754	2.6146807056603065	2.496679149509006
chr6	6881568	6884068	3.79306496295166	5.01089469236894	3.8969984980265298	4.918533713600852	2.0675594903094954	3.0457776148817275
chr6	6954017	6956517	5.019724384765625	3.9699897112759674	5.987817682075501	4.627785522460938	3.317765058030348	5.237247968071832
chr6	7553070	7555570	3.451092144775391	2.378513590725986	3.005551684951782	1.7778013698231088	2.846595676832933	1.4512349731445313
chr6	7692682	7695182	3.504995142822266	3.7636731996016075	6.023999957784016	4.675999987862327	4.219330073336089	9.479150444607205
chr6	7843223	7845723	5.478034473632812	8.761133760417591	6.314522003555298	10.103995451493697	6.064032763484075	35.17009727186415
chr6	8192117	8194617	3.2362845356445313	2.443864063540372	2.839078148905436	1.854913394165039	1.4198445201697716	2.343297202589247
chr6	8207226	8209726	6.347922969238281	9.195719629461117	5.75970544535319	7.672950820922852	5.088767468073918	13.520259409450954
chr6	8257287	8259787	7.797828721923828	6.5494747340115635	7.58664513352712	5.792923255504261	3.9554168280498803	10.554289964328342
chr6	8258641	8261141	7.588290914062499	5.9110238825711345	6.726064845530193	5.558960699462891	3.9453547325721154	11.432950278727212
chr6	8507599	8510099	4.154177796264649	8.912544062389028	3.0411624791781104	8.613464691023392	4.250383432711088	27.563890836724173
chr6	8508661	8511161	4.4499813608398435	12.63183561151678	4.333961313629151	12.481394142705744	4.9332256542968755	32.400197925618485
chr6	8757958	8760458	1.8380214912109376	2.1049705957932905	1.7035086619059243	1.2707541141163219	2.624126921198918	2.1974879692247176
chr6	8948018	8950518	4.255218691284179	5.208459040138938	3.418791868146261	6.491440947654031	2.374654627779447	5.519460359836154
chr6	10973878	10976378	1.3410411077270505	1.4970704121329568	1.9528610168774923	1.5028702568747783	2.5809818235426683	1.371555896979438
chr6	11906946	11909446	6.545025528442383	5.173949554512718	9.110213465499879	8.067823578435725	4.3995695183856665	18.936863253173826
chr6	11923880	11926380	4.717874129638672	3.6045579135201193	5.007548850250244	3.6442372855446554	3.2754259479229266	5.032013278537327
chr6	12109080	12111580	3.5557277221679686	1.988251768354936	3.279496823501587	2.49282012204257	2.602947727379432	2.246169194878472
chr6	12748753	12751253	2.85235070602417	2.8218567475058816	3.4797637034098305	2.6330666784113106	3.296401954251803	4.961589700656467
chr6	13067758	13070258	4.068887282287598	3.3705493392944335	5.433214618428549	3.581714983853427	3.7826032203087436	6.555412327948677
chr6	13224465	13226965	3.136232789001465	1.6532678938432175	2.765189341990153	1.5399476607582787	2.8739571138822115	1.6176173428005642
chr6	13411336	13413836	2.338836360961914	1.8352901138999245	3.4612704517364503	1.75510942438299	4.544275931490384	1.6520938178168403
chr6	13607563	13610063	6.735304135253906	4.168495307228781	8.109305047607421	4.774209931668368	8.068502978515623	11.671123809136285
chr6	13677466	13679966	5.282806456542969	3.5126228995583273	4.687048512268066	5.817544900235263	5.496526470196064	11.228398182101781
chr6	13839348	13841848	4.773515081054687	2.9655348882501773	4.111692654037475	2.755689612093839	5.254564571533204	6.883750036078558
chr6	13869568	13872068	6.66430946484375	3.478559314519709	6.920859736887614	4.598542542613637	4.092646450101412	4.714222733018663
chr6	13870983	13873483	6.372729413757324	3.297429443359375	6.621748972574869	4.232376757604426	3.3223040711388223	4.346725104031034
chr6	14754774	14757274	2.8515105123901368	1.5165325572620738	2.684118764623006	1.2646406217401678	2.4000748345008267	1.1414417370605467
chr6	14899348	14901848	2.5992067871704103	3.6103540593927557	3.7464599177996316	2.792639491965554	2.3842899099261943	3.8027743419053817
chr6	15718660	15721160	3.5129266845703127	4.733747996451638	5.003218550491333	4.2659774391867895	4.658412103740986	12.085973992919923
chr6	16897941	16900441	2.202764840393067	1.232032057536732	1.8699391136169434	1.0712006243965841	2.263636520244892	1.4432129966227214
chr6	17063148	17065648	5.000950758728027	5.319750466502797	5.839714846420288	7.414404732305353	7.626295280386119	28.02747487250434
chr6	17195750	17198250	2.4972273834228518	2.7033959906144576	2.9460124446868896	1.9822998291015625	2.543443380033053	1.9952884575737848
chr6	17279184	17281684	3.8932296541748044	7.952241808804599	4.508280016199747	8.70981868979714	2.4327914654071514	2.1399548464626736
chr6	17304334	17306834	4.430820782348633	3.995261558810147	4.970599217478434	3.9097638377796518	2.055106314791166	2.2130460546875
chr6	17461956	17464456	3.5598086339111323	4.080437655362216	3.0076948618570962	4.06578031727184	3.3165270607346757	14.681012372775609
chr6	17635097	17637597	8.064095479980468	5.6747958773526275	7.127963326009114	5.664835382704301	5.388436108586238	12.794454348958332
chr6	17691993	17694493	6.129652200195313	5.97054499761408	5.853314019266764	6.7268224813287905	5.61384974994366	15.177191948649089
chr6	18029945	18032445	2.387929833068848	3.0392965698242187	3.4299839518864954	2.5059743518482556	2.0828731959416316	2.7499826500786675
chr6	18108561	18111061	2.345532688964844	1.9223024799693713	2.951589735539754	1.6062894988666883	1.7227182416240983	1.5000801428731283
chr6	18168686	18171186	1.8738578414306641	1.8221777936068446	2.600446452840169	2.017081388161399	2.7481007998422475	1.7089331144205728
