id	length	midBlast_Ctrl_rep1	midBlast_Ctrl_rep2	midBlast_Ctrl_rep3	midBlast_siTfap2c_rep1	midBlast_siTfap2c_rep2	midBlast_siTfap2c_rep3
0610005C13Rik	1122	22	23	42	73	113	48
0610007P14Rik	1185	407	596	542	250	316	282
0610009B22Rik	795	100	101	98	66	55	65
0610009L18Rik	619	2	10	13	6	18	11
0610009O20Rik	2404	295	395	344	277	264	119
0610010B08Rik	27229	0	1	1	1	0	0
0610010F05Rik	4140	233	331	336	176	231	175
0610010K14Rik	913	327	429	471	312	370	322
0610011F06Rik	811	131	156	104	94	83	128
0610012G03Rik	1471	350	412	478	321	406	366
0610030E20Rik	4634	721	784	852	551	688	475
0610031O16Rik	824	0	0	0	1	4	0
0610037L13Rik	1551	176	212	187	121	159	132
0610038B21Rik	1523	14	18	22	15	22	13
0610039H22Rik	730	2	3	3	1	12	6
0610039K10Rik	951	11	12	12	33	20	8
0610040B10Rik	440	11	22	20	13	12	23
0610040F04Rik	2393	8	4	1	37	39	10
0610040J01Rik	1870	39	18	23	35	63	49
0610043K17Rik	618	15	56	41	39	42	21
1010001N08Rik	999	170	187	196	250	271	234
1110001J03Rik	441	29	72	52	54	61	59
1110002L01Rik	3300	35	49	36	45	65	87
1110004E09Rik	1163	803	963	1011	543	592	533
1110004F10Rik	1400	3653	4469	4108	2393	2276	1777
1110006O24Rik	768	15	17	18	10	6	32
1110007C09Rik	804	42	70	28	31	24	11
1110008F13Rik	1050	502	610	531	359	498	374
1110008L16Rik	3117	266	225	207	150	208	97
1110008P14Rik	657	216	225	167	130	143	116
1110012L19Rik	1057	211	265	299	218	258	240
1110015O18Rik	1533	0	0	0	0	0	0
1110017D15Rik	1290	3	0	4	5	8	8
1110019D14Rik	1498	131	214	152	26	15	53
1110020A21Rik	1220	6	8	7	24	12	21
1110025L11Rik	593	0	0	2	0	2	2
1110028F11Rik	2705	8	0	4	37	29	12
1110028F18Rik	1341	1	3	5	29	34	7
1110032A03Rik	1782	69	76	56	50	46	46
1110032F04Rik	2578	0	6	2	2	2	12
1110034G24Rik	1471	41	63	56	31	42	38
1110036E04Rik	777	0	0	2	5	1	5
1110037F02Rik	7115	1723	2044	2332	1426	1584	1123
1110038B12Rik	589	328	413	386	305	365	286
1110038F14Rik	1091	756	853	712	691	637	470
1110046J04Rik	777	4	7	4	15	6	11
