chr	start	end	EPI_E65_Tfap2c_ds
chr8	3500216	3500752	12.948735530696698
chr8	3516302	3516841	14.043224647889996
chr8	3587763	3588049	7.79109282593627
chr8	3672208	3672586	12.623560433665281
chr8	4165972	4166642	18.219995137115024
chr8	4193058	4193364	12.874264081319174
chr8	4238289	4238691	15.860935697508095
chr8	4259061	4259304	11.588984646424345
chr8	4677405	4677784	12.509685853540425
chr8	4678182	4678635	10.594964570557044
chr8	8488668	8488953	13.719556202804833
chr8	8656643	8657009	11.151123895019781
chr8	11009272	11009572	10.532307200431823
chr8	11476531	11476873	13.269905042927167
chr8	11555446	11555903	26.077199097013576
chr8	11558036	11558334	19.577287952371893
chr8	11635292	11636760	17.871345538859146
chr8	12384649	12384904	36.518428263944735
chr8	12386817	12387350	36.877362907939286
chr8	12394892	12395388	50.8033344745636
chr8	12400850	12401145	30.80700651265807
chr8	12431188	12431607	13.055594988256194
chr8	12873261	12873720	13.723752622251157
chr8	13104956	13105499	11.694134012331181
chr8	13287530	13288180	16.871925772153414
chr8	13785596	13785922	21.03233206930336
chr8	14096868	14097273	16.0154417273439
chr8	14888532	14888867	22.832589306048494
chr8	17534296	17534614	11.99572107626957
chr8	18594842	18595754	12.491954221537238
chr8	18846044	18846854	11.14375240891068
chr8	22060125	22060485	12.876051425933838
chr8	22398244	22398490	10.17521833404293
chr8	22807981	22808222	14.169752025999964
chr8	25016615	25017134	11.749466367769333
chr8	25256236	25256513	10.55632641513425
chr8	25543203	25543612	11.138772014300805
chr8	25597073	25597930	13.212201604765243
chr8	25720082	25720325	11.829123273307895
chr8	25753941	25754264	9.346717032854771
chr8	26158221	26158532	16.64422024177968
chr8	26976682	26976980	24.754337989243886
chr8	26978168	26978931	20.01527687262739
chr8	27086375	27086911	16.061024948732175
chr8	27120475	27121098	12.330946715647299
chr8	27174845	27175268	12.921815134954791
chr8	27227422	27227757	15.45342045684359
chr8	27251056	27251300	13.854735378359186
chr8	31149441	31149728	12.189335052144653
chr8	33930139	33930523	14.991121756533781
chr8	34146611	34147034	8.25871642092441
chr8	34154597	34154961	13.104606541958484
chr8	34215558	34215792	12.13260272017911
chr8	34806589	34807139	17.640199037031692
chr8	35826396	35826721	9.084498213254488
chr8	36457958	36458234	13.761888635331307
chr8	36548407	36548748	9.15560551332938
chr8	36613508	36613890	15.318024066106187
chr8	39005915	39006331	10.638027784916071
chr8	40423414	40423778	12.25812853037656
chr8	40511384	40512128	12.064146990417152
chr8	41239531	41239766	17.905660783483626
chr8	44971304	44971537	10.794425342216
chr8	46293508	46294851	28.948413537849888
chr8	46296226	46296501	32.545783400102096
chr8	46617371	46617607	14.61552329386695
chr8	47674910	47675217	27.67015490081489
chr8	56551140	56551410	8.513335130832813
chr8	57312166	57312801	28.85656758105661
chr8	57333755	57334471	53.0669197956277
chr8	57487635	57487875	11.452089468638102
chr8	60203854	60204184	5.235250134179086
chr8	60505775	60506207	10.037010686265099
chr8	60632247	60632540	12.916900983035768
chr8	60992777	60993249	18.596972120010246
chr8	61590742	61591043	10.336056880380625
chr8	64947223	64947503	12.159101586682455
chr8	66687813	66688067	8.341104755251427
chr8	68232905	68233169	14.75512932286118
chr8	69121699	69122294	13.792013637959457
chr8	69596809	69597118	7.474136528459567
chr8	69625272	69625664	20.82024254847546
chr8	69716480	69717015	20.564870959130403
chr8	69749719	69750012	23.29136445823383
chr8	69790839	69791142	13.575878250323507
chr8	69822045	69823003	14.251096895194005
chr8	69832392	69832782	21.549248025356196
chr8	69887095	69887381	20.67519609077827
chr8	69995916	69996823	17.65405226016649
chr8	70001452	70001800	15.97465821518295
chr8	70087513	70087884	19.263244947654538
chr8	70131331	70131609	11.94447105393993
chr8	70139388	70139663	14.256138402765448
chr8	70212124	70212827	24.649607638037562
chr8	70234195	70234477	22.461371803960056
chr8	70374391	70374637	16.1495517405068
chr8	70476870	70477801	21.135236761623755
chr8	70506203	70506742	23.60738182421739
chr8	70522741	70523032	11.832541002031045
chr8	70538911	70539700	25.350297125271215
chr8	70609351	70609974	16.76543612809281
chr8	70618759	70619034	17.982292497808285
chr8	70630040	70630464	15.675896511887604
chr8	70659407	70660349	22.386668655776166
chr8	70673306	70673686	26.965543877451044
chr8	70698423	70698960	27.90669891954134
chr8	70760502	70760986	12.035758928819137
chr8	70776864	70777287	14.430189024472067
chr8	70792428	70792924	35.40412223723627
chr8	70797005	70797527	18.119444129110754
chr8	70820172	70820660	15.725418708363517
chr8	70839634	70840020	16.24431064338882
chr8	70865183	70865723	18.377922278863412
chr8	70873170	70873754	12.882678401796785
chr8	70905952	70906236	18.149779245887004
chr8	71123585	71123822	8.57584630587936
chr8	71148079	71148544	12.484143478639664
chr8	71366947	71367461	17.617410270156565
chr8	71371304	71371599	20.419692566435216
chr8	71477441	71477715	18.985330922760234
chr8	71487906	71488511	15.571444006990795
chr8	71537125	71537429	14.950167546146794
chr8	71542809	71543248	12.37134798132477
chr8	71558899	71559476	13.842332644933638
chr8	71569555	71570595	36.24665076916035
chr8	71580335	71580764	11.884309330742399
chr8	71602961	71603427	12.902038236544367
chr8	71610871	71611460	12.315015407491014
chr8	71629664	71629909	11.449886660673181
chr8	71660571	71660848	10.92251050859582
chr8	71670867	71671267	20.969620881080626
chr8	72160614	72161432	15.962152963745565
chr8	72239622	72240608	16.289364441413184
chr8	72318812	72319237	17.738255072201
chr8	72570803	72571691	14.090367500846451
chr8	72655048	72655340	14.281525543291275
chr8	73353996	73354393	11.961712361583182
chr8	75018525	75018784	14.22724994821438
chr8	75033628	75033970	19.979790899488663
chr8	76901821	76902341	17.114198068472056
chr8	77517157	77517470	10.080906508448786
chr8	78426899	78427454	25.558189450513137
chr8	78434593	78435303	30.041239193123833
chr8	78436357	78436754	29.452394312515068
chr8	78509012	78509955	11.894505401684142
chr8	79294559	79294882	8.919573360183291
chr8	80880179	80880428	13.675065105698673
chr8	83608347	83608732	13.211345405083199
chr8	83715250	83715512	17.8754377583511
chr8	83874945	83876278	20.349758482301315
chr8	83876637	83876934	20.878936757945052
chr8	83898894	83900014	21.84275079028947
chr8	83955359	83955647	16.574128501945072
chr8	83996478	83996728	10.948216548919678
chr8	84010134	84010545	16.95988521668743
chr8	84066565	84067132	18.359728998187567
chr8	84104404	84105439	16.62465652981818
chr8	84180688	84180938	15.655567207336425
chr8	84197379	84197678	21.248140019317933
chr8	84237110	84237357	19.55711565519634
chr8	84270151	84270441	15.508288071073334
chr8	84413991	84414406	12.04080587410065
chr8	84686795	84687044	14.851164576518967
chr8	84704451	84704868	26.647030315810827
chr8	84707488	84708314	30.201585892037677
chr8	84742371	84742696	18.368679378216083
chr8	84784770	84785585	56.42078441783694
chr8	84798619	84799440	21.829486909650274
chr8	84903202	84903476	17.393121740243732
chr8	84945481	84945714	21.42967977237292
chr8	84952873	84953233	11.885333779123094
chr8	84990127	84991259	18.324245206037595
chr8	85025182	85025570	15.587124340312997
chr8	85036821	85037493	18.892079840103786
chr8	85081023	85081373	13.4776428767613
chr8	85492221	85492488	12.06891148099292
chr8	86585365	86585782	13.47653275313709
chr8	87200333	87200572	10.500617500129604
chr8	87469968	87471572	23.161648322677348
chr8	87536863	87537431	9.887129316027735
chr8	87831460	87831974	15.860439910962889
chr8	88647296	88647568	10.291250930112952
chr8	88696719	88697249	15.164522248394084
chr8	89025696	89026326	9.459461205346244
chr8	89043022	89043607	15.045756240583893
chr8	90297496	90297741	11.182776602920221
chr8	90828324	90828796	17.84019407175355
chr8	91133738	91134455	12.692623723667204
chr8	91312914	91313417	18.67053164449885
chr8	91797966	91798254	24.903784063127304
chr8	91801571	91801952	38.9222798435081
chr8	91812498	91812777	15.152220185939557
chr8	92133718	92134266	16.380056673592893
chr8	92364286	92364947	33.624521922055244
chr8	92673381	92673774	19.877791948294217
chr8	94172658	94172936	12.787984175647763
chr8	94179081	94179412	15.851055358471827
chr8	94601781	94602354	18.613838603567288
chr8	94781772	94782100	12.506202165673418
chr8	94838326	94838781	11.846424847906762
chr8	95080503	95081349	15.564705988475898
chr8	95351742	95352009	14.354438003082846
chr8	95534142	95534441	10.408852787719523
chr8	95887942	95888446	11.658774754357717
chr8	99608706	99608949	9.596151571705509
chr8	102784177	102784779	16.123724085151952
chr8	104250844	104251197	12.627753249646585
chr8	104341012	104341376	10.91424970967429
chr8	104805960	104806285	10.277526195232685
chr8	105170585	105170936	9.57838261976541
chr8	105254363	105254769	14.434009399320104
chr8	105268314	105269730	32.38679157407944
chr8	105271328	105271801	28.022093016803893
chr8	105275610	105275844	22.901881356524605
chr8	105289259	105289565	24.395878237057357
chr8	105305485	105305925	12.152359734882008
chr8	105413591	105413957	11.529584611048463
chr8	105471151	105471392	14.323621282933658
chr8	105596595	105597017	14.198190078916143
chr8	105622723	105623255	12.82570385036612
chr8	105635781	105636083	15.964695876797304
chr8	105700859	105701487	14.159707108880305
chr8	105827371	105827730	23.08043238445909
chr8	105854751	105855081	14.591937085353967
chr8	105860260	105860547	18.910132315100693
chr8	106108121	106108615	18.053582382588253
chr8	106128948	106129364	15.730924092806303
chr8	106337486	106338103	12.421686619182074
chr8	106415301	106415557	14.634666718542576
chr8	107031032	107031593	11.938152053989404
chr8	107436042	107436303	10.580812346432857
chr8	108714990	108715319	13.568833664195516
chr8	108723018	108723259	15.393948369006399
chr8	108748900	108749150	15.48760004043579
chr8	109693049	109693675	11.86502567723917
chr8	109705101	109705435	12.007240743694192
chr8	110919863	110920226	13.466704607666689
chr8	111027437	111027828	9.789589689210857
chr8	111033789	111034103	11.75951492710478
chr8	111300407	111300748	13.700627615025317
chr8	111876452	111876740	13.841741108232075
chr8	111940076	111940571	13.431846385531955
chr8	113635026	113635795	11.371963182258359
chr8	114439621	114440097	13.984042087522875
chr8	116921497	116921834	14.228974950773425
chr8	116978657	116978971	21.87432196185847
chr8	117116045	117116323	9.268788941472554
chr8	117314656	117314989	13.451672018469274
chr8	117498303	117498638	10.402120573129228
chr8	117801555	117802289	19.208698120688872
chr8	119440561	119440794	20.076883672133025
chr8	119861931	119862568	13.76358723752727
chr8	120177014	120178010	20.724506204865545
chr8	120190807	120191072	10.968508414502415
chr8	120276208	120276506	17.84245136760225
chr8	120288393	120288666	14.492405748192644
chr8	120300604	120301300	15.964472062286289
chr8	120307080	120307338	15.18494152098663
chr8	120335013	120336192	16.90827155254775
chr8	120465753	120466015	12.35129215153119
chr8	120486713	120486984	14.231110164600105
chr8	120509403	120509677	19.172435137477233
chr8	120588781	120589477	19.912688518392628
chr8	120823250	120823492	16.43452108398942
chr8	120828004	120828368	12.127783893228887
chr8	120883246	120883540	9.2689051887616
chr8	121074789	121075567	41.327958016285244
