chr	start	end	TSC_Tead4_1k_ds
chr17	3077930	3079001	19.157976681222213
chr17	3114620	3115123	14.484634721729439
chr17	3557484	3557829	38.14752645630767
chr17	5189958	5190299	17.52215459549532
chr17	5975306	5975756	15.222827474806044
chr17	6117220	6117871	20.079069372695713
chr17	6127668	6128514	21.089894110993008
chr17	6449662	6450404	29.373671058695916
chr17	6528753	6529047	15.117233496944921
chr17	6636804	6637270	18.282629201340573
chr17	6808596	6809362	33.65127413826885
chr17	6827511	6828300	16.941796085227125
chr17	7169483	7169868	18.833918544224332
chr17	8283342	8283650	17.910397944512304
chr17	10317251	10317646	11.827052284192435
chr17	10499190	10499511	38.16826356905643
chr17	12195075	12195810	31.844615203182713
chr17	12205349	12205870	23.92015739960771
chr17	12723779	12724333	39.987230621090006
chr17	12916246	12916765	12.657802467860698
chr17	12960176	12960734	21.37824365315044
chr17	13007915	13008205	19.660494787939662
chr17	13658934	13659243	18.914600613047774
chr17	13682805	13683237	23.858723989239447
chr17	13683651	13684024	49.2581373628918
chr17	13700237	13700806	21.321771997140036
chr17	13709207	13709716	47.219761340697765
chr17	13716652	13717652	28.045920073509215
chr17	15511005	15511379	17.928075910252044
chr17	17374030	17374492	24.59548320501914
chr17	17624643	17625369	25.590098480876154
chr17	17827383	17827944	15.919806409009638
chr17	17837967	17838454	25.760789242613242
chr17	20945309	20945718	22.003412969537937
chr17	20971728	20972053	17.216317699138934
chr17	21449901	21450298	13.211580504698476
chr17	21566461	21567257	22.882467927046157
chr17	21826859	21827629	14.723138061746374
chr17	22876235	22876598	17.468679341402922
chr17	22877661	22878000	9.563700320094735
chr17	23293756	23294378	13.813972525274638
chr17	23329284	23329614	20.114478775949188
chr17	23433377	23433939	12.307013604988832
chr17	23511342	23511629	14.701580476262428
chr17	23519342	23519682	20.19735929825727
chr17	23587554	23587842	29.0563522444831
chr17	23726343	23726752	23.880966391714978
chr17	23802926	23803458	21.91289576551968
chr17	23828877	23829451	18.423707761830986
chr17	23998237	23998547	16.037094660728208
chr17	24205713	24206092	15.909638553307365
chr17	24220808	24221208	52.51313129901886
chr17	24251553	24252007	13.761023546630591
chr17	24454851	24455271	17.201814570881073
chr17	24478805	24479103	30.982978340763374
chr17	24527506	24527999	27.124409785860692
chr17	24533457	24533746	15.069393616646632
chr17	24696261	24696614	13.642507588221736
chr17	24849972	24850302	13.681659493301854
chr17	24886421	24886928	15.013567958357772
chr17	24960376	24961057	17.597307562302912
chr17	25015328	25015713	17.148078323958757
chr17	25273651	25274307	27.831668827591873
chr17	25570802	25571328	18.575033608498227
chr17	25727316	25727785	13.558668297236917
chr17	25785330	25785644	29.002219093833
chr17	25832658	25833409	15.37157713906584
chr17	25919932	25920519	36.031376957284124
chr17	26503109	26503456	17.155503275758594
chr17	26508623	26508934	55.90195409278011
chr17	26514413	26514725	23.608095389146072
chr17	26537969	26538569	18.978837211926777
chr17	26549211	26549989	17.589674637066366
chr17	26584270	26585061	37.24101067312749
chr17	26611103	26611567	16.615758676981105
chr17	26781077	26781392	21.77695414830768
chr17	26939271	26939899	17.070663942652903
chr17	27038523	27038844	24.332384311521537
chr17	27133674	27134137	18.24887640069422
chr17	27179871	27180209	17.444249455040023
chr17	27555056	27556275	32.39285363752007
chr17	27650063	27650602	13.751395066284292
chr17	27800375	27800738	15.521268166786383
chr17	27826298	27826650	18.095251186327502
chr17	28177375	28177669	15.532284843678378
chr17	28350606	28351332	15.453164410000005
chr17	28375352	28376296	18.2719817494942
chr17	28506900	28507212	18.945142681782063
chr17	28522571	28523062	11.55213083900405
chr17	28571461	28571966	26.35072638256715
chr17	28690942	28691327	23.04990689661596
chr17	29007749	29008280	18.614090484863397
chr17	29263962	29264478	17.361179460850796
chr17	29316016	29316364	17.08504528012769
chr17	29322589	29323037	16.82174629185881
chr17	29350771	29351244	32.36123426167204
chr17	29393858	29394227	18.079776451193542
chr17	29448286	29448662	36.059910576394266
chr17	29451107	29451786	42.42331399482199
chr17	29467121	29467714	32.45422824518676
chr17	29490340	29490738	20.69532462220695
chr17	29769031	29769537	14.257394542807175
chr17	30004359	30004773	22.629529837824872
chr17	30051763	30052545	19.709860121197714
chr17	30962499	30962803	11.993559645979028
chr17	31326207	31326526	15.54504665984629
chr17	31512031	31512662	15.81419017084427
chr17	31519595	31519919	10.068168955084719
chr17	31564312	31564716	15.773971321559188
chr17	31808161	31808840	36.45402083024712
chr17	31875864	31876166	25.05859683838901
chr17	32320767	32321522	17.927665342874086
chr17	32364651	32364953	11.31711888944866
chr17	33358604	33358893	14.341404208674975
chr17	33629057	33629388	28.93644940240866
chr17	33759977	33760444	28.190798933041428
chr17	33920557	33920865	20.02454099407444
chr17	33968866	33969350	15.627056616396944
chr17	33991729	33992357	13.909802980483716
chr17	34027678	34028046	18.766368280286375
chr17	34119586	34119868	21.680552766678183
chr17	34398345	34399031	16.510645744056813
chr17	34536254	34536639	24.31223525257854
chr17	34591743	34592104	13.716091723983638
chr17	34603802	34604226	20.964495953523887
chr17	35000842	35001295	19.090603076859026
chr17	35051413	35051833	26.824612889971053
chr17	35121531	35122107	15.138151228427887
chr17	35165096	35165460	45.82321555273874
chr17	35186129	35186837	22.12651247695341
chr17	35241404	35242110	20.824341163419124
chr17	35301610	35302121	17.22020615803519
chr17	35513991	35514296	40.90862000262151
chr17	35557117	35557479	20.916878521113105
chr17	35590322	35591026	23.17567498169162
chr17	35698163	35698622	24.449126638358454
chr17	35721383	35721810	28.094596460775694
chr17	35776595	35776903	19.297060269814033
chr17	35795426	35795745	18.598658971278272
chr17	35823309	35823654	15.709049346481544
chr17	35841591	35841880	24.081907325137447
chr17	35916452	35916776	32.483683421288006
chr17	35979294	35980081	15.898142858260469
chr17	36231210	36231694	145.9748576396753
chr17	36271512	36271878	19.061496380248357
chr17	36972995	36973676	14.273095589552332
chr17	37028440	37029030	30.247896517737438
chr17	37050140	37050495	15.201371582461075
chr17	37124999	37125476	16.266557569523776
chr17	37125953	37126245	15.134324789047241
chr17	37191010	37191291	18.19004871327682
chr17	37270489	37270864	13.136683553059896
chr17	39843347	39846802	310.4640177366275
chr17	39847473	39848713	331.77101033118464
chr17	40862784	40863518	15.782051231295926
chr17	42281068	42281510	15.57212297948777
chr17	43129784	43130180	19.02269668771763
chr17	43147487	43148133	30.356616817391693
chr17	43198040	43198665	38.76209832763672
chr17	43326932	43327232	13.549057381947835
chr17	44078603	44079100	13.986433412947166
chr17	44202843	44203445	21.594592282938404
chr17	44239146	44239917	12.538749175931384
chr17	44776828	44777575	13.714710115588494
chr17	45506797	45507082	26.837539271304482
chr17	45573398	45573860	26.35557629845359
chr17	45595207	45595554	12.162536898676187
chr17	45694829	45695372	24.00490376523406
chr17	45767259	45767681	18.870218093926308
chr17	45873369	45874018	25.011654996357642
chr17	45984660	45985527	18.85736177921845
chr17	46032510	46032839	21.684777885947184
chr17	46160374	46160878	37.129103463793555
chr17	46266084	46267025	39.19476814959179
chr17	46282618	46282982	45.29724244233016
chr17	46328039	46328418	30.212208111242127
chr17	46552970	46553302	17.737312894269646
chr17	46680439	46680879	15.26753729690205
chr17	46751907	46752278	20.032333466563262
chr17	46782723	46783118	26.3092994158781
chr17	47046099	47046406	22.09773337957525
chr17	47140109	47140465	14.343105227759715
chr17	47502018	47502652	24.91983271246829
chr17	47511364	47511678	27.886609071379254
chr17	47521890	47522186	16.582361533835126
chr17	47628921	47629518	40.19771912349528
chr17	47784799	47785224	17.19003694197711
chr17	47887562	47888224	17.82110335819671
chr17	47924554	47925205	15.425298564811273
chr17	48409692	48410434	29.01783132681628
chr17	49816420	49816733	15.664921148135639
chr17	51275824	51276131	19.568931641718464
chr17	51276514	51276852	20.425790143436227
chr17	51854364	51854848	19.1088964387405
chr17	53478575	53478906	17.352339709993576
chr17	53689435	53689819	19.524015992879868
chr17	55959134	55959422	34.590030643675064
chr17	56074731	56075053	24.704393517156564
chr17	56079064	56079472	27.54912642404145
chr17	56256143	56256632	26.51806852032558
chr17	56290129	56290534	34.45705775508174
chr17	56461912	56462652	20.53710968558853
chr17	56627006	56627760	27.66310602031273
chr17	56672675	56673004	17.73919676864763
chr17	56717087	56717981	17.80188160668017
chr17	56764785	56765159	24.596958402643867
chr17	56831283	56831594	21.21480383367017
chr17	56934938	56935348	11.142923955219548
chr17	56935642	56935930	25.286882599194843
chr17	56989464	56990182	16.041438703085387
chr17	56997278	56997591	25.52900409393798
chr17	57031687	57032059	21.5648935533339
chr17	57059978	57060592	23.055436469832927
chr17	57096333	57096723	21.34910512092786
chr17	57247374	57247725	31.297649850872507
chr17	57248008	57248455	34.70480390629779
chr17	57249542	57249890	17.56870163309163
chr17	61405535	61405835	17.23436992963155
chr17	64331763	64332244	15.440192220612523
chr17	64600141	64600587	14.411188508363049
chr17	65613393	65614045	39.891657503104646
chr17	65629181	65629641	13.124162097599195
chr17	65671925	65672746	45.470684625344504
chr17	65884566	65885399	24.90572569665073
chr17	66101277	66101932	16.437663863815423
chr17	66568408	66569114	16.941388129512582
chr17	67935291	67935615	18.43501795957118
chr17	68003831	68004721	24.23730329127794
chr17	69277366	69277847	19.326489272087873
chr17	69467098	69467395	28.16877027312513
chr17	69588133	69588423	26.204328490947855
chr17	70430013	70430537	15.608536441817538
chr17	70738146	70738546	16.489242384433748
chr17	70747969	70748376	37.417728930199175
chr17	70755217	70755753	22.679637727452747
chr17	71002184	71002891	52.499093210848926
chr17	71598631	71599051	12.197553538140797
chr17	73262901	73263238	17.848735481058455
chr17	74527122	74527405	19.64500426572119
chr17	74527807	74528373	29.43962238028698
chr17	75005078	75005432	13.40783584993438
chr17	78417751	78418052	14.293867995176601
chr17	78604143	78604590	17.115892240665104
chr17	79372906	79373302	13.037743643076732
chr17	79590035	79590402	28.00411411462103
chr17	79598359	79599293	14.161840333162589
chr17	80255529	80256011	18.00747917301922
chr17	80262317	80262699	56.080830658917655
chr17	80289688	80290439	14.34343208803159
chr17	80483158	80483513	15.894754565601618
chr17	80505569	80505919	14.40864009312221
chr17	80553462	80553873	22.044792764668337
chr17	80683487	80683852	14.78776596539641
chr17	80728301	80728589	24.289715270201366
chr17	80801558	80801844	18.409045432831025
chr17	82857374	82857959	12.252917465796838
chr17	83164992	83165721	18.608901320170965
chr17	83166336	83166756	29.048731408800396
chr17	83167089	83167411	20.97685556826384
chr17	83666782	83667102	33.560365402698515
chr17	83677133	83677816	20.707768732073717
chr17	83690780	83691080	11.851920779546102
chr17	83862052	83862415	20.838945830163876
chr17	83964566	83964895	21.317101638005497
chr17	84188167	84188533	14.060437937251857
chr17	84790606	84790929	22.97345222555816
chr17	84956875	84957775	26.210986057917278
chr17	85090287	85090894	31.041943719791618
chr17	85162746	85163383	17.453714772708
chr17	85688507	85688921	18.12192272333707
chr17	85892291	85892586	13.860705482353598
chr17	86166736	86167074	12.906561219480617
chr17	86471442	86472015	14.751105067201518
chr17	86753266	86753794	15.32693629915064
chr17	86962577	86962985	15.139767466806898
chr17	87106948	87107344	24.29038795557889
chr17	87206608	87207332	16.273185149082163
chr17	87350647	87351436	35.164859933696015
chr17	87375655	87376454	45.111227765996404
chr17	87571311	87571693	19.71434868567901
chr17	88066089	88066464	11.072067951202392
chr17	88529682	88530446	17.25245909541065
chr17	88558328	88558983	33.17403343360843
chr17	88597249	88597552	21.983233209490383
chr17	91432327	91432887	20.57116582904543
chr17	91566359	91566744	19.50062354199298
chr17	93680559	93681078	32.30021348302764
chr1	3727775	3728131	34.3359926202324
chr1	4571338	4571669	11.63494562166335
chr1	4807795	4808114	24.623437089232443
chr1	7397488	7398441	22.206757904725208
chr1	7498765	7499183	61.7099586559825
chr1	9367296	9367974	16.94128388570825
chr1	9755550	9756149	16.794239775764325
chr1	9768514	9768856	21.586419507076865
chr1	10285230	10285682	40.62326714422851
chr1	10592495	10593213	19.55035683570798
chr1	11492874	11493674	15.748942472338676
chr1	13643043	13643488	11.566660158821707
chr1	13660140	13660742	16.700069969278633
chr1	13854893	13855234	15.01413705831399
chr1	14743384	14743769	31.684050106692624
chr1	16104508	16105006	16.355851579382715
chr1	16228028	16228316	16.81651916106542
chr1	16553315	16553772	33.72211347784464
chr1	16619442	16619801	10.19713676739536
chr1	16824292	16824946	34.07886544790472
chr1	16889539	16890232	18.25042567865501
chr1	18223410	18224168	22.44752045357133
chr1	23891964	23892600	16.900606914136393
chr1	24611534	24612082	67.46269037601722
chr1	24615717	24616287	58.51399842228806
chr1	24677961	24679076	25.73068518360634
chr1	26686141	26686539	16.8443415272775
chr1	26687029	26688262	21.23770574274241
chr1	26739625	26740489	19.884691938206
chr1	26979745	26980144	35.84788659222443
chr1	30908677	30909264	15.734394112478123
chr1	31600661	31601455	33.86496887639428
chr1	33583720	33584292	18.585583950256133
chr1	34107017	34107530	54.74836904960766
chr1	34128057	34128362	14.013284858328397
chr1	34439465	34440075	24.40169228882086
chr1	34752896	34753443	51.270336742157035
chr1	35220675	35220964	23.03722998015196
chr1	36016784	36017645	25.46049862151639
chr1	36060169	36061358	36.885342820137865
chr1	36457289	36457784	18.05946665099173
chr1	36471206	36471623	14.27316814532383
chr1	36511461	36511752	21.50162208858634
chr1	37063613	37063992	17.991311226796977
chr1	37299913	37300251	15.029114400141339
chr1	37871867	37872155	37.351376232173706
chr1	39196488	39197388	26.29747700797187
chr1	40085666	40085999	15.747591654459635
chr1	43128066	43128446	19.530198799936397
chr1	43168089	43168665	18.715865390168297
chr1	43202595	43202896	12.44510558118852
chr1	43422994	43423516	40.15933433620409
chr1	43759500	43759836	13.988357643286387
chr1	44118964	44119295	15.432753323788369
chr1	45572762	45573146	43.22566671669483
chr1	45925638	45926420	28.97021312177029
chr1	50189538	50189838	13.629713055292765
chr1	51400662	51401326	44.78690620790045
chr1	51448604	51449278	13.205500348739172
chr1	51509374	51509882	19.07997333909583
chr1	52456832	52457249	12.83777570381439
chr1	52803516	52804561	26.241265850888485
chr1	52809972	52810742	44.17898490955303
chr1	53297207	53297522	19.639665579417397
chr1	53313408	53313975	13.753210419279768
chr1	54585326	54585623	13.781527885282882
chr1	54600546	54601870	38.51520125311307
chr1	55052798	55053112	38.60039546383414
chr1	55131300	55131668	11.908706801093143
