													RNA-seq												WGBS				
L1_SINE_chr	start	end	SYMBOL	width	annotation	geneChr	geneStart	geneEnd	geneLength	distanceToTSS	ENSEMBL	GENENAME	D10_oocyte	D14_oocyte	8w_oocyte	MII_oocyte	PN5_zygote	e2c	m2C	l2c	4c	8c	ICM	mESC	oocyte	sperm	zygote	2cell	4cell
chr1	119519874	119520009	Tmem185b	136	Distal Intergenic	1	119526160	119528983	2824	-6151	ENSMUSG00000098923	transmembrane protein 185B	3.187031329	2.887357596	2.287040781	0.223859926	1.209540705	1.333572576	0.521992047	4.107738078	4.656902465	4.387948379	4.144707181	3.226338972	0.863651316	0.971277221	0.917464268	0.236095902	0.170248569
chr1	135252089	135252228	Elf3	140	Intron (ENSMUST00000180981.1/ENSMUST00000180981.1, intron 1 of 2)	1	135256657	135257649	993	5421	ENSMUSG00000003051	E74-like factor 3	1.862082363	3.275853339	4.525880949	2.615887074	4.007850308	3.953516688	4.632735603	4.876222238	1.464014725	4.150778989	8.077461993	1.546343816	0.685796388	0.948863636	0.817330012	0.060606061	0.045238095
chr1	72214009	72214179	Mreg	171	Promoter (1-2kb)	1	72159442	72212307	52866	-1702	ENSMUSG00000039395	melanoregulin	1.354028938	0.831707026	1.670414352	1.80261924	1.465608848	2.020455975	3.491488985	2.7786943	3.153075699	3.699085169	4.212686057	6.475914972	0.666666667	0.93877551	0.802721088	0.189189189	0.076923077
chr1	74342807	74342954	Pnkd	148	Intron (ENSMUST00000027370.12/56695, intron 2 of 9)	1	74332610	74353686	21077	10197	ENSMUSG00000026179	paroxysmal nonkinesiogenic dyskinesia	4.7582552	4.958262697	5.138413118	4.631057706	4.784634846	5.293903818	5.539734569	5.346496004	3.656164547	4.055629508	6.273586755	6.636572422	0.738004309	0.96592385	0.851964079	0.192149292	0.127302769
chr1	75164936	75165083	Zfand2b	148	Distal Intergenic	1	75168646	75170752	2107	-3563	ENSMUSG00000026197	zinc finger, AN1 type domain 2B	6.035626109	6.385380991	6.104091297	2.238080622	3.268085505	3.170211909	2.763042215	2.422168401	2.695383656	4.753556403	4.741062436	3.773511127	1	0.894736842	0.947368421	0.15	0
chr1	88602735	88602864	Gm19589	130	Distal Intergenic	1	88551517	88562167	10651	51218	ENSMUSG00000100798	predicted gene, 19589	0.066802593	0	0.043397564	0.037198895	0	0.098952014	0.052307283	0	0	0	0	0	0.913043478	0.891891892	0.902467685	0.185185185	0.255319149
chr10	121008101	121008245	Wif1	145	Distal Intergenic	10	121033960	121100650	66691	-25715	ENSMUSG00000020218	Wnt inhibitory factor 1	0.295112909	0	0.524558201	0.832059593	0.394149718	0.552823632	0.079964214	0.501033477	0	0.208731994	0.09213679	0.188728801	0.764484741	0.981387363	0.872936052	0.233800682	0.270192308
chr10	59905529	59905660	Dnajb12	132	Distal Intergenic	10	59879626	59898521	18896	25903	ENSMUSG00000020109	DnaJ heat shock protein family (Hsp40) member B12	3.719785807	3.683191142	3.899349672	1.424158897	2.56060736	2.97843911	3.511555581	3.615380983	4.52935871	5.333842312	4.389676937	1.707162526	0.6336262	0.9681145	0.80087035	0.154370363	0.089259718
chr10	60270202	60270381	Psap	180	Distal Intergenic	10	60277627	60302594	24968	-7246	ENSMUSG00000004207	prosaposin	4.938182268	5.128153151	3.85561104	3.847465817	2.575181611	1.687392201	4.278898149	4.579029256	5.943220432	7.798633802	8.190234582	2.244792703	0.689814815	0.956436306	0.82312556	0.238157578	0.048705713
chr10	61997406	61997550	Col13a1	145	Distal Intergenic	10	61838236	61979108	140873	-18298	ENSMUSG00000058806	collagen, type XIII, alpha 1	0.57179523	0.890402331	1.479173639	0.52944917	0.392648243	0.703724433	0.156757747	0.66785217	0.352246656	0.023743337	0.046514529	0.145021328	0.815560142	0.951771872	0.883666007	0.088782548	0.069693148
chr10	80105095	80105273	Sbno2	179	Promoter (<=1kb)	10	80066249	80105571	39323	298	ENSMUSG00000035673	strawberry notch 2	2.387685126	2.838007809	2.289748904	2.200815056	1.128596955	0.354390096	0.198205731	1.748186408	3.294523708	2.487239362	3.215953443	0.950795363	0.642857143	1	0.821428571	0.190476191	0
chr10	80111070	80111208	Stk11	139	Distal Intergenic	10	80115803	80130469	14667	-4595	ENSMUSG00000003068	serine/threonine kinase 11	1.174655689	1.550250567	1.910133973	2.132392587	2.228126031	2.867779858	7.321221443	4.084336446	4.077935121	3.238806727	1.327963232	3.059666766	0.777777778	0.961538462	0.86965812	0.236774194	0.058791209
chr10	80444614	80444713	Tcf3	100	Distal Intergenic	10	80409547	80433647	24101	-10967	ENSMUSG00000020167	transcription factor 3	4.188036881	4.139232082	3.173519243	3.213804516	2.687701246	3.162554875	2.753530013	3.048865658	2.477718769	2.820718149	2.964370906	3.477496008	0.8	0.926829268	0.863414634	0.205128205	0.5
chr10	80512705	80512836	Onecut3	132	Intron (ENSMUST00000051773.8/246086, intron 1 of 1)	10	80494835	80517276	22442	17870	ENSMUSG00000045518	one cut domain, family member 3	0.217146324	0.236743633	0.045796891	0.039395739	0.022100734	0.017943566	0.01489705	0.114369557	0.027485876	0	0	0.045190477	0.75	0.86	0.805	0.226415094	0.34
chr10	80680669	80680816	Mknk2	148	Distal Intergenic	10	80671946	80678112	6167	-2557	ENSMUSG00000020190	MAP kinase-interacting serine/threonine kinase 2	1.057734451	0.997467291	0.847057246	0.945332771	0.827775134	1.117216281	5.482864976	3.249618272	3.535007812	2.37236153	0.824094099	1.754459974	0.7998668	0.931827957	0.865847378	0.122863248	0.169251701
chr11	101440348	101440485	Rpl27	138	Promoter (1-2kb)	11	101442298	101445529	3232	-1813	ENSMUSG00000063316	ribosomal protein L27	4.857732233	5.054522922	5.116572695	0.868502664	2.759820556	1.490852481	4.250575592	4.616639997	6.23973599	7.841017042	7.914139928	8.298245901	0.973684211	0.945767196	0.959725703	0.249226006	0.429945055
chr11	102237851	102237997	Hdac5	147	Distal Intergenic	11	102195751	102230166	34416	-7685	ENSMUSG00000008855	histone deacetylase 5	0	0.055157747	0.014533262	0	0	0.011286748	0.682676195	0.707879899	1.856929932	2.440481851	1.561888195	0.778189228	0.678103147	0.950103582	0.814103364	0.169103774	0.011627907
